G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-100,OKC,,SAS,W (+6),1,29:34,3,4,.750,0,0,,0,0,,1,6,7,1,0,1,2,4,6,4.7,+4,5.0
2,2015-10-30,22-102,OKC,@,ORL,W (+3),1,35:54,3,5,.600,0,0,,3,4,.750,5,3,8,2,2,2,2,5,9,11.5,-3,5.0
3,2015-11-01,22-104,OKC,,DEN,W (+24),1,21:32,1,3,.333,0,0,,0,2,.000,3,0,3,1,0,2,2,4,2,0.1,+24,5.0
4,2015-11-02,22-105,OKC,@,HOU,L (-5),1,19:12,2,3,.667,0,0,,1,2,.500,0,3,3,0,1,0,0,1,5,4.8,-8,5.0
5,2015-11-04,22-107,OKC,,TOR,L (-5),1,26:36,5,7,.714,0,0,,0,0,,3,4,7,1,0,4,2,3,10,10.7,+8,5.0
6,2015-11-05,22-108,OKC,@,CHI,L (-6),1,24:58,3,4,.750,0,0,,0,0,,0,6,6,1,0,2,0,1,6,7.9,+11,5.0
7,2015-11-08,22-111,OKC,,PHO,W (+21),1,19:31,3,6,.500,0,0,,1,1,1.000,3,2,5,1,0,5,2,1,7,8.5,+12,5.0
8,2015-11-10,22-113,OKC,@,WAS,W (+24),1,20:36,2,3,.667,0,0,,0,2,.000,2,4,6,0,1,1,0,4,4,4.6,+5,5.0
9,2015-11-13,22-116,OKC,,PHI,W (+17),1,25:59,3,6,.500,0,0,,0,0,,1,1,2,0,1,3,0,5,6,5.1,+19,5.0
10,2015-11-15,22-118,OKC,,BOS,L (-15),1,29:35,0,0,,0,0,,6,8,.750,2,5,7,3,0,0,1,2,6,8.4,-1,5.0
11,2015-11-16,22-119,OKC,@,MEM,L (-8),1,26:49,4,5,.800,0,0,,6,8,.750,5,2,7,1,0,1,2,6,14,12.4,-4,5.0
12,2015-11-18,22-121,OKC,,NOP,W (+7),1,11:24,0,2,.000,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-0.1,+2,5.0
13,2015-11-20,22-123,OKC,,NYK,L (-3),1,21:17,1,5,.200,0,0,,2,2,1.000,4,4,8,0,0,1,0,3,4,4.4,-3,5.0
14,2015-11-22,22-125,OKC,,DAL,W (+3),1,24:33,3,4,.750,0,0,,0,2,.000,2,2,4,3,0,0,1,4,6,5.1,-7,5.0
