G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-101,SAS,@,OKC,L (-6),1,31:54,4,12,.333,0,1,.000,3,4,.750,2,3,5,1,0,1,0,2,11,6.7,-7,4.0
2,2015-10-30,30-103,SAS,,BRK,W (+27),1,29:33,5,11,.455,0,0,,0,0,,5,6,11,4,0,1,1,0,10,12.1,+28,4.0
3,2015-11-01,30-105,SAS,@,BOS,W (+8),1,34:42,8,18,.444,0,1,.000,8,10,.800,4,10,14,5,1,1,2,1,24,22.4,+5,4.0
4,2015-11-02,30-106,SAS,@,NYK,W (+10),1,32:10,8,15,.533,0,0,,3,4,.750,1,5,6,0,0,0,2,1,19,11.1,-4,4.0
5,2015-11-04,30-108,SAS,@,WAS,L (-3),1,35:06,4,14,.286,0,0,,2,2,1.000,4,11,15,1,1,0,5,4,10,3.0,-3,4.0
6,2015-11-07,30-111,SAS,,CHO,W (+20),1,17:19,6,10,.600,0,0,,4,4,1.000,0,5,5,2,0,0,1,4,16,11.7,-1,4.0
7,2015-11-09,30-113,SAS,@,SAC,W (+18),1,25:39,7,12,.583,0,2,.000,2,2,1.000,0,9,9,1,0,2,2,4,16,11.6,+14,4.0
8,2015-11-11,30-115,SAS,@,POR,W (+12),1,34:38,9,18,.500,0,1,.000,5,6,.833,2,4,6,2,0,1,4,3,23,13.1,+3,4.0
9,2015-11-14,30-118,SAS,,PHI,W (+9),1,34:22,5,13,.385,0,0,,7,8,.875,7,12,19,2,0,1,2,2,17,17.3,+14,4.0
10,2015-11-16,30-120,SAS,,POR,W (+13),1,33:31,2,8,.250,0,0,,2,2,1.000,2,4,6,1,0,1,0,3,6,4.0,+6,4.0
11,2015-11-18,30-122,SAS,,DEN,W (+11),1,31:40,4,14,.286,0,0,,3,4,.750,4,8,12,1,0,2,0,2,11,8.9,+9,4.0
12,2015-11-20,30-124,SAS,@,NOP,L (-14),1,31:56,8,18,.444,0,1,.000,4,4,1.000,3,8,11,2,0,1,0,2,20,16.4,-6,4.0
13,2015-11-25,30-129,SAS,,DAL,W (+5),1,34:39,8,17,.471,0,0,,2,3,.667,5,2,7,1,0,1,1,1,18,13.0,+9,4.0
14,2015-11-27,30-131,SAS,@,DEN,W (+11),1,18:27,4,11,.364,0,1,.000,0,0,,1,3,4,1,0,1,1,0,8,3.9,-2,4.0
15,2015-11-28,30-132,SAS,,ATL,W (+20),1,24:35,6,15,.400,0,0,,1,1,1.000,3,3,6,1,3,2,2,1,13,10.6,+15,4.0
16,2015-11-30,30-134,SAS,@,CHI,L (-3),1,32:54,10,18,.556,0,0,,1,3,.333,1,11,12,0,0,1,2,1,21,13.9,+11,4.0
17,2015-12-02,30-136,SAS,,MIL,W (+25),1,22:46,3,10,.300,0,0,,0,0,,2,7,9,0,0,5,1,2,6,5.4,+3,4.0
