G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-037,POR,,NOP,W (+18),1,31:08,3,7,.429,1,3,.333,2,2,1.000,0,8,8,0,1,2,3,0,9,7.1,+27,3.0
2,2015-10-30,25-039,POR,@,PHO,L (-18),1,31:32,5,9,.556,2,3,.667,4,5,.800,3,7,10,0,0,2,6,5,16,8.9,-12,3.0
3,2015-10-31,25-040,POR,,PHO,L (-11),1,33:44,5,14,.357,2,4,.500,4,4,1.000,0,7,7,5,0,0,2,2,16,11.0,-10,3.0
4,2015-11-02,25-042,POR,@,MIN,W (+5),1,32:24,7,12,.583,2,5,.400,1,2,.500,3,6,9,1,0,1,0,5,17,14.3,+11,3.0
5,2015-11-04,25-044,POR,@,UTA,W (+16),1,35:59,5,9,.556,1,2,.500,2,5,.400,1,7,8,1,2,0,2,3,13,9.8,+13,3.0
6,2015-11-05,25-045,POR,,MEM,W (+19),1,33:11,4,11,.364,1,4,.250,2,4,.500,2,8,10,5,1,0,2,4,11,8.8,+11,3.0
7,2015-11-08,25-048,POR,,DET,L (-17),1,35:24,3,7,.429,0,4,.000,3,4,.750,0,9,9,1,0,0,2,1,9,5.9,-19,3.0
8,2015-11-09,25-049,POR,@,DEN,L (-4),1,33:42,5,16,.313,2,7,.286,0,0,,1,3,4,2,1,1,1,2,12,5.7,-6,3.0
9,2015-11-11,25-051,POR,,SAS,L (-12),1,32:44,4,11,.364,2,6,.333,1,2,.500,0,3,3,4,0,1,0,2,11,8.1,+5,3.0
10,2015-11-13,25-053,POR,@,MEM,L (-1),1,33:53,4,11,.364,2,6,.333,6,6,1.000,1,7,8,1,1,3,2,4,16,12.9,+9,3.0
11,2015-11-15,25-055,POR,@,CHO,L (-12),1,21:31,2,5,.400,1,2,.500,2,2,1.000,0,3,3,2,1,0,0,5,7,5.6,0,3.0
12,2015-11-16,25-056,POR,@,SAS,L (-13),1,35:50,7,14,.500,3,5,.600,0,1,.000,1,3,4,1,0,0,3,2,17,8.1,+3,3.0
13,2015-11-18,25-058,POR,@,HOU,L (-5),1,36:42,5,16,.313,2,8,.250,4,4,1.000,2,13,15,0,1,1,3,3,16,9.6,-10,3.0
14,2015-11-20,25-060,POR,,LAC,W (+11),1,34:47,4,13,.308,2,6,.333,0,0,,2,10,12,3,1,2,1,1,10,10.0,+8,3.0
15,2015-11-22,25-062,POR,@,LAL,W (+14),1,31:31,3,8,.375,1,2,.500,3,4,.750,2,4,6,2,0,1,2,2,10,7.1,+7,3.0
16,2015-11-24,25-064,POR,,CHI,L (-5),1,21:42,1,9,.111,1,3,.333,2,2,1.000,2,4,6,1,0,1,2,1,5,0.7,-3,3.0
