G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-03,37-119,MIA,,ATL,L (-6),0,10:09,1,1,1.000,0,0,,1,2,.500,1,3,4,0,0,0,2,1,3,1.5,+8,5.0
2,2015-11-05,37-121,MIA,@,MIN,W (+12),0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,5.0
3,2015-11-25,37-141,MIA,@,DET,L (-23),0,4:12,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,+5,5.0
4,2016-01-01,37-178,MIA,,DAL,W (+24),0,2:58,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+1,5.0
5,2016-01-03,37-180,MIA,@,WAS,W (+22),0,3:43,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,1,0,0,2,1.3,-5,5.0
6,2016-01-04,37-181,MIA,,IND,W (+3),1,9:55,1,3,.333,0,0,,0,0,,1,1,2,1,1,1,0,3,2,2.5,-24,5.0
7,2016-01-13,37-190,MIA,@,LAC,L (-14),0,2:39,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,1,0,0,3,4.4,+3,5.0
8,2016-02-19,37-227,MEM,,MIN,W (+5),0,11:08,2,2,1.000,0,0,,0,0,,1,2,3,0,0,1,1,0,4,4.4,+4,5.0
9,2016-02-21,37-229,MEM,@,TOR,L (-13),0,9:14,0,0,,0,0,,1,2,.500,0,3,3,1,0,0,0,0,1,2.2,-5,5.0
10,2016-02-24,37-232,MEM,,LAL,W (+9),0,8:08,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-7,5.0
11,2016-02-26,37-234,MEM,@,LAL,W (+17),0,19:14,1,2,.500,0,0,,0,0,,2,1,3,0,1,3,0,3,2,4.6,+3,5.0
12,2016-02-27,37-235,MEM,@,PHO,L (-5),0,19:36,1,1,1.000,0,0,,2,4,.500,2,6,8,0,0,0,0,3,4,4.9,-9,5.0
13,2016-02-29,37-237,MEM,@,DEN,W (+7),1,22:01,2,3,.667,0,0,,3,6,.500,0,4,4,1,0,0,0,2,7,5.6,+8,5.0
14,2016-03-02,37-239,MEM,,SAC,W (+6),1,27:16,2,4,.500,0,0,,6,8,.750,2,4,6,0,2,1,3,2,10,8.7,+2,5.0
15,2016-03-04,37-241,MEM,,UTA,W (+6),1,26:33,2,2,1.000,0,0,,2,2,1.000,2,8,10,0,1,1,0,2,6,10.1,-4,5.0
16,2016-03-06,37-243,MEM,,PHO,L (-9),1,8:40,1,1,1.000,0,0,,0,0,,4,1,5,0,0,0,1,0,2,3.8,+2,5.0
17,2016-03-22,37-259,MEM,@,LAL,L (-7),1,15:32,4,5,.800,0,0,,0,0,,1,2,3,0,0,0,0,0,8,7.4,-4,5.0
18,2016-03-25,37-262,MEM,@,SAS,L (-6),1,36:31,6,10,.600,1,2,.500,0,0,,3,4,7,2,1,0,0,1,13,13.7,-4,5.0
19,2016-03-28,37-265,MEM,,SAS,L (-14),1,23:34,1,5,.200,0,1,.000,3,4,.750,3,2,5,1,2,1,0,2,5,6.8,-4,5.0
20,2016-03-30,37-267,MEM,,DEN,L (-4),1,17:02,2,4,.500,0,0,,0,0,,1,5,6,0,0,2,0,1,4,5.2,-15,5.0
21,2016-04-01,37-269,MEM,,TOR,L (-4),1,20:02,1,4,.250,1,1,1.000,0,0,,3,2,5,0,1,1,1,3,3,2.8,-11,5.0
22,2016-04-03,37-271,MEM,@,ORL,L (-12),1,15:59,1,3,.333,0,1,.000,0,0,,2,1,3,0,0,0,0,2,2,1.2,-25,5.0
23,2016-04-05,37-273,MEM,,CHI,W (+16),1,22:02,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,2,4,4.9,+12,5.0
24,2016-04-08,37-276,MEM,@,DAL,L (-10),1,21:05,1,3,.333,0,1,.000,1,2,.500,3,4,7,1,1,0,0,2,3,5.1,+9,5.0
25,2016-04-09,37-277,MEM,,GSW,L (-1),0,13:38,2,4,.500,0,0,,2,2,1.000,2,2,4,1,2,0,0,0,6,8.7,+8,5.0
26,2016-04-12,37-280,MEM,@,LAC,L (-26),1,21:08,4,7,.571,0,2,.000,0,0,,2,3,5,0,2,0,1,0,8,8.0,-11,5.0
27,2016-04-13,37-281,MEM,@,GSW,L (-21),1,8:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,5.0
