G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-217,SAC,,LAC,L (-7),0,3:14,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-1,2.0
2,2015-10-30,26-219,SAC,,LAL,W (+18),0,4:30,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,2,0,3,0.0,-5,2.0
3,2015-11-03,26-223,SAC,,MEM,L (-14),0,4:15,0,1,.000,0,0,,3,4,.750,0,1,1,0,1,0,0,0,3,3.2,+5,2.0
4,2015-11-04,26-224,SAC,@,PHO,L (-21),1,24:35,5,15,.333,4,10,.400,1,1,1.000,0,0,0,2,2,0,3,1,15,6.5,-13,2.0
5,2015-11-06,26-226,SAC,,HOU,L (-6),1,17:48,0,4,.000,0,3,.000,2,2,1.000,1,4,5,0,0,0,0,0,2,1.1,-18,2.0
6,2015-11-07,26-227,SAC,,GSW,L (-9),1,14:13,1,3,.333,0,1,.000,0,0,,0,0,0,3,0,1,1,1,2,1.7,-1,2.0
7,2015-11-09,26-229,SAC,,SAS,L (-18),1,7:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2.0
8,2015-11-11,26-231,SAC,,DET,W (+9),1,17:13,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,2,3,3,-1.2,+13,2.0
9,2015-11-13,26-233,SAC,,BRK,W (+2),1,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,2.0
10,2015-11-27,26-247,SAC,,MIN,L (-10),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2.0
11,2015-11-28,26-248,SAC,@,GSW,L (-19),0,5:53,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+9,2.0
12,2015-12-03,26-253,SAC,,BOS,L (-17),0,4:18,1,3,.333,1,2,.500,2,2,1.000,0,1,1,0,0,0,1,0,5,2.6,+4,2.0
13,2015-12-06,26-256,SAC,@,OKC,L (-3),0,10:09,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.9,+1,2.0
14,2015-12-15,26-265,SAC,,HOU,W (+10),0,1:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,2.0
15,2015-12-28,26-278,SAC,@,GSW,L (-19),0,22:15,2,8,.250,0,1,.000,1,1,1.000,2,2,4,1,1,0,1,2,5,2.1,+4,2.0
16,2016-01-02,26-283,SAC,,PHO,W (+23),0,14:32,2,3,.667,1,2,.500,0,0,,0,3,3,0,0,0,1,2,5,2.8,+12,2.0
17,2016-01-04,26-285,SAC,@,OKC,W (+12),0,5:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+4,2.0
18,2016-01-05,26-286,SAC,@,DAL,L (-1),0,14:27,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-14,2.0
19,2016-01-07,26-288,SAC,,LAL,W (+3),0,12:48,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,1,0,0.3,-7,2.0
20,2016-01-20,26-301,SAC,@,LAL,W (+19),0,2:05,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,-1,2.0
21,2016-01-21,26-302,SAC,,ATL,W (+3),0,0:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,2.0
