G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-23,33-106,DET,@,MIL,L (-21),0,4:59,0,0,,0,0,,2,2,1.000,2,1,3,1,1,0,1,0,2,4.4,+3,5.0
2,2015-11-25,33-108,DET,,MIA,W (+23),0,2:45,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,-3,5.0
3,2015-12-06,33-119,DET,,LAL,W (+20),0,2:28,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,+5,5.0
4,2015-12-07,33-120,DET,@,CHO,L (-20),0,3:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2,5.0
5,2015-12-12,33-125,DET,,IND,W (+22),0,3:23,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.9,-3,5.0
6,2015-12-16,33-129,DET,,BOS,W (+3),0,0:30,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-3,5.0
7,2015-12-18,33-131,DET,@,CHI,W (+3),0,13:35,0,0,,0,0,,2,2,1.000,0,3,3,0,0,0,0,2,2,2.1,+7,5.0
8,2015-12-31,33-144,DET,,MIN,W (+25),0,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,0,5.0
9,2016-01-04,33-148,DET,,ORL,W (+26),0,3:44,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,0,1,0,0.3,-4,5.0
10,2016-01-06,33-150,DET,@,BOS,W (+5),0,8:32,0,1,.000,0,0,,0,0,,2,2,4,0,0,1,0,0,0,2.0,+1,5.0
11,2016-01-12,33-156,DET,,SAS,L (-10),0,1:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2,5.0
12,2016-01-14,33-158,DET,@,MEM,L (-2),0,1:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,5.0
13,2016-01-29,33-173,DET,,CLE,L (-8),0,2:16,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+4,5.0
14,2016-02-24,33-199,DET,,PHI,W (+20),0,4:25,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-5,5.0
15,2016-02-28,33-203,DET,,TOR,W (+13),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-13,5.0
16,2016-03-06,33-210,DET,,POR,W (+20),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,5.0
17,2016-03-14,33-218,DET,@,WAS,L (-43),0,4:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-4,5.0
18,2016-04-05,33-240,DET,@,MIA,L (-18),0,3:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,5.0
19,2016-04-13,33-248,DET,@,CLE,W (+2),0,25:13,3,3,1.000,0,0,,1,2,.500,1,3,4,0,0,8,0,2,7,12.1,+3,5.0
