G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-120,HOU,,DEN,L (-20),1,33:10,2,10,.200,1,7,.143,1,2,.500,1,1,2,1,3,1,3,2,6,1.0,-13,3.0
2,2015-10-30,30-122,HOU,,GSW,L (-20),1,29:41,3,9,.333,2,4,.500,3,3,1.000,1,4,5,1,0,0,1,1,11,7.1,-16,3.0
3,2015-11-01,30-124,HOU,@,MIA,L (-20),1,40:47,3,13,.231,3,8,.375,0,0,,0,7,7,4,3,0,2,2,9,6.2,-13,3.0
4,2015-11-02,30-125,HOU,,OKC,W (+5),1,36:02,3,8,.375,1,4,.250,2,2,1.000,1,3,4,2,1,0,0,3,9,7.4,+12,3.0
5,2015-11-04,30-127,HOU,,ORL,W (+5),1,41:22,6,11,.545,4,7,.571,3,4,.750,0,7,7,2,3,0,3,3,19,15.6,+4,3.0
6,2015-11-06,30-129,HOU,@,SAC,W (+6),1,37:20,6,13,.462,4,8,.500,2,2,1.000,1,7,8,1,2,0,1,4,18,14.2,+27,3.0
7,2015-11-07,30-130,HOU,@,LAC,W (+4),1,39:27,1,8,.125,0,5,.000,4,4,1.000,1,6,7,3,1,1,0,4,6,5.5,-3,3.0
8,2015-11-11,30-134,HOU,,BRK,L (-8),1,32:26,5,14,.357,1,6,.167,0,1,.000,0,2,2,2,2,0,0,2,11,6.0,-1,3.0
9,2015-11-13,30-136,HOU,@,DEN,L (-9),1,38:10,4,12,.333,2,7,.286,3,4,.750,0,3,3,3,2,0,1,2,13,9.0,+3,3.0
10,2015-11-14,30-137,HOU,,DAL,L (-12),1,24:37,1,8,.125,1,7,.143,1,2,.500,1,5,6,2,3,0,1,5,4,2.0,-3,3.0
11,2015-11-16,30-139,HOU,,BOS,L (-16),1,31:38,7,16,.438,4,10,.400,1,1,1.000,1,8,9,0,3,1,4,2,19,12.6,-23,3.0
12,2015-11-18,30-141,HOU,,POR,W (+5),1,37:05,6,18,.333,4,12,.333,2,2,1.000,2,6,8,2,1,0,3,2,18,9.6,+7,3.0
13,2015-11-20,30-143,HOU,@,MEM,L (-12),1,35:22,7,10,.700,2,5,.400,3,5,.600,0,4,4,1,3,1,4,5,19,13.6,-8,3.0
14,2015-11-21,30-144,HOU,,NYK,L (-5),1,36:48,3,8,.375,1,5,.200,3,5,.600,0,5,5,3,0,0,1,3,10,6.2,-11,3.0
15,2015-11-25,30-148,HOU,,MEM,L (-9),1,39:28,2,10,.200,0,5,.000,4,4,1.000,1,11,12,3,2,0,5,4,8,3.3,-14,3.0
16,2015-11-27,30-150,HOU,,PHI,W (+2),1,35:57,4,7,.571,2,3,.667,2,2,1.000,1,3,4,1,1,0,2,1,12,9.6,+11,3.0
17,2015-11-29,30-152,HOU,@,NYK,W (+5),1,41:07,7,11,.636,2,4,.500,0,0,,3,4,7,1,2,0,0,2,16,16.3,+9,3.0
18,2015-11-30,30-153,HOU,@,DET,L (-11),1,35:55,1,9,.111,0,4,.000,0,0,,0,4,4,2,0,1,2,3,2,-3.8,-10,3.0
19,2015-12-02,30-155,HOU,,NOP,W (+7),1,32:01,5,11,.455,2,5,.400,1,1,1.000,1,1,2,0,2,0,2,1,13,7.9,+3,3.0
20,2015-12-04,30-157,HOU,@,DAL,W (+4),1,38:39,7,10,.700,4,7,.571,0,4,.000,0,6,6,1,4,1,3,2,18,15.6,+14,3.0
21,2015-12-05,30-158,HOU,,SAC,W (+7),1,36:54,4,14,.286,3,9,.333,1,2,.500,2,4,6,3,3,0,0,1,12,10.7,+1,3.0
22,2015-12-08,30-161,HOU,@,BRK,L (-5),1,3:50,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,+1,3.0
23,2015-12-12,30-165,HOU,,LAL,W (+29),1,28:08,1,7,.143,1,6,.167,2,2,1.000,0,5,5,6,3,0,2,2,5,6.4,+1,3.0
24,2015-12-14,30-167,HOU,@,DEN,L (-6),1,42:04,6,12,.500,4,9,.444,0,0,,0,5,5,4,3,0,2,2,16,14.5,+5,3.0
25,2015-12-15,30-168,HOU,@,SAC,L (-10),1,33:20,3,10,.300,2,8,.250,2,2,1.000,1,5,6,2,3,0,0,2,10,10.0,-6,3.0
26,2015-12-17,30-170,HOU,@,LAL,W (+20),1,35:38,5,10,.500,3,6,.500,0,0,,2,3,5,4,3,0,0,2,13,15.3,+26,3.0
27,2015-12-19,30-172,HOU,,LAC,W (+10),1,33:35,7,11,.636,3,4,.750,0,0,,1,5,6,3,1,0,0,3,17,16.2,+9,3.0
28,2015-12-21,30-174,HOU,,CHO,W (+7),1,30:42,2,6,.333,1,5,.200,0,0,,0,3,3,0,1,0,3,2,5,-0.3,+1,3.0
29,2015-12-23,30-176,HOU,@,ORL,L (-3),1,38:49,4,14,.286,0,8,.000,0,0,,1,7,8,1,1,1,0,3,8,3.8,-4,3.0
30,2015-12-25,30-178,HOU,,SAS,W (+4),1,28:08,2,4,.500,1,1,1.000,2,2,1.000,0,4,4,1,0,0,3,4,7,2.3,-5,3.0
31,2015-12-26,30-179,HOU,@,NOP,L (-2),1,35:41,6,11,.545,2,5,.400,2,3,.667,0,2,2,4,2,0,2,1,16,13.3,-8,3.0
32,2015-12-29,30-182,HOU,,ATL,L (-6),1,35:28,4,13,.308,2,5,.400,0,0,,0,1,1,1,0,1,2,2,10,1.4,-26,3.0
33,2015-12-31,30-184,HOU,,GSW,L (-4),1,37:14,3,9,.333,3,8,.375,2,2,1.000,0,3,3,2,0,0,2,1,11,5.8,+6,3.0
34,2016-01-02,30-186,HOU,@,SAS,L (-18),1,25:04,4,10,.400,2,4,.500,0,0,,1,0,1,3,2,0,1,0,10,8.4,-12,3.0
35,2016-01-04,30-188,HOU,@,UTA,W (+2),1,30:32,5,9,.556,3,5,.600,0,0,,0,4,4,0,4,0,0,2,13,13.1,-14,3.0
36,2016-01-07,30-191,HOU,,UTA,W (+9),1,32:24,2,10,.200,2,6,.333,0,0,,1,4,5,1,1,1,1,2,6,2.3,0,3.0
37,2016-01-10,30-194,HOU,,IND,W (+4),1,41:38,8,14,.571,5,9,.556,3,4,.750,1,4,5,0,0,0,3,3,24,14.7,-1,3.0
38,2016-01-12,30-196,HOU,@,MEM,W (+16),1,29:43,4,11,.364,2,5,.400,0,1,.000,1,1,2,2,3,0,0,0,10,8.9,+3,3.0
39,2016-01-13,30-197,HOU,,MIN,W (+3),1,33:29,4,8,.500,1,5,.200,1,2,.500,1,5,6,0,2,0,0,4,10,8.2,-6,3.0
40,2016-01-15,30-199,HOU,,CLE,L (-14),1,34:14,3,9,.333,2,4,.500,0,0,,0,4,4,1,2,0,0,2,8,6.0,-13,3.0
41,2016-01-17,30-201,HOU,@,LAL,W (+17),1,24:22,5,8,.625,1,3,.333,2,2,1.000,1,1,2,2,3,0,2,0,13,12.8,+13,3.0
42,2016-01-18,30-202,HOU,@,LAC,L (-8),1,38:13,6,11,.545,2,5,.400,4,4,1.000,0,2,2,4,1,0,0,2,18,16.3,-6,3.0
43,2016-01-20,30-204,HOU,,DET,L (-9),1,42:55,1,8,.125,1,2,.500,0,0,,1,3,4,1,1,0,0,5,3,-0.9,-5,3.0
44,2016-01-22,30-206,HOU,,MIL,W (+4),1,36:50,6,15,.400,5,11,.455,2,2,1.000,1,4,5,2,0,1,1,0,19,13.9,+15,3.0
45,2016-01-24,30-208,HOU,,DAL,W (+11),1,39:18,11,15,.733,6,9,.667,1,4,.250,1,2,3,2,3,0,0,2,29,26.6,+21,3.0
46,2016-01-25,30-209,HOU,@,NOP,W (+1),1,40:41,11,16,.688,8,12,.667,1,2,.500,2,3,5,3,3,1,3,2,31,28.1,+7,3.0
47,2016-01-27,30-211,HOU,@,SAS,L (-31),1,27:00,2,6,.333,2,4,.500,2,4,.500,0,1,1,2,2,1,1,3,8,6.0,-24,3.0
48,2016-01-29,30-213,HOU,@,OKC,L (-8),1,41:02,3,12,.250,2,9,.222,0,0,,1,5,6,5,5,1,1,2,8,10.4,-8,3.0
49,2016-01-30,30-214,HOU,,WAS,L (-1),1,35:41,5,11,.455,3,6,.500,4,4,1.000,1,6,7,1,1,0,0,0,17,15.5,+6,3.0
50,2016-02-02,30-217,HOU,,MIA,W (+13),1,33:06,4,10,.400,1,4,.250,0,0,,1,3,4,3,1,1,1,0,9,8.0,+13,3.0
51,2016-02-04,30-219,HOU,@,PHO,W (+6),1,37:17,7,15,.467,3,8,.375,5,8,.625,1,2,3,2,4,0,3,1,22,16.4,+3,3.0
52,2016-02-06,30-221,HOU,,POR,L (-17),1,33:31,2,8,.250,1,4,.250,0,0,,3,2,5,0,4,0,2,2,5,4.1,-16,3.0
53,2016-02-09,30-224,HOU,@,GSW,L (-13),1,39:53,7,13,.538,4,7,.571,1,2,.500,3,4,7,0,2,0,1,3,19,15.4,-4,3.0
54,2016-02-10,30-225,HOU,@,POR,L (-13),1,39:52,2,8,.250,2,6,.333,2,2,1.000,0,3,3,4,2,0,3,3,8,4.7,-16,3.0
55,2016-02-19,30-234,HOU,@,PHO,W (+16),1,32:12,8,12,.667,4,7,.571,5,6,.833,1,5,6,3,5,0,3,4,25,24.1,+40,3.0
56,2016-02-23,30-238,HOU,@,UTA,L (-3),1,40:45,5,10,.500,4,7,.571,4,4,1.000,1,0,1,4,4,0,1,3,18,18.3,-12,3.0
57,2016-02-25,30-240,HOU,@,POR,W (+14),1,40:46,1,10,.100,1,8,.125,3,3,1.000,1,7,8,6,4,0,2,4,6,6.8,+16,3.0
58,2016-02-27,30-242,HOU,,SAS,L (-10),1,39:10,3,8,.375,2,4,.500,0,0,,0,2,2,5,2,2,0,4,8,9.5,-14,3.0
59,2016-02-29,30-244,HOU,@,MIL,L (-7),1,35:09,6,9,.667,4,7,.571,4,4,1.000,4,4,8,11,2,0,1,4,20,27.2,+10,3.0
60,2016-03-02,30-246,HOU,,NOP,W (+5),1,38:20,3,10,.300,0,7,.000,0,0,,0,6,6,3,4,1,5,1,6,3.4,+9,3.0
61,2016-03-05,30-249,HOU,@,CHI,L (-8),1,39:30,4,13,.308,1,8,.125,2,2,1.000,0,3,3,3,4,1,1,1,11,9.8,-17,3.0
