G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-06,35-358,LAL,@,BRK,W (+6),0,16:58,1,3,.333,1,3,.333,0,0,,0,3,3,1,1,1,0,0,3,4.6,+12,3.0
2,2015-11-08,35-360,LAL,@,NYK,L (-4),0,15:55,3,4,.750,2,2,1.000,0,0,,0,4,4,1,1,1,0,2,8,9.2,-3,3.0
3,2015-11-10,35-362,LAL,@,MIA,L (-13),1,22:29,5,7,.714,4,4,1.000,0,0,,0,0,0,1,1,2,1,3,14,12.0,-17,3.0
4,2015-11-11,35-363,LAL,@,ORL,L (-2),1,27:11,4,7,.571,1,3,.333,0,0,,0,2,2,1,1,1,1,0,9,7.7,+1,3.0
5,2015-11-13,36-000,LAL,@,DAL,L (-8),0,18:07,0,9,.000,0,4,.000,0,0,,0,3,3,0,1,0,0,3,0,-5.6,-9,3.0
6,2015-11-15,36-002,LAL,,DET,W (+12),0,12:17,0,3,.000,0,2,.000,5,7,.714,1,0,1,1,0,0,0,3,5,2.3,-2,3.0
7,2015-11-16,36-003,LAL,@,PHO,L (-19),1,20:40,4,6,.667,2,3,.667,2,4,.500,0,4,4,1,0,0,0,1,12,10.1,-3,3.0
8,2015-11-20,36-007,LAL,,TOR,L (-11),0,16:31,1,4,.250,1,4,.250,1,2,.500,1,0,1,0,0,0,0,2,4,1.1,-5,3.0
9,2015-11-22,36-009,LAL,,POR,L (-14),0,13:28,0,3,.000,0,0,,0,0,,1,1,2,1,1,0,1,2,0,-1.2,0,3.0
10,2015-11-24,36-011,LAL,@,GSW,L (-34),0,9:07,0,1,.000,0,0,,0,0,,1,1,2,3,1,0,1,0,0,2.4,+4,3.0
11,2015-11-28,36-015,LAL,@,POR,L (-12),0,20:24,2,6,.333,0,3,.000,0,0,,2,3,5,1,2,0,1,1,4,4.2,+1,3.0
12,2015-11-29,36-016,LAL,,IND,L (-4),0,27:03,2,10,.200,1,4,.250,2,2,1.000,2,1,3,1,2,0,0,6,7,2.8,-4,3.0
13,2015-12-01,36-018,LAL,@,PHI,L (-12),0,18:46,0,3,.000,0,2,.000,5,6,.833,0,5,5,1,0,0,2,1,5,2.3,+7,3.0
14,2015-12-02,36-019,LAL,@,WAS,W (+4),0,12:26,3,8,.375,1,2,.500,0,0,,1,2,3,1,0,1,0,2,7,4.5,+9,3.0
15,2015-12-04,36-021,LAL,@,ATL,L (-13),0,12:40,1,3,.333,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,3,2.5,+2,3.0
16,2015-12-06,36-023,LAL,@,DET,L (-20),0,13:48,0,2,.000,0,0,,0,0,,0,1,1,0,0,2,1,3,0,-1.9,+7,3.0
17,2015-12-07,36-024,LAL,@,TOR,L (-9),0,15:46,1,2,.500,1,1,1.000,0,0,,0,3,3,0,0,0,0,1,3,2.5,+2,3.0
18,2016-01-05,36-053,LAL,,GSW,L (-21),0,24:39,2,10,.200,1,4,.250,1,2,.500,1,2,3,1,1,0,0,3,6,1.2,-2,3.0
19,2016-01-10,36-058,LAL,,UTA,L (-12),0,14:00,1,5,.200,1,4,.250,0,0,,0,0,0,1,0,1,0,1,3,0.9,-12,3.0
20,2016-02-10,36-089,LAL,@,CLE,L (-9),0,14:55,1,8,.125,0,5,.000,0,2,.000,1,2,3,0,0,0,0,3,2,-3.9,+10,3.0
21,2016-03-04,36-112,LAL,,ATL,L (-29),0,21:26,0,5,.000,0,3,.000,0,0,,3,0,3,1,1,0,1,4,0,-2.3,-8,3.0
22,2016-03-06,36-114,LAL,,GSW,W (+17),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-3,3.0
23,2016-03-08,36-116,LAL,,ORL,W (+9),0,16:04,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,2,0,1,0,5,4,4.0,+1,3.0
24,2016-03-10,36-118,LAL,,CLE,L (-12),0,13:38,1,3,.333,0,1,.000,4,6,.667,1,2,3,1,1,0,0,1,6,6.1,-7,3.0
25,2016-03-13,36-121,LAL,,NYK,L (-3),0,16:05,1,5,.200,0,2,.000,2,2,1.000,1,6,7,1,0,0,0,0,4,4.1,+6,3.0
26,2016-03-15,36-123,LAL,,SAC,L (-8),1,19:06,1,6,.167,0,3,.000,0,0,,1,1,2,1,0,0,2,1,2,-2.5,-28,3.0
27,2016-03-18,36-126,LAL,,PHO,L (-5),1,21:56,2,6,.333,1,4,.250,1,2,.500,0,3,3,1,1,0,1,2,6,3.0,-6,3.0
28,2016-03-22,36-130,LAL,,MEM,W (+7),0,13:20,1,4,.250,0,1,.000,0,0,,0,1,1,0,1,0,1,4,2,-1.7,-3,3.0
29,2016-03-23,36-131,LAL,@,PHO,L (-12),0,19:19,2,7,.286,0,2,.000,4,5,.800,0,1,1,0,1,0,0,3,8,3.6,+13,3.0
30,2016-03-25,36-133,LAL,,DEN,L (-11),0,14:07,2,6,.333,0,2,.000,3,3,1.000,1,2,3,0,2,0,0,1,7,6.5,-2,3.0
31,2016-03-28,36-136,LAL,@,UTA,L (-48),0,12:23,2,3,.667,1,2,.500,0,2,.000,0,1,1,1,0,0,1,3,5,1.7,-6,3.0
32,2016-04-05,36-144,LAL,@,LAC,L (-22),0,19:01,5,10,.500,2,3,.667,5,6,.833,0,5,5,1,2,1,1,1,17,15.1,+7,3.0
33,2016-04-06,36-145,LAL,,LAC,L (-10),0,13:54,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-11,3.0
34,2016-04-10,36-149,LAL,@,HOU,L (-20),0,18:08,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,2,8,5.9,-11,3.0
35,2016-04-11,36-150,LAL,@,OKC,L (-33),0,23:04,3,10,.300,2,6,.333,4,4,1.000,1,5,6,0,0,0,0,0,12,8.4,-4,3.0
