G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-124,DAL,@,PHO,W (+16),0,24:46,3,9,.333,0,3,.000,4,6,.667,0,4,4,1,0,0,3,3,10,1.8,-12,1.0
2,2015-10-29,31-125,DAL,@,LAC,L (-16),0,21:11,4,10,.400,2,3,.667,2,2,1.000,1,0,1,9,0,0,2,5,12,9.6,0,1.0
3,2015-11-01,31-128,DAL,@,LAL,W (+10),0,23:39,4,7,.571,1,2,.500,1,1,1.000,1,2,3,7,0,0,3,0,10,9.9,-4,1.0
4,2015-11-03,31-130,DAL,,TOR,L (-11),0,23:12,3,10,.300,0,3,.000,2,2,1.000,1,1,2,6,1,0,1,1,8,7.0,+9,1.0
5,2015-11-05,31-132,DAL,,CHO,L (-14),0,20:49,3,6,.500,2,4,.500,0,0,,0,0,0,6,0,0,1,0,8,8.2,-4,1.0
6,2015-11-07,31-134,DAL,,NOP,W (+9),0,23:49,4,11,.364,2,6,.333,3,3,1.000,1,0,1,2,0,0,3,0,13,6.0,-4,1.0
7,2015-11-10,31-137,DAL,@,NOP,L (-15),0,22:10,4,11,.364,1,4,.250,1,1,1.000,1,3,4,5,0,0,2,3,10,5.8,-4,1.0
8,2015-11-11,31-138,DAL,,LAC,W (+10),0,15:38,0,5,.000,0,0,,0,2,.000,0,1,1,7,0,0,2,1,0,-1.5,-5,1.0
9,2015-11-13,31-140,DAL,,LAL,W (+8),0,13:04,0,4,.000,0,3,.000,0,0,,1,0,1,0,0,0,2,0,0,-4.1,-3,1.0
10,2015-11-14,31-141,DAL,@,HOU,W (+12),0,21:45,3,8,.375,0,2,.000,1,1,1.000,0,3,3,8,2,1,2,2,7,9.0,+14,1.0
11,2015-11-16,31-143,DAL,@,PHI,W (+6),0,12:37,3,6,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,1,1,9,5.6,-8,1.0
12,2015-11-18,31-145,DAL,@,BOS,W (+4),0,18:17,3,5,.600,0,1,.000,1,2,.500,1,2,3,1,1,0,2,5,7,3.3,+11,1.0
13,2015-11-20,31-147,DAL,,UTA,W (+9),0,21:45,6,11,.545,0,1,.000,0,0,,1,3,4,3,0,0,1,0,12,9.4,+9,1.0
14,2015-11-22,31-149,DAL,@,OKC,L (-3),0,14:38,4,8,.500,0,1,.000,0,0,,1,2,3,2,0,0,1,1,8,5.3,+8,1.0
15,2015-11-24,31-151,DAL,@,MEM,L (-14),0,26:57,5,10,.500,0,4,.000,6,6,1.000,0,2,2,4,0,0,3,4,16,9.8,-5,1.0
16,2015-11-25,31-152,DAL,@,SAS,L (-5),0,12:36,3,7,.429,1,1,1.000,0,0,,0,0,0,3,1,0,0,1,7,6.0,0,1.0
17,2015-12-09,31-166,DAL,,ATL,L (-3),0,10:04,0,6,.000,0,3,.000,0,0,,1,0,1,2,0,0,1,0,0,-3.1,-9,1.0
18,2015-12-12,31-169,DAL,,WAS,L (-3),0,28:35,7,15,.467,5,6,.833,2,2,1.000,0,3,3,3,1,0,1,2,21,15.5,+4,1.0
19,2015-12-14,31-171,DAL,,PHO,W (+10),0,14:21,0,4,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,1,-1.5,-3,1.0
20,2015-12-16,31-173,DAL,@,IND,L (-26),0,21:15,3,8,.375,0,2,.000,2,2,1.000,0,3,3,4,0,0,1,2,8,5.5,-25,1.0
21,2015-12-18,31-175,DAL,,MEM,W (+9),0,22:21,3,6,.500,1,3,.333,0,0,,0,3,3,5,0,0,3,5,7,3.4,+7,1.0
22,2015-12-22,31-179,DAL,@,TOR,L (-4),0,22:14,3,9,.333,2,4,.500,0,0,,0,0,0,5,1,0,1,4,8,4.8,+1,1.0
23,2015-12-23,31-180,DAL,@,BRK,W (+1),1,41:27,13,21,.619,5,8,.625,1,1,1.000,0,1,1,11,1,0,5,0,32,26.5,+17,1.0
24,2015-12-26,31-183,DAL,,CHI,W (+7),1,32:49,9,14,.643,7,8,.875,1,2,.500,0,0,0,5,0,1,1,1,26,22.2,+2,1.0
25,2015-12-28,31-185,DAL,,MIL,W (+10),1,24:47,3,8,.375,1,4,.250,1,2,.500,0,1,1,5,0,0,0,2,8,6.2,0,1.0
26,2015-12-30,31-187,DAL,,GSW,W (+23),1,31:13,9,12,.750,5,7,.714,0,0,,0,3,3,6,2,0,3,0,23,22.3,+23,1.0
27,2016-01-01,31-189,DAL,@,MIA,L (-24),1,26:04,3,9,.333,0,5,.000,0,0,,0,0,0,5,0,0,2,1,6,2.0,-14,1.0
28,2016-01-02,31-190,DAL,,NOP,L (-7),1,27:01,3,10,.300,1,3,.333,3,3,1.000,0,7,7,5,2,0,1,1,10,10.4,+4,1.0
29,2016-01-05,31-193,DAL,,SAC,W (+1),0,22:57,3,10,.300,1,4,.250,0,0,,0,1,1,3,0,0,3,0,7,0.6,+4,1.0
30,2016-01-06,31-194,DAL,@,NOP,W (+9),1,28:59,4,11,.364,2,6,.333,1,2,.500,1,3,4,1,0,0,4,2,11,2.0,-7,1.0
31,2016-01-08,31-196,DAL,@,MIL,L (-1),0,18:52,3,7,.429,2,5,.400,0,0,,2,0,2,5,1,0,2,1,8,7.8,-3,1.0
32,2016-01-10,31-198,DAL,@,MIN,W (+6),0,17:28,4,7,.571,0,2,.000,0,0,,0,1,1,4,0,0,2,1,8,5.4,+8,1.0
33,2016-01-12,31-200,DAL,,CLE,L (-3),0,12:19,2,4,.500,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,1,7,5.9,-4,1.0
34,2016-01-13,31-201,DAL,@,OKC,L (-19),1,31:18,7,15,.467,3,7,.429,1,3,.333,0,3,3,6,0,0,3,4,18,10.0,-20,1.0
35,2016-01-15,31-203,DAL,@,CHI,W (+6),0,20:02,3,7,.429,1,3,.333,2,2,1.000,0,2,2,3,0,0,0,1,9,7.6,+5,1.0
36,2016-01-17,31-205,DAL,@,SAS,L (-29),0,16:04,2,7,.286,0,3,.000,1,2,.500,0,0,0,4,0,0,0,2,5,2.5,-2,1.0
37,2016-01-18,31-206,DAL,,BOS,W (+5),0,15:57,2,6,.333,0,2,.000,0,0,,0,1,1,3,0,0,2,0,4,1.0,-8,1.0
38,2016-01-20,31-208,DAL,,MIN,W (+12),0,18:06,0,5,.000,0,2,.000,0,0,,0,2,2,2,2,0,2,0,0,-1.5,-5,1.0
39,2016-01-22,31-210,DAL,,OKC,L (-3),0,21:10,2,6,.333,0,1,.000,0,0,,0,4,4,3,0,0,0,0,4,3.9,-6,1.0
40,2016-01-24,31-212,DAL,@,HOU,L (-11),0,13:42,1,7,.143,1,2,.500,0,0,,0,0,0,3,0,0,0,0,3,0.6,+6,1.0
41,2016-01-26,31-214,DAL,@,LAL,W (+2),0,28:07,8,17,.471,0,5,.000,2,2,1.000,2,2,4,4,1,0,1,4,18,12.5,+4,1.0
42,2016-01-27,31-215,DAL,@,GSW,L (-20),0,25:03,7,11,.636,0,1,.000,0,0,,1,2,3,5,0,0,1,3,14,11.7,-6,1.0
43,2016-01-29,31-217,DAL,,BRK,W (+12),0,24:54,5,10,.500,3,3,1.000,0,2,.000,0,3,3,3,1,0,1,3,13,9.0,+5,1.0
44,2016-01-31,31-219,DAL,,PHO,W (+13),0,24:31,4,10,.400,2,4,.500,0,0,,0,1,1,1,0,0,2,2,10,2.8,-8,1.0
45,2016-02-01,31-220,DAL,@,ATL,L (-15),0,31:18,5,12,.417,2,5,.400,3,3,1.000,0,0,0,4,0,0,2,3,15,8.2,-7,1.0
46,2016-02-03,31-222,DAL,,MIA,L (-3),1,34:49,4,12,.333,3,6,.500,0,0,,0,3,3,4,0,0,1,0,11,6.9,+6,1.0
47,2016-02-05,31-224,DAL,,SAS,L (-26),0,17:14,1,5,.200,0,3,.000,3,4,.750,0,0,0,1,0,0,0,4,5,0.6,-13,1.0
48,2016-02-06,31-225,DAL,@,MEM,W (+4),0,16:45,1,5,.200,1,3,.333,1,1,1.000,0,0,0,3,0,0,0,3,4,1.8,+5,1.0
49,2016-02-09,31-228,DAL,,UTA,L (-2),0,14:52,2,5,.400,1,2,.500,0,0,,0,1,1,6,0,0,0,1,5,6.4,-9,1.0
50,2016-02-19,31-238,DAL,@,ORL,L (-6),0,22:05,5,10,.500,2,3,.667,3,4,.750,0,2,2,2,0,0,1,1,15,10.2,+3,1.0
51,2016-02-21,31-240,DAL,,PHI,W (+26),0,24:22,5,9,.556,2,4,.500,0,0,,0,2,2,5,1,0,1,1,12,11.4,+7,1.0
52,2016-02-24,31-243,DAL,,OKC,L (-13),0,12:26,1,5,.200,0,1,.000,2,2,1.000,0,0,0,2,0,0,1,0,4,1.3,-6,1.0
53,2016-02-26,31-245,DAL,,DEN,W (+6),0,15:43,3,7,.429,0,2,.000,1,2,.500,0,3,3,1,0,0,0,0,7,4.5,-17,1.0
54,2016-02-28,31-247,DAL,,MIN,W (+27),0,23:46,5,10,.500,0,3,.000,2,2,1.000,1,1,2,7,0,0,3,1,12,9.5,-2,1.0
55,2016-03-01,31-249,DAL,,ORL,W (+13),0,22:15,6,9,.667,3,4,.750,2,2,1.000,0,2,2,4,0,0,0,1,17,16.1,0,1.0
56,2016-03-03,31-251,DAL,,SAC,L (-3),0,16:19,4,7,.571,0,1,.000,0,0,,1,2,3,4,0,0,1,3,8,6.6,+1,1.0
57,2016-03-06,31-254,DAL,@,DEN,L (-2),0,24:35,6,13,.462,3,7,.429,0,0,,1,0,1,4,0,0,3,0,15,8.8,-1,1.0
58,2016-03-07,31-255,DAL,,LAC,L (-19),0,22:35,4,8,.500,1,3,.333,0,1,.000,0,1,1,4,0,0,0,3,9,6.5,-20,1.0
59,2016-03-09,31-257,DAL,,DET,L (-6),0,13:13,3,5,.600,1,1,1.000,0,0,,0,1,1,2,1,0,0,0,7,7.4,-14,1.0
60,2016-03-12,31-260,DAL,,IND,L (-7),0,23:43,5,8,.625,0,1,.000,0,0,,1,2,3,5,0,0,2,0,10,9.2,+4,1.0
61,2016-03-14,31-262,DAL,@,CHO,W (+11),0,14:29,2,6,.333,0,1,.000,0,0,,0,0,0,4,0,0,0,2,4,2.6,-8,1.0
62,2016-03-16,31-264,DAL,@,CLE,L (-1),0,23:14,7,10,.700,3,3,1.000,0,0,,0,3,3,4,0,0,2,3,17,13.3,+4,1.0
63,2016-03-18,31-266,DAL,,GSW,L (-18),0,28:03,6,16,.375,2,4,.500,2,2,1.000,0,3,3,7,0,0,4,1,16,8.6,-20,1.0
64,2016-03-20,31-268,DAL,,POR,W (+12),0,24:00,4,9,.444,1,3,.333,0,0,,0,3,3,2,0,0,2,0,9,4.6,-8,1.0
65,2016-03-23,31-271,DAL,@,POR,L (-6),0,25:03,6,14,.429,0,2,.000,2,2,1.000,2,0,2,5,1,0,1,2,14,10.7,+4,1.0
66,2016-03-25,31-273,DAL,@,GSW,L (-8),1,32:04,8,16,.500,5,8,.625,0,0,,1,2,3,6,0,0,2,2,21,15.7,-14,1.0
67,2016-03-27,31-275,DAL,@,SAC,L (-22),1,26:53,7,14,.500,0,2,.000,0,0,,1,2,3,3,0,0,3,2,14,6.6,-3,1.0
68,2016-03-28,31-276,DAL,@,DEN,W (+9),0,26:26,7,13,.538,3,6,.500,1,2,.500,0,1,1,11,2,0,1,2,18,19.5,+18,1.0
69,2016-03-30,31-278,DAL,,NYK,W (+2),0,30:02,10,18,.556,4,7,.571,2,2,1.000,1,4,5,7,0,0,2,0,26,22.2,+17,1.0
70,2016-04-01,31-280,DAL,@,DET,W (+9),1,34:40,13,23,.565,2,5,.400,1,1,1.000,0,3,3,3,0,0,3,2,29,17.3,+12,1.0
71,2016-04-03,31-282,DAL,@,MIN,W (+10),1,34:41,8,19,.421,3,7,.429,2,4,.500,0,3,3,6,1,0,1,1,21,14.8,+5,1.0
72,2016-04-06,31-285,DAL,,HOU,W (+2),1,36:52,10,16,.625,4,7,.571,3,3,1.000,0,5,5,8,0,0,2,1,27,24.5,+1,1.0
73,2016-04-08,31-287,DAL,,MEM,W (+10),1,8:28,2,6,.333,0,3,.000,1,2,.500,0,1,1,1,0,0,1,1,5,0.8,-7,1.0
74,2016-04-11,31-290,DAL,@,UTA,W (+9),1,27:27,2,11,.182,1,6,.167,0,0,,1,4,5,4,3,0,3,1,5,2.4,+17,1.0
