G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,35-233,MEM,,CLE,L (-30),0,17:30,0,4,.000,0,3,.000,0,0,,0,2,2,1,0,0,2,2,0,-4.3,-28,3.0
2,2015-10-29,35-234,MEM,@,IND,W (+9),0,21:08,3,7,.429,3,6,.500,1,2,.500,0,3,3,1,3,0,0,2,10,9.7,-5,3.0
3,2015-10-31,35-236,MEM,,BRK,W (+10),0,15:41,2,8,.250,0,4,.000,0,0,,1,0,1,0,1,0,0,4,4,-0.7,+5,3.0
4,2015-11-02,35-238,MEM,@,GSW,L (-50),0,26:20,4,12,.333,1,6,.167,0,0,,2,4,6,1,1,3,2,4,9,5.0,-36,3.0
5,2015-11-03,35-239,MEM,@,SAC,W (+14),0,23:36,1,9,.111,0,5,.000,5,5,1.000,0,3,3,2,1,2,0,5,7,3.8,+9,3.0
6,2015-11-05,35-241,MEM,@,POR,L (-19),0,24:29,2,6,.333,1,4,.250,0,0,,1,4,5,3,0,1,0,3,5,5.1,-13,3.0
7,2015-11-07,35-243,MEM,@,UTA,L (-10),0,20:52,3,6,.500,2,4,.500,3,3,1.000,1,2,3,0,1,0,1,3,11,8.1,-2,3.0
8,2015-11-09,35-245,MEM,@,LAC,L (-2),0,26:17,2,8,.250,1,3,.333,3,3,1.000,0,6,6,1,2,2,1,4,8,6.5,-18,3.0
9,2015-11-11,35-247,MEM,,GSW,L (-16),0,25:32,1,8,.125,1,4,.250,0,0,,1,2,3,0,2,0,1,4,3,-1.5,-17,3.0
10,2015-11-13,35-249,MEM,,POR,W (+1),0,18:18,2,2,1.000,2,2,1.000,0,0,,0,3,3,0,1,0,0,4,6,5.7,+2,3.0
11,2015-11-15,35-251,MEM,@,MIN,W (+8),0,12:57,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.9,+3,3.0
