G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-181,LAL,,MIN,L (-1),0,17:11,1,4,.250,0,0,,0,0,,1,5,6,0,0,0,2,2,2,-1.0,+2,4.0
2,2015-10-30,30-183,LAL,@,SAC,L (-18),0,20:10,2,4,.500,0,0,,4,4,1.000,1,2,3,1,0,0,1,4,8,5.4,-9,4.0
3,2015-11-01,30-185,LAL,,DAL,L (-10),0,20:23,4,6,.667,0,0,,2,3,.667,2,3,5,2,0,0,0,0,10,10.7,-8,4.0
4,2015-11-03,30-187,LAL,,DEN,L (-11),0,18:42,0,4,.000,0,0,,2,2,1.000,6,1,7,0,1,0,3,2,2,0.9,-8,4.0
5,2015-11-06,30-190,LAL,@,BRK,W (+6),0,3:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+3,4.0
6,2015-11-10,30-194,LAL,@,MIA,L (-13),0,10:29,3,3,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,6,4.5,-4,4.0
7,2015-11-11,30-195,LAL,@,ORL,L (-2),0,12:46,2,6,.333,0,0,,0,0,,2,3,5,2,0,0,0,3,4,3.1,+5,4.0
8,2015-11-13,30-197,LAL,@,DAL,L (-8),0,17:57,3,6,.500,0,1,.000,1,1,1.000,7,3,10,1,1,3,4,2,7,8.8,-8,4.0
9,2015-11-15,30-199,LAL,,DET,W (+12),0,19:42,3,5,.600,0,0,,0,0,,1,2,3,2,0,2,1,1,6,6.4,+10,4.0
10,2015-11-16,30-200,LAL,@,PHO,L (-19),0,15:23,1,3,.333,0,0,,0,0,,1,3,4,0,2,1,1,2,2,2.8,-14,4.0
11,2015-11-20,30-204,LAL,,TOR,L (-11),0,15:26,2,3,.667,0,0,,3,4,.750,3,2,5,2,0,0,1,0,7,8.4,-19,4.0
12,2015-11-22,30-206,LAL,,POR,L (-14),0,22:44,2,3,.667,0,0,,3,4,.750,0,3,3,1,0,1,0,3,7,6.4,-3,4.0
13,2015-11-24,30-208,LAL,@,GSW,L (-34),0,12:51,3,5,.600,0,0,,0,0,,1,4,5,0,0,0,0,1,6,5.2,-16,4.0
14,2015-11-28,30-212,LAL,@,POR,L (-12),0,17:32,1,4,.250,0,0,,3,4,.750,1,2,3,2,0,1,0,2,5,4.8,+2,4.0
15,2015-11-29,30-213,LAL,,IND,L (-4),0,18:07,4,5,.800,0,0,,0,0,,2,2,4,1,0,0,0,4,8,7.2,+4,4.0
16,2015-12-01,30-215,LAL,@,PHI,L (-12),0,15:02,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,1,3,4,2.1,-3,4.0
17,2015-12-02,30-216,LAL,@,WAS,W (+4),0,16:40,5,8,.625,0,0,,0,0,,4,1,5,1,1,0,1,0,10,10.2,+9,4.0
18,2015-12-04,30-218,LAL,@,ATL,L (-13),0,24:47,2,5,.400,0,0,,0,0,,1,4,5,2,0,2,0,1,4,5.6,-5,4.0
19,2015-12-06,30-220,LAL,@,DET,L (-20),0,11:15,3,4,.750,0,0,,0,0,,1,4,5,0,0,0,0,1,6,5.9,-3,4.0
20,2015-12-11,30-225,LAL,@,SAS,L (-22),0,5:29,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,6,5.4,-1,4.0
21,2015-12-15,30-229,LAL,,MIL,W (+18),0,1:49,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-2,4.0
22,2015-12-19,30-233,LAL,@,OKC,L (-40),0,10:24,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,0,1,4,1.2,-5,4.0
23,2015-12-22,30-236,LAL,@,DEN,W (+4),0,30:40,4,5,.800,0,0,,3,3,1.000,1,5,6,2,0,4,1,1,11,14.1,+3,4.0
24,2015-12-23,30-237,LAL,,OKC,L (-35),0,16:17,2,4,.500,0,0,,0,0,,2,4,6,1,0,2,0,1,4,6.3,+14,4.0
25,2015-12-25,30-239,LAL,,LAC,L (-10),0,20:48,3,5,.600,0,0,,1,2,.500,0,3,3,1,1,1,0,1,7,7.2,+8,4.0
26,2015-12-27,30-241,LAL,@,MEM,L (-16),0,15:21,1,2,.500,0,0,,0,0,,1,1,2,0,1,2,0,0,2,4.4,-5,4.0
27,2015-12-28,30-242,LAL,@,CHO,L (-10),0,20:49,5,5,1.000,0,0,,2,2,1.000,0,3,3,1,2,0,1,2,12,12.3,-5,4.0
28,2015-12-30,30-244,LAL,@,BOS,W (+8),0,24:29,2,4,.500,0,0,,5,5,1.000,1,5,6,3,0,0,0,4,9,9.7,-2,4.0
29,2016-01-01,30-246,LAL,,PHI,W (+9),0,24:56,2,4,.500,0,0,,1,2,.500,1,3,4,2,2,2,0,2,5,8.2,+5,4.0
30,2016-01-03,30-248,LAL,,PHO,W (+20),0,19:12,3,6,.500,0,0,,2,3,.667,1,1,2,2,0,2,1,1,8,7.0,+3,4.0
31,2016-01-05,30-250,LAL,,GSW,L (-21),0,16:33,3,4,.750,0,0,,2,3,.667,3,1,4,0,0,0,0,1,8,8.0,+2,4.0
32,2016-01-07,30-252,LAL,@,SAC,L (-3),0,36:07,3,3,1.000,0,0,,4,4,1.000,1,5,6,4,5,2,0,4,10,18.9,+17,4.0
33,2016-01-08,30-253,LAL,,OKC,L (-4),0,25:04,3,5,.600,0,0,,2,2,1.000,2,3,5,3,1,0,0,2,8,10.3,+2,4.0
34,2016-01-12,30-257,LAL,,NOP,W (+4),0,14:32,3,8,.375,0,0,,0,0,,2,1,3,1,0,0,1,1,6,2.6,0,4.0
35,2016-01-17,30-262,LAL,,HOU,L (-17),0,18:54,2,4,.500,0,0,,4,4,1.000,0,1,1,0,1,2,1,1,8,7.3,-8,4.0
36,2016-01-20,30-265,LAL,,SAC,L (-19),0,29:40,7,12,.583,0,0,,4,4,1.000,4,3,7,2,0,3,1,3,18,17.4,-15,4.0
37,2016-01-22,30-267,LAL,,SAS,L (-13),0,20:21,1,4,.250,0,0,,3,4,.750,3,3,6,2,0,3,0,2,5,7.9,-9,4.0
38,2016-01-23,30-268,LAL,@,POR,L (-18),0,20:37,1,3,.333,0,0,,2,2,1.000,1,5,6,2,1,1,0,1,4,7.2,+5,4.0
39,2016-01-26,30-271,LAL,,DAL,L (-2),0,13:58,1,2,.500,0,0,,3,4,.750,1,3,4,0,0,0,1,5,5,2.2,-6,4.0
40,2016-01-28,30-273,LAL,,CHI,L (-23),0,22:34,2,5,.400,0,0,,2,2,1.000,1,3,4,3,0,2,0,1,6,8.0,-3,4.0
41,2016-01-29,30-274,LAL,@,LAC,L (-12),0,19:32,4,7,.571,0,0,,0,0,,2,4,6,0,1,0,3,2,8,4.5,-14,4.0
42,2016-01-31,30-276,LAL,,CHO,L (-19),0,19:55,0,4,.000,0,0,,2,2,1.000,1,0,1,2,0,1,0,2,2,1.2,-9,4.0
43,2016-02-02,30-278,LAL,,MIN,W (+4),0,27:27,2,3,.667,0,0,,2,3,.667,1,2,3,4,1,0,1,3,6,7.2,+4,4.0
44,2016-02-04,30-280,LAL,@,NOP,W (+3),0,24:31,2,6,.333,0,0,,1,2,.500,1,4,5,1,0,0,2,2,5,1.0,-7,4.0
45,2016-02-06,30-282,LAL,@,SAS,L (-4),0,25:41,1,5,.200,0,0,,2,2,1.000,1,3,4,0,1,1,0,1,4,3.8,+2,4.0
46,2016-02-08,30-284,LAL,@,IND,L (-2),0,32:21,3,6,.500,0,0,,3,4,.750,5,1,6,2,2,0,0,6,9,10.4,+13,4.0
47,2016-02-10,30-286,LAL,@,CLE,L (-9),0,31:06,2,5,.400,0,0,,3,3,1.000,2,5,7,1,0,1,0,2,7,7.8,+8,4.0
48,2016-02-19,30-295,LAL,,SAS,L (-6),0,25:40,4,4,1.000,0,0,,2,2,1.000,0,1,1,1,2,2,2,3,10,10.0,-3,4.0
49,2016-02-21,30-297,LAL,@,CHI,L (-11),0,26:51,4,5,.800,0,0,,5,6,.833,4,3,7,1,1,2,1,2,13,15.7,+7,4.0
50,2016-02-22,30-298,LAL,@,MIL,L (-7),0,19:02,4,6,.667,0,0,,3,4,.750,1,3,4,0,0,0,2,4,11,6.0,-1,4.0
51,2016-02-24,30-300,LAL,@,MEM,L (-9),0,22:22,3,5,.600,0,0,,5,5,1.000,3,3,6,0,1,1,0,3,11,12.2,+12,4.0
52,2016-02-26,30-302,LAL,,MEM,L (-17),0,16:57,1,2,.500,0,0,,3,4,.750,0,2,2,0,0,0,0,0,5,4.2,+5,4.0
53,2016-03-01,30-306,LAL,,BRK,W (+6),0,17:50,1,5,.200,0,0,,3,4,.750,0,3,3,0,0,2,0,3,5,2.6,+10,4.0
54,2016-03-02,30-307,LAL,@,DEN,L (-10),0,28:54,4,7,.571,0,0,,3,5,.600,0,1,1,1,2,1,1,4,11,8.0,+7,4.0
55,2016-03-04,30-309,LAL,,ATL,L (-29),0,24:47,4,8,.500,0,0,,4,6,.667,3,4,7,0,0,0,0,1,12,10.1,-17,4.0
56,2016-03-06,30-311,LAL,,GSW,W (+17),0,27:22,5,7,.714,0,0,,3,4,.750,3,4,7,1,0,3,0,2,13,15.0,+16,4.0
