G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,28-322,DET,@,ATL,W (+12),0,10:51,3,5,.600,0,0,,0,0,,1,4,5,0,0,0,1,2,6,3.8,-11,5.0
2,2015-10-28,28-323,DET,,UTA,W (+5),0,11:53,1,4,.250,0,0,,2,2,1.000,2,1,3,0,0,1,0,3,4,2.8,-9,5.0
3,2015-10-30,28-325,DET,,CHI,W (+4),0,13:55,2,4,.500,0,0,,0,2,.000,1,5,6,1,0,0,0,1,4,3.7,-8,5.0
4,2015-11-03,28-329,DET,,IND,L (-12),0,4:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-20,5.0
5,2015-11-06,28-332,DET,@,PHO,W (+8),0,11:51,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,3,4,4.2,+7,5.0
6,2015-11-08,28-334,DET,@,POR,W (+17),0,12:08,1,1,1.000,0,0,,2,2,1.000,2,3,5,1,0,1,1,1,4,6.0,+3,5.0
7,2015-11-09,28-335,DET,@,GSW,L (-14),0,12:27,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,2,0,2,1.3,-7,5.0
8,2015-11-11,28-337,DET,@,SAC,L (-9),0,13:23,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,+6,5.0
9,2015-11-14,28-340,DET,@,LAC,L (-5),0,14:11,3,5,.600,0,0,,0,0,,1,1,2,0,0,0,1,1,6,3.3,+5,5.0
10,2015-11-15,28-341,DET,@,LAL,L (-12),0,7:18,4,5,.800,0,0,,1,2,.500,0,1,1,0,0,0,0,1,9,6.6,-7,5.0
11,2015-11-17,28-343,DET,,CLE,W (+5),0,8:46,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,0,2,2.3,-12,5.0
12,2015-11-20,28-346,DET,@,MIN,W (+10),0,18:45,2,4,.500,0,0,,2,2,1.000,4,7,11,1,2,2,4,3,6,7.8,+1,5.0
13,2015-11-21,28-347,DET,,WAS,L (-2),0,10:54,2,3,.667,0,0,,0,1,.000,1,3,4,0,0,0,1,2,4,2.1,-10,5.0
14,2015-11-23,28-349,DET,@,MIL,L (-21),0,18:50,2,7,.286,0,0,,2,2,1.000,5,4,9,1,0,0,0,2,6,6.5,-6,5.0
15,2015-11-25,28-351,DET,,MIA,W (+23),0,12:34,3,4,.750,0,0,,0,0,,1,4,5,1,0,1,0,1,6,7.3,+12,5.0
16,2015-11-27,28-353,DET,@,OKC,L (-16),0,15:34,2,5,.400,0,0,,0,0,,2,4,6,0,0,0,0,4,4,2.3,-11,5.0
17,2015-11-29,28-355,DET,@,BRK,L (-4),0,11:16,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,2,1,2,-2.5,-7,5.0
18,2015-11-30,28-356,DET,,HOU,W (+11),0,20:32,5,8,.625,0,0,,1,2,.500,3,1,4,2,0,1,1,3,11,9.3,-4,5.0
19,2015-12-02,28-358,DET,,PHO,W (+5),0,10:44,0,5,.000,0,0,,0,0,,4,1,5,0,0,0,2,3,0,-3.6,-3,5.0
20,2015-12-04,28-360,DET,,MIL,W (+7),0,12:08,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.8,+9,5.0
21,2015-12-06,28-362,DET,,LAL,W (+20),0,21:21,1,6,.167,0,0,,0,0,,4,4,8,2,0,0,2,2,2,0.8,-4,5.0
22,2015-12-07,28-363,DET,@,CHO,L (-20),0,20:31,4,8,.500,0,0,,0,1,.000,1,2,3,1,4,0,0,3,8,8.4,-11,5.0
23,2015-12-09,29-000,DET,,MEM,L (-1),0,11:30,2,6,.333,0,0,,2,2,1.000,2,2,4,2,0,1,1,1,6,5.3,-5,5.0
24,2015-12-11,29-002,DET,@,PHI,W (+12),0,15:08,3,4,.750,0,0,,0,0,,1,1,2,1,0,1,2,5,6,2.8,-15,5.0
25,2015-12-12,29-003,DET,,IND,W (+22),0,16:20,1,2,.500,0,0,,4,6,.667,2,5,7,1,0,1,2,2,6,5.7,+5,5.0
