G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,26-118,ATL,,DET,L (-12),1,20:50,0,3,.000,0,1,.000,0,0,,0,7,7,1,0,0,4,3,0,-4.5,-17,2.0
2,2015-10-29,26-120,ATL,@,NYK,W (+11),1,25:10,2,6,.333,1,2,.500,0,0,,0,1,1,5,2,0,1,2,5,5.6,+17,2.0
3,2015-10-30,26-121,ATL,,CHO,W (+3),1,30:38,7,13,.538,4,5,.800,1,2,.500,2,7,9,1,0,0,1,3,19,14.3,-10,2.0
4,2015-11-01,26-123,ATL,@,CHO,W (+2),1,28:13,6,12,.500,2,5,.400,6,6,1.000,0,4,4,1,3,1,0,1,20,19.2,-6,2.0
5,2015-11-03,26-125,ATL,@,MIA,W (+6),1,32:27,4,8,.500,2,3,.667,0,0,,0,5,5,3,1,0,2,1,10,8.2,-8,2.0
6,2015-11-04,26-126,ATL,,BRK,W (+14),1,27:27,3,6,.500,2,3,.667,0,0,,0,4,4,3,3,2,1,3,8,10.5,+7,2.0
7,2015-11-06,26-128,ATL,@,NOP,W (+6),1,32:50,2,5,.400,0,1,.000,6,7,.857,0,5,5,4,3,1,2,3,10,11.7,+2,2.0
8,2015-11-07,26-129,ATL,,WAS,W (+15),1,29:09,10,15,.667,4,7,.571,1,1,1.000,0,4,4,3,2,0,0,0,25,23.8,+16,2.0
9,2015-11-09,26-131,ATL,,MIN,L (-10),1,31:03,4,11,.364,1,5,.200,0,0,,0,6,6,3,5,1,5,6,9,5.1,-9,2.0
10,2015-11-11,26-133,ATL,,NOP,W (+8),1,32:07,4,11,.364,0,4,.000,2,2,1.000,0,3,3,2,0,0,3,3,10,2.0,+8,2.0
11,2015-11-13,26-135,ATL,@,BOS,L (-13),1,27:51,6,13,.462,0,3,.000,0,0,,0,2,2,2,0,0,2,2,12,4.5,-16,2.0
12,2015-11-15,26-137,ATL,,UTA,L (-1),1,29:45,6,7,.857,2,2,1.000,2,2,1.000,1,2,3,3,1,0,1,0,16,16.9,+6,2.0
13,2015-11-27,26-149,ATL,@,MEM,W (+15),1,26:21,5,9,.556,2,5,.400,2,2,1.000,0,3,3,2,1,0,1,3,14,10.8,-1,2.0
14,2015-11-28,26-150,ATL,@,SAS,L (-20),0,19:49,5,10,.500,0,2,.000,1,1,1.000,0,7,7,0,1,1,2,3,11,6.6,-2,2.0
15,2015-11-30,26-152,ATL,,OKC,W (+6),0,22:15,3,8,.375,1,3,.333,0,0,,0,2,2,1,0,2,0,1,7,4.9,-8,2.0
16,2015-12-02,26-154,ATL,,TOR,L (-10),0,25:48,2,9,.222,1,3,.333,4,6,.667,0,3,3,0,1,1,1,4,9,2.7,-14,2.0
17,2015-12-04,26-156,ATL,,LAL,W (+13),0,25:20,5,10,.500,2,3,.667,3,4,.750,0,3,3,2,4,0,0,2,15,15.1,+12,2.0
18,2015-12-09,26-161,ATL,@,DAL,W (+3),0,22:48,5,10,.500,2,3,.667,0,0,,0,8,8,2,0,1,1,2,12,9.7,+9,2.0
19,2015-12-10,26-162,ATL,@,OKC,L (-13),0,27:36,7,12,.583,4,7,.571,4,4,1.000,0,2,2,2,1,0,0,2,22,18.6,-11,2.0
20,2015-12-12,26-164,ATL,,SAS,L (-25),0,24:37,4,11,.364,0,3,.000,1,1,1.000,0,3,3,1,2,0,0,0,9,6.5,-19,2.0
21,2015-12-14,26-166,ATL,,MIA,L (-12),1,39:35,11,18,.611,3,7,.429,3,3,1.000,1,4,5,2,1,1,2,4,28,21.2,-12,2.0
22,2015-12-16,26-168,ATL,,PHI,W (+21),1,24:30,2,5,.400,0,1,.000,4,4,1.000,0,7,7,3,1,2,0,0,8,11.9,+6,2.0
23,2015-12-18,26-170,ATL,@,BOS,W (+8),1,36:42,6,16,.375,0,4,.000,3,5,.600,0,3,3,2,1,0,2,4,15,5.1,+16,2.0
24,2015-12-20,26-172,ATL,@,ORL,W (+3),1,32:55,5,9,.556,1,1,1.000,2,3,.667,0,6,6,4,1,0,2,1,13,11.5,-7,2.0
25,2015-12-21,26-173,ATL,,POR,W (+9),1,29:18,4,10,.400,2,6,.333,2,2,1.000,1,6,7,1,1,0,0,2,12,10.0,+4,2.0
26,2015-12-23,26-175,ATL,,DET,W (+7),1,29:37,3,7,.429,1,3,.333,1,1,1.000,0,6,6,2,2,0,2,2,8,6.7,+9,2.0
27,2015-12-26,26-178,ATL,,NYK,W (+19),1,27:03,2,8,.250,2,6,.333,0,0,,0,4,4,4,2,0,3,2,6,3.4,+4,2.0
28,2015-12-28,26-180,ATL,@,IND,L (-6),1,31:43,2,6,.333,2,4,.500,2,2,1.000,1,8,9,6,0,2,2,1,8,10.9,+9,2.0
29,2015-12-29,26-181,ATL,@,HOU,W (+6),1,34:40,7,13,.538,5,9,.556,7,8,.875,0,3,3,4,2,0,4,4,26,19.4,+10,2.0
