G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-217,SAC,,LAC,L (-7),0,31:57,3,12,.250,3,7,.429,0,0,,0,2,2,7,1,0,0,3,9,7.1,-1,2.0
2,2015-10-30,29-219,SAC,,LAL,W (+18),0,22:12,2,7,.286,1,5,.200,1,2,.500,0,2,2,2,1,0,2,2,6,1.7,+4,2.0
3,2015-10-31,29-220,SAC,@,LAC,L (-5),0,28:04,2,8,.250,1,2,.500,6,6,1.000,0,2,2,1,1,0,0,2,11,7.7,0,2.0
4,2015-11-03,29-223,SAC,,MEM,L (-14),0,24:56,3,9,.333,2,6,.333,4,6,.667,0,0,0,3,0,0,1,3,12,6.0,-6,2.0
5,2015-11-04,29-224,SAC,@,PHO,L (-21),0,26:13,6,11,.545,2,5,.400,1,1,1.000,0,2,2,3,1,0,1,2,15,11.6,-8,2.0
6,2015-11-06,29-226,SAC,,HOU,L (-6),1,23:02,2,10,.200,0,5,.000,1,2,.500,0,1,1,2,0,0,0,0,5,0.1,-23,2.0
7,2015-11-07,29-227,SAC,,GSW,L (-9),0,34:33,5,11,.455,3,6,.500,9,10,.900,1,2,3,2,1,0,4,1,22,15.2,-15,2.0
8,2015-11-09,29-229,SAC,,SAS,L (-18),0,31:46,7,13,.538,3,4,.750,0,0,,1,0,1,5,0,0,3,0,17,11.9,-17,2.0
9,2015-11-11,29-231,SAC,,DET,W (+9),0,27:50,2,7,.286,1,3,.333,4,4,1.000,0,0,0,0,0,0,1,4,9,2.3,-7,2.0
10,2015-11-13,29-233,SAC,,BRK,W (+2),0,31:16,5,14,.357,2,6,.333,2,2,1.000,0,2,2,4,2,0,3,1,14,8.2,+11,2.0
11,2015-11-15,29-235,SAC,,TOR,W (+6),0,26:18,2,8,.250,1,3,.333,2,2,1.000,0,2,2,1,1,0,2,3,7,1.3,+8,2.0
12,2015-11-18,29-238,SAC,@,ATL,L (-6),0,26:29,3,8,.375,0,2,.000,2,2,1.000,1,2,3,2,0,0,3,2,8,2.5,-6,2.0
13,2015-11-19,29-239,SAC,@,MIA,L (-7),0,26:09,5,11,.455,5,10,.500,8,9,.889,0,1,1,1,0,0,2,3,23,14.7,-1,2.0
14,2015-11-21,29-241,SAC,@,ORL,W (+6),0,26:43,3,7,.429,2,5,.400,5,6,.833,0,2,2,3,0,0,0,2,13,10.8,+22,2.0
