G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,22-230,TOR,@,BOS,W (+10),0,2:43,0,0,,0,0,,0,0,,0,3,3,0,1,0,2,3,0,-1.3,+3,4.0
2,2015-11-01,22-232,TOR,,MIL,W (+19),0,2:22,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,-2,4.0
3,2015-11-06,22-237,TOR,@,ORL,L (-5),0,5:30,0,2,.000,0,2,.000,2,2,1.000,1,0,1,0,2,0,0,0,2,3.3,-8,4.0
4,2015-11-08,22-239,TOR,@,MIA,L (-20),0,7:27,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8,4.0
5,2015-11-10,22-241,TOR,,NYK,L (-2),0,17:24,0,3,.000,0,1,.000,3,4,.750,1,2,3,0,0,0,0,1,3,1.4,-9,4.0
6,2015-11-11,22-242,TOR,@,PHI,W (+16),0,5:28,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,1.9,-4,4.0
7,2015-11-13,22-244,TOR,,NOP,W (+19),0,2:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-2,4.0
8,2015-12-13,22-274,TOR,,PHI,W (+20),0,1:30,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+4,4.0
9,2015-12-14,22-275,TOR,@,IND,L (-16),0,3:27,1,4,.250,0,2,.000,0,0,,2,1,3,0,0,0,0,0,2,1.3,+9,4.0
10,2015-12-22,22-283,TOR,,DAL,W (+4),0,9:49,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,0,0,1,5,2.5,-12,4.0
11,2016-01-22,22-314,TOR,,MIA,W (+20),0,1:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,4.0
12,2016-01-24,22-316,TOR,,LAC,W (+18),0,2:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,4.0
13,2016-01-26,22-318,TOR,,WAS,W (+17),0,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
14,2016-02-01,22-324,TOR,@,DEN,L (-19),0,7:41,1,3,.333,0,1,.000,2,2,1.000,1,2,3,0,1,0,0,0,4,4.6,+8,4.0
15,2016-02-08,22-331,TOR,@,DET,W (+14),0,1:45,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7,4.0
16,2016-02-19,22-342,TOR,@,CHI,L (-10),0,4:38,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,-5,4.0
17,2016-02-22,22-345,TOR,@,NYK,W (+27),0,1:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,4.0
18,2016-02-26,22-349,TOR,,CLE,W (+2),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,4.0
19,2016-02-28,22-351,TOR,@,DET,L (-13),0,2:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+5,4.0
