G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,23-342,LAL,@,SAC,L (-18),0,6:34,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,-5,5.0
2,2015-11-03,23-346,LAL,,DEN,L (-11),0,18:09,3,4,.750,0,0,,1,2,.500,2,6,8,0,0,0,1,4,7,5.6,-1,5.0
3,2015-11-06,23-349,LAL,@,BRK,W (+6),0,17:40,1,2,.500,0,0,,5,8,.625,2,4,6,0,1,0,2,4,7,4.8,+6,5.0
4,2015-11-08,23-351,LAL,@,NYK,L (-4),0,15:09,4,6,.667,0,0,,0,2,.000,1,3,4,1,0,0,2,2,8,4.1,-3,5.0
5,2015-11-10,23-353,LAL,@,MIA,L (-13),0,13:31,1,2,.500,0,0,,0,0,,1,6,7,0,0,1,0,4,2,2.6,+16,5.0
6,2015-11-11,23-354,LAL,@,ORL,L (-2),0,6:13,0,2,.000,0,0,,0,0,,1,2,3,0,0,1,0,1,0,0.2,0,5.0
7,2015-11-16,23-359,LAL,@,PHO,L (-19),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,5.0
8,2015-11-24,24-002,LAL,@,GSW,L (-34),0,12:00,3,6,.500,0,0,,0,0,,0,6,6,0,0,0,0,3,6,3.6,0,5.0
9,2016-01-05,24-044,LAL,,GSW,L (-21),0,7:36,2,2,1.000,0,0,,0,0,,0,4,4,1,0,1,0,0,4,6.0,+7,5.0
10,2016-01-14,24-053,LAL,@,GSW,L (-18),0,16:22,3,5,.600,0,0,,0,3,.000,4,2,6,0,1,0,2,3,6,3.7,-11,5.0
11,2016-01-16,24-055,LAL,@,UTA,L (-27),0,21:32,3,4,.750,0,0,,0,2,.000,4,2,6,1,0,0,1,1,6,6.3,-4,5.0
12,2016-01-17,24-056,LAL,,HOU,L (-17),0,4:44,0,0,,0,0,,1,2,.500,0,4,4,0,0,0,0,0,1,1.8,+4,5.0
13,2016-01-22,24-061,LAL,,SAS,L (-13),0,7:29,2,3,.667,0,0,,0,0,,0,2,2,0,0,1,0,0,4,4.0,+12,5.0
14,2016-01-26,24-065,LAL,,DAL,L (-2),0,7:33,1,1,1.000,0,0,,1,2,.500,0,3,3,0,0,0,1,2,3,1.4,+5,5.0
15,2016-01-28,24-067,LAL,,CHI,L (-23),0,5:02,0,2,.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,2,2,0.8,-2,5.0
16,2016-02-02,24-072,LAL,,MIN,W (+4),0,20:00,1,2,.500,0,0,,0,0,,0,4,4,2,1,2,1,5,2,3.0,+4,5.0
17,2016-02-04,24-074,LAL,@,NOP,W (+3),0,15:57,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,4.0,-1,5.0
18,2016-02-06,24-076,LAL,@,SAS,L (-4),0,17:01,2,4,.500,0,0,,0,2,.000,3,5,8,0,0,0,0,2,4,4.0,+1,5.0
19,2016-02-08,24-078,LAL,@,IND,L (-2),0,14:50,0,1,.000,0,0,,0,0,,0,5,5,0,0,1,0,3,0,0.3,+4,5.0
20,2016-02-10,24-080,LAL,@,CLE,L (-9),0,17:46,2,3,.667,0,0,,0,0,,2,3,5,0,1,1,0,4,4,5.1,+17,5.0
