G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-31,26-192,WAS,,NYK,L (-7),0,4:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,2,0,-2.8,+3,4.0
2,2015-11-06,26-198,WAS,@,BOS,L (-20),0,7:40,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,3,5,0,-3.7,-6,4.0
3,2015-11-10,26-202,WAS,,OKC,L (-24),0,17:26,2,8,.250,0,0,,0,0,,4,5,9,0,1,0,1,6,4,1.1,-4,4.0
4,2015-11-17,26-209,WAS,,MIL,W (+29),0,4:34,0,1,.000,0,0,,1,2,.500,0,0,0,3,0,0,0,0,1,2.0,0,4.0
5,2015-11-24,26-216,WAS,,IND,L (-17),0,1:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,4.0
6,2015-11-27,26-219,WAS,@,BOS,L (-33),0,14:57,0,2,.000,0,0,,0,0,,2,3,5,0,1,0,2,2,0,-0.9,0,4.0
7,2015-12-04,26-226,WAS,,PHO,W (+3),0,10:22,2,2,1.000,0,0,,0,2,.000,4,0,4,2,0,0,0,2,4,6.0,-2,4.0
8,2015-12-06,26-228,WAS,,DAL,L (-12),0,12:14,3,3,1.000,0,0,,1,3,.333,0,2,2,0,0,0,0,4,7,4.3,-9,4.0
9,2015-12-07,26-229,WAS,@,MIA,W (+11),0,1:23,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-2,4.0
10,2015-12-09,26-231,WAS,,HOU,L (-6),0,12:06,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,3,0,-1.6,+11,4.0
11,2015-12-11,26-233,WAS,@,NOP,L (-2),0,7:05,2,5,.400,0,0,,1,2,.500,2,1,3,0,0,0,1,0,5,2.6,+3,4.0
12,2015-12-12,26-234,WAS,@,DAL,W (+3),0,8:08,0,3,.000,0,1,.000,0,0,,0,3,3,0,1,0,0,1,0,-0.6,-2,4.0
13,2015-12-14,26-236,WAS,@,MEM,L (-17),0,22:04,3,5,.600,0,0,,0,0,,1,3,4,1,1,1,0,5,6,5.7,-2,4.0
14,2015-12-16,26-238,WAS,@,SAS,L (-19),0,8:27,1,3,.333,0,0,,2,2,1.000,1,1,2,0,0,0,2,4,4,-0.3,-11,4.0
15,2015-12-21,26-243,WAS,,SAC,W (+14),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
16,2015-12-23,26-245,WAS,,MEM,W (+9),0,8:30,2,4,.500,0,0,,0,0,,0,1,1,0,1,0,0,2,4,2.5,+1,4.0
17,2015-12-26,26-248,WAS,@,BRK,W (+15),0,6:25,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,3,2,-1.3,-14,4.0
18,2015-12-28,26-250,WAS,,LAC,L (-17),0,3:56,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,1,0,-0.1,+9,4.0
19,2016-01-11,26-264,WAS,@,CHI,W (+14),0,13:02,4,6,.667,0,0,,0,0,,0,3,3,1,0,0,0,2,8,6.2,+4,4.0
20,2016-01-13,26-266,WAS,,MIL,W (+5),0,5:22,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-13,4.0
21,2016-01-15,26-268,WAS,@,IND,W (+14),0,22:49,6,8,.750,0,0,,0,0,,3,3,6,1,2,0,1,4,12,11.9,+7,4.0
22,2016-01-16,26-269,WAS,,BOS,L (-2),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
23,2016-01-18,26-271,WAS,,POR,L (-10),0,1:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,4.0
24,2016-01-20,26-273,WAS,,MIA,W (+19),0,2:58,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-1,4.0
25,2016-01-25,26-278,WAS,,BOS,L (-25),0,4:51,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-3,4.0
26,2016-01-26,26-279,WAS,@,TOR,L (-17),0,1:57,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,0,4.0
27,2016-02-01,26-285,WAS,@,OKC,L (-16),0,6:17,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,0,4.0
28,2016-02-05,26-289,WAS,,PHI,W (+12),0,5:39,0,1,.000,0,0,,0,2,.000,0,3,3,0,0,0,0,1,0,-1.0,-8,4.0
29,2016-02-11,26-295,WAS,@,MIL,L (-7),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0,4.0
