G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-193,BRK,,CHI,L (-15),0,28:44,3,8,.375,0,2,.000,3,3,1.000,0,1,1,1,0,0,2,1,9,3.2,-2,3.0
2,2015-10-30,26-195,BRK,@,SAS,L (-27),0,19:34,3,6,.500,0,2,.000,0,2,.000,0,4,4,0,0,0,2,1,6,1.0,-2,3.0
3,2015-10-31,26-196,BRK,@,MEM,L (-10),0,33:47,8,15,.533,0,3,.000,3,4,.750,0,2,2,2,1,0,1,3,19,12.1,0,3.0
4,2015-11-02,26-198,BRK,,MIL,L (-7),0,25:09,5,10,.500,2,4,.500,2,3,.667,1,1,2,1,2,0,3,1,14,8.9,-15,3.0
5,2015-11-04,26-200,BRK,@,ATL,L (-14),0,24:56,5,11,.455,2,4,.500,0,0,,0,1,1,2,0,0,2,0,12,6.0,-19,3.0
6,2015-11-06,26-202,BRK,,LAL,L (-6),0,22:09,2,4,.500,1,3,.333,0,0,,0,1,1,0,1,0,1,2,5,2.5,-15,3.0
7,2015-11-07,26-203,BRK,@,MIL,L (-8),0,24:16,5,10,.500,2,3,.667,1,2,.500,0,1,1,1,2,0,3,3,13,6.4,-1,3.0
8,2015-11-11,26-207,BRK,@,HOU,W (+8),0,33:58,10,20,.500,2,5,.400,0,0,,3,6,9,3,0,0,1,0,22,17.0,-1,3.0
9,2015-11-13,26-209,BRK,@,SAC,L (-2),0,33:46,7,13,.538,1,4,.250,0,0,,0,3,3,0,0,0,1,3,15,7.4,-8,3.0
10,2015-11-14,26-210,BRK,@,GSW,L (-8),0,34:55,1,6,.167,0,5,.000,0,0,,0,6,6,2,2,0,0,1,2,3.0,-12,3.0
11,2015-11-17,26-213,BRK,,ATL,W (+2),0,22:16,0,4,.000,0,2,.000,0,0,,1,3,4,0,1,0,2,0,0,-2.2,-5,3.0
12,2015-11-18,26-214,BRK,@,CHO,L (-5),0,17:53,0,1,.000,0,0,,2,2,1.000,0,4,4,1,1,0,0,1,2,3.8,-4,3.0
13,2015-11-20,26-216,BRK,@,BOS,L (-25),0,16:37,3,7,.429,2,3,.667,1,2,.500,0,1,1,0,0,0,2,1,9,2.8,-10,3.0
14,2015-11-22,26-218,BRK,,BOS,W (+10),0,18:24,1,6,.167,1,5,.200,2,2,1.000,0,3,3,0,0,0,2,0,5,0.1,-6,3.0
15,2015-11-25,26-221,BRK,@,OKC,L (-11),0,21:54,2,6,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,0,4,1.6,-7,3.0
16,2015-11-28,26-224,BRK,@,CLE,L (-2),0,13:49,1,4,.250,0,1,.000,0,0,,1,3,4,0,0,0,1,1,2,-0.2,-2,3.0
17,2015-11-29,26-225,BRK,,DET,W (+4),0,21:04,2,6,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,0,4,1.2,+4,3.0
