G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-333,GSW,,NOP,W (+16),1,18:42,6,6,1.000,0,0,,0,0,,1,4,5,5,0,2,0,2,12,16.2,+17,5.0
2,2015-11-09,30-346,GSW,,DET,W (+14),0,18:58,4,7,.571,0,0,,0,0,,5,4,9,2,0,0,1,3,8,8.6,+11,5.0
3,2015-11-11,30-348,GSW,@,MEM,W (+16),0,14:58,1,3,.333,0,0,,1,2,.500,0,7,7,1,0,0,3,5,3,-1.3,+6,5.0
4,2015-11-12,30-349,GSW,@,MIN,W (+13),0,21:03,2,3,.667,0,0,,0,0,,2,4,6,2,1,3,1,2,4,8.0,0,5.0
5,2015-11-14,30-351,GSW,,BRK,W (+8),0,31:53,5,7,.714,0,0,,0,0,,5,13,18,4,2,3,2,4,10,17.8,+3,5.0
6,2015-11-17,30-354,GSW,,TOR,W (+5),1,17:21,5,6,.833,0,0,,3,6,.500,2,4,6,2,1,1,2,5,13,11.3,-8,5.0
7,2015-11-19,30-356,GSW,@,LAC,W (+7),1,20:24,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,1.2,-5,5.0
8,2015-11-20,30-357,GSW,,CHI,W (+12),1,18:23,1,2,.500,0,0,,1,2,.500,2,2,4,2,1,3,1,4,3,5.5,-17,5.0
9,2015-11-22,30-359,GSW,@,DEN,W (+13),1,17:48,4,5,.800,0,0,,0,0,,1,5,6,2,1,3,3,3,8,8.6,+2,5.0
10,2015-11-24,30-361,GSW,,LAL,W (+34),1,20:55,4,7,.571,0,0,,0,0,,1,6,7,2,0,2,0,2,8,9.2,+15,5.0
11,2015-11-27,30-364,GSW,@,PHO,W (+19),1,13:01,3,5,.600,0,0,,1,2,.500,0,2,2,2,0,2,1,4,7,5.1,+14,5.0
12,2015-11-28,31-000,GSW,,SAC,W (+19),1,19:32,2,3,.667,0,0,,0,0,,0,4,4,2,0,2,0,3,4,5.5,+15,5.0
13,2015-11-30,31-002,GSW,@,UTA,W (+3),1,21:50,2,2,1.000,0,0,,0,0,,2,2,4,3,0,1,2,6,4,3.8,-10,5.0
14,2015-12-02,31-004,GSW,@,CHO,W (+17),1,22:50,2,2,1.000,0,0,,0,0,,3,8,11,2,0,1,0,0,4,10.0,+15,5.0
15,2015-12-06,31-008,GSW,@,BRK,W (+16),1,15:52,0,1,.000,0,0,,0,2,.000,1,3,4,2,0,2,1,2,0,1.1,+4,5.0
16,2015-12-08,31-010,GSW,@,IND,W (+8),1,23:22,7,8,.875,0,0,,0,0,,3,7,10,1,1,2,1,3,14,16.3,+31,5.0
17,2015-12-11,31-013,GSW,@,BOS,W (+5),1,23:17,1,5,.200,0,0,,0,0,,1,8,9,1,0,3,1,4,2,2.2,-1,5.0
18,2015-12-12,31-014,GSW,@,MIL,L (-13),1,21:58,1,3,.333,0,0,,0,0,,0,7,7,3,0,5,0,1,2,7.6,-5,5.0
19,2015-12-16,31-018,GSW,,PHO,W (+25),1,21:26,0,0,,0,0,,0,2,.000,1,11,12,3,1,1,3,4,0,2.4,+42,5.0
20,2015-12-18,31-020,GSW,,MIL,W (+9),1,5:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-0.8,0,5.0
21,2015-12-23,31-025,GSW,,UTA,W (+18),1,26:54,4,8,.500,0,0,,2,2,1.000,5,8,13,4,0,1,1,2,10,13.6,+9,5.0
22,2015-12-25,31-027,GSW,,CLE,W (+6),1,23:51,2,2,1.000,0,0,,0,0,,3,4,7,1,0,4,0,1,4,9.8,+9,5.0
23,2015-12-28,31-030,GSW,,SAC,W (+19),1,14:24,2,2,1.000,0,0,,0,0,,1,4,5,2,1,2,0,3,4,7.9,+20,5.0
24,2015-12-30,31-032,GSW,@,DAL,L (-23),1,23:30,4,4,1.000,0,0,,1,1,1.000,2,8,10,1,1,0,1,3,9,11.1,-13,5.0
25,2015-12-31,31-033,GSW,@,HOU,W (+4),1,36:18,4,9,.444,0,0,,1,4,.250,1,10,11,1,0,1,5,5,9,1.2,+3,5.0
26,2016-01-02,31-035,GSW,,DEN,W (+3),1,24:48,1,3,.333,0,0,,0,0,,2,5,7,1,0,2,1,6,2,1.9,+13,5.0
27,2016-01-04,31-037,GSW,,CHO,W (+10),1,29:34,1,2,.500,0,0,,0,0,,0,6,6,3,0,2,2,4,2,2.7,+7,5.0
