G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-11,35-220,SAS,@,POR,W (+12),0,0:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,4.0
2,2015-11-14,35-223,SAS,,PHI,W (+9),0,0:20,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+1,4.0
3,2015-11-21,35-230,SAS,,MEM,W (+10),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
4,2015-11-27,35-236,SAS,@,DEN,W (+11),0,3:32,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,-6,4.0
5,2015-12-02,35-241,SAS,,MIL,W (+25),0,7:05,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,0,0,-1.4,+1,4.0
6,2015-12-03,35-242,SAS,@,MEM,W (+20),0,4:24,2,4,.500,1,1,1.000,0,0,,1,1,2,0,1,0,1,1,5,3.6,+1,4.0
7,2015-12-07,35-246,SAS,@,PHI,W (+51),1,24:09,4,6,.667,1,3,.333,0,0,,0,1,1,3,0,0,0,0,9,8.8,+7,4.0
8,2015-12-09,35-248,SAS,@,TOR,L (-3),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+3,4.0
9,2015-12-12,35-251,SAS,@,ATL,W (+25),0,5:00,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,2.3,+1,4.0
10,2015-12-14,35-253,SAS,,UTA,W (+37),0,17:34,4,5,.800,2,3,.667,0,0,,1,4,5,0,0,0,0,1,10,9.6,-1,4.0
11,2015-12-16,35-255,SAS,,WAS,W (+19),0,1:54,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,2.6,0,4.0
12,2015-12-26,35-265,SAS,,DEN,W (+15),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,4.0
13,2015-12-30,35-269,SAS,,PHO,W (+33),0,12:00,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.2,+5,4.0
14,2016-01-02,35-272,SAS,,HOU,W (+18),0,2:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,4.0
15,2016-01-04,35-274,SAS,@,MIL,W (+25),0,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+1,4.0
16,2016-01-06,35-276,SAS,,UTA,W (+25),0,6:35,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.9,+4,4.0
17,2016-01-11,35-281,SAS,@,BRK,W (+27),0,7:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,4.0
18,2016-01-21,35-291,SAS,@,PHO,W (+28),0,10:43,2,2,1.000,1,1,1.000,0,0,,1,1,2,1,1,0,0,0,5,7.1,+11,4.0
19,2016-01-30,35-300,SAS,@,CLE,L (-14),0,2:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,4.0
20,2016-02-05,35-306,SAS,@,DAL,W (+26),0,3:44,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,1,7,7.0,+3,4.0
21,2016-03-05,35-335,SAS,,SAC,W (+10),0,6:08,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,0,0,6,5.3,+14,4.0
22,2016-03-08,35-338,SAS,@,MIN,W (+25),0,10:08,2,4,.500,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,4.3,+4,4.0
23,2016-03-25,35-355,SAS,,MEM,W (+6),0,2:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7,4.0
24,2016-03-26,35-356,SAS,@,OKC,L (-19),0,12:01,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,1,2,0.3,+1,4.0
25,2016-03-28,35-358,SAS,@,MEM,W (+14),0,8:37,2,4,.500,1,3,.333,0,0,,0,1,1,0,0,0,0,3,5,2.1,+1,4.0
26,2016-03-30,35-360,SAS,,NOP,W (+8),0,5:54,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,4.0
27,2016-04-05,36-000,SAS,@,UTA,W (+2),0,6:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10,4.0
28,2016-04-07,36-002,SAS,@,GSW,L (-11),0,5:27,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,2,1.9,+2,4.0
29,2016-04-08,36-003,SAS,@,DEN,L (-4),0,13:11,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,1,2,0.8,+14,4.0
30,2016-04-13,36-008,SAS,@,DAL,W (+5),1,22:40,2,6,.333,2,4,.500,0,0,,0,1,1,1,0,1,0,2,6,3.5,+10,4.0
