G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,18-363,PHO,,DAL,L (-16),0,21:20,6,7,.857,1,2,.500,1,3,.333,0,3,3,0,1,0,0,2,14,11.8,+4,2.0
2,2015-10-30,19-000,PHO,,POR,W (+18),0,2:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-1,2.0
3,2015-11-04,19-005,PHO,,SAC,W (+21),0,6:04,2,3,.667,1,1,1.000,0,0,,0,0,0,0,1,1,1,0,5,4.4,-3,2.0
4,2015-11-08,19-009,PHO,@,OKC,L (-21),0,9:48,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-2.6,-5,2.0
5,2015-11-12,19-013,PHO,,LAC,W (+14),0,1:07,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,2.0
6,2015-11-14,19-015,PHO,,DEN,W (+24),0,14:57,2,8,.250,2,3,.667,0,0,,0,2,2,0,0,0,2,0,6,-0.2,+1,2.0
7,2015-11-16,19-017,PHO,,LAL,W (+19),0,2:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1,2.0
8,2015-11-18,19-019,PHO,,CHI,L (-6),0,15:09,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,2,0,2,6,5.6,+9,2.0
9,2015-11-20,19-021,PHO,@,DEN,W (+7),0,9:37,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-0.8,+18,2.0
10,2015-11-22,19-023,PHO,@,NOP,L (-6),0,16:25,5,8,.625,1,1,1.000,4,4,1.000,0,2,2,0,1,0,0,1,15,12.6,-3,2.0
11,2015-11-23,19-024,PHO,@,SAS,L (-14),1,24:26,2,5,.400,0,2,.000,0,0,,1,3,4,1,1,0,1,1,4,3.2,-8,2.0
12,2015-11-25,19-026,PHO,,NOP,L (-6),0,9:12,2,3,.667,1,2,.500,0,0,,0,3,3,1,1,0,0,1,5,5.9,+5,2.0
13,2015-11-27,19-028,PHO,,GSW,L (-19),0,24:43,2,5,.400,0,1,.000,2,4,.500,0,0,0,0,1,0,1,3,6,1.3,-2,2.0
14,2015-12-01,19-032,PHO,@,BRK,L (-3),0,7:38,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-5,2.0
15,2015-12-02,19-033,PHO,@,DET,L (-5),0,22:50,5,6,.833,3,3,1.000,5,5,1.000,0,1,1,1,0,0,0,5,18,14.8,+4,2.0
16,2015-12-04,19-035,PHO,@,WAS,L (-3),0,16:03,4,6,.667,0,0,,0,0,,0,1,1,0,1,0,1,1,8,5.3,-6,2.0
17,2015-12-06,19-037,PHO,@,MEM,L (-2),0,15:22,2,6,.333,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,5,2.1,-2,2.0
18,2015-12-07,19-038,PHO,@,CHI,W (+2),0,32:55,6,10,.600,2,2,1.000,0,0,,0,3,3,5,1,0,1,1,14,13.4,+8,2.0
19,2015-12-09,19-040,PHO,,ORL,W (+3),0,18:48,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,3,2,0.5,-10,2.0
20,2015-12-11,19-042,PHO,,POR,L (-10),0,22:07,3,4,.750,2,2,1.000,0,0,,0,1,1,1,0,1,0,1,8,7.7,+1,2.0
21,2015-12-13,19-044,PHO,,MIN,W (+7),0,14:24,1,5,.200,0,1,.000,2,2,1.000,1,0,1,1,0,0,1,3,4,0.1,+1,2.0
22,2015-12-14,19-045,PHO,@,DAL,L (-10),0,4:47,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,0,2.0
23,2015-12-16,19-047,PHO,@,GSW,L (-25),0,10:02,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,2,2,0,-4.2,-19,2.0
24,2015-12-20,19-051,PHO,,MIL,L (-6),0,18:01,1,5,.200,0,3,.000,5,5,1.000,0,2,2,2,3,0,1,1,7,7.5,-1,2.0
25,2015-12-21,19-052,PHO,@,UTA,L (-21),1,12:35,2,4,.500,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,6,2.2,-20,2.0
26,2015-12-26,19-057,PHO,,PHI,L (-7),0,19:46,6,11,.545,3,4,.750,4,7,.571,1,0,1,0,0,0,0,4,19,11.6,+13,2.0
27,2015-12-28,19-059,PHO,,CLE,L (-4),1,29:01,5,6,.833,0,1,.000,0,0,,1,2,3,3,0,0,3,2,10,7.4,-7,2.0
28,2015-12-30,19-061,PHO,@,SAS,L (-33),1,23:55,4,10,.400,0,1,.000,1,2,.500,0,3,3,0,0,0,2,2,9,1.3,-9,2.0
29,2015-12-31,19-062,PHO,@,OKC,L (-4),1,39:01,4,11,.364,0,1,.000,4,4,1.000,1,2,3,5,0,0,5,3,12,4.5,-1,2.0
30,2016-01-02,19-064,PHO,@,SAC,L (-23),1,41:42,6,10,.600,2,5,.400,7,8,.875,0,1,1,3,4,0,1,2,21,20.6,-14,2.0
31,2016-01-03,19-065,PHO,@,LAL,L (-20),1,22:07,5,13,.385,0,3,.000,0,1,.000,0,4,4,1,1,0,2,3,10,2.2,-30,2.0
32,2016-01-06,19-068,PHO,,CHO,W (+9),0,31:54,7,13,.538,3,5,.600,0,0,,1,9,10,2,1,0,1,2,17,14.7,+10,2.0
33,2016-01-08,19-070,PHO,,MIA,L (-8),1,37:20,6,17,.353,1,7,.143,3,4,.750,2,4,6,2,1,0,2,5,16,7.1,-2,2.0
34,2016-01-12,19-074,PHO,@,IND,L (-19),1,29:03,8,12,.667,1,2,.500,2,3,.667,1,1,2,2,0,1,4,5,19,10.5,-10,2.0
35,2016-01-15,19-077,PHO,@,BOS,L (-14),1,24:27,2,9,.222,0,4,.000,5,6,.833,1,4,5,0,0,0,3,3,9,0.8,+4,2.0
36,2016-01-17,19-079,PHO,@,MIN,L (-30),1,27:23,4,8,.500,0,0,,3,4,.750,0,0,0,0,0,0,0,4,11,5.0,-15,2.0
37,2016-01-19,19-081,PHO,,IND,L (-3),1,39:31,9,16,.563,6,11,.545,8,8,1.000,0,0,0,2,0,0,4,3,32,20.6,-9,2.0
38,2016-01-21,19-083,PHO,,SAS,L (-28),1,43:31,8,16,.500,2,6,.333,6,7,.857,0,1,1,5,0,0,1,4,24,16.8,-23,2.0
39,2016-01-23,19-085,PHO,,ATL,W (+3),1,35:59,6,19,.316,3,9,.333,0,0,,0,2,2,1,2,0,3,6,15,2.0,+13,2.0
40,2016-01-26,19-088,PHO,@,PHI,L (-10),1,36:15,5,15,.333,1,3,.333,1,2,.500,0,4,4,7,0,0,0,5,12,7.2,-6,2.0
41,2016-01-27,19-089,PHO,@,CLE,L (-22),1,33:31,4,9,.444,1,4,.250,7,8,.875,2,1,3,5,0,0,2,4,16,12.5,-25,2.0
42,2016-01-29,19-091,PHO,@,NYK,L (-18),1,26:35,8,15,.533,3,6,.500,2,3,.667,0,0,0,3,0,0,1,5,21,12.4,-16,2.0
43,2016-01-31,19-093,PHO,@,DAL,L (-13),1,41:13,6,15,.400,2,6,.333,5,5,1.000,0,7,7,4,0,1,4,6,19,10.1,-6,2.0
44,2016-02-02,19-095,PHO,,TOR,L (-7),1,37:29,9,19,.474,6,14,.429,3,4,.750,0,5,5,0,2,0,4,4,27,14.8,+3,2.0
45,2016-02-04,19-097,PHO,,HOU,L (-6),1,41:02,3,12,.250,2,5,.400,9,10,.900,0,3,3,4,1,0,5,2,17,8.3,-5,2.0
46,2016-02-06,19-099,PHO,,UTA,L (-9),1,33:52,6,14,.429,2,5,.400,4,4,1.000,0,3,3,1,1,0,1,5,18,10.2,-12,2.0
47,2016-02-08,19-101,PHO,,OKC,L (-16),1,28:54,1,8,.125,0,3,.000,4,4,1.000,0,3,3,4,0,1,3,6,6,-0.2,-10,2.0
48,2016-02-10,19-103,PHO,,GSW,L (-8),1,41:35,5,11,.455,1,4,.250,4,6,.667,0,7,7,10,2,0,7,2,15,11.8,-7,2.0
49,2016-02-19,19-112,PHO,,HOU,L (-16),1,30:54,3,11,.273,2,7,.286,2,2,1.000,1,0,1,1,1,0,1,1,10,4.5,-37,2.0
50,2016-02-21,19-114,PHO,,SAS,L (-7),1,24:01,3,9,.333,1,2,.500,3,3,1.000,1,3,4,6,0,0,1,4,10,8.1,-1,2.0
51,2016-02-22,19-115,PHO,@,LAC,L (-40),1,25:42,2,10,.200,1,3,.333,0,0,,0,1,1,2,0,0,1,6,5,-2.9,-34,2.0
52,2016-02-25,19-118,PHO,,BRK,L (-10),1,30:07,3,12,.250,1,3,.333,5,6,.833,0,1,1,2,0,0,0,4,12,4.5,-18,2.0
53,2016-02-27,19-120,PHO,,MEM,W (+5),1,37:50,6,16,.375,2,9,.222,1,2,.500,2,2,4,2,0,0,2,6,15,4.8,+17,2.0
54,2016-03-01,19-123,PHO,@,CHO,L (-34),1,34:28,4,16,.250,1,4,.250,4,5,.800,1,1,2,1,1,0,2,3,13,2.5,-39,2.0
55,2016-03-03,19-125,PHO,@,MIA,L (-16),1,39:23,11,21,.524,3,7,.429,9,9,1.000,0,3,3,4,0,0,4,4,34,21.8,-8,2.0
56,2016-03-04,19-126,PHO,@,ORL,W (+18),1,32:57,4,11,.364,0,0,,6,8,.750,1,3,4,6,0,1,2,2,14,10.8,+17,2.0
57,2016-03-06,19-128,PHO,@,MEM,W (+9),1,42:49,8,17,.471,4,11,.364,7,7,1.000,0,2,2,9,1,1,3,2,27,23.1,+9,2.0
58,2016-03-09,19-131,PHO,,NYK,L (-31),1,38:56,14,28,.500,3,8,.375,1,2,.500,1,2,3,1,0,0,3,2,32,15.8,-25,2.0
59,2016-03-10,19-132,PHO,@,DEN,L (-18),1,44:05,12,24,.500,1,5,.200,10,11,.909,0,3,3,5,1,1,5,3,35,22.5,-16,2.0
60,2016-03-12,19-134,PHO,@,GSW,L (-7),1,37:23,7,19,.368,0,5,.000,4,5,.800,0,0,0,11,0,1,0,5,18,13.5,-9,2.0
61,2016-03-14,19-136,PHO,,MIN,W (+3),1,42:31,6,14,.429,1,4,.250,3,3,1.000,0,3,3,6,0,0,6,5,16,5.7,+16,2.0
62,2016-03-17,19-139,PHO,@,UTA,L (-34),1,31:38,3,14,.214,1,5,.200,0,0,,1,2,3,3,2,0,3,2,7,0.0,-41,2.0
63,2016-03-18,19-140,PHO,@,LAL,W (+5),1,35:50,5,18,.278,1,5,.200,10,10,1.000,1,4,5,7,1,0,2,4,21,14.6,+9,2.0
64,2016-03-21,19-143,PHO,,MEM,L (-6),1,32:51,5,13,.385,2,8,.250,6,8,.750,1,3,4,2,0,0,2,5,18,9.1,-21,2.0
65,2016-03-23,19-145,PHO,,LAL,W (+12),1,41:05,12,22,.545,1,4,.250,3,4,.750,0,3,3,7,1,1,2,4,28,20.9,+22,2.0
66,2016-03-25,19-147,PHO,@,SAC,L (-22),1,34:04,11,21,.524,2,8,.250,2,4,.500,0,5,5,4,2,1,9,3,26,11.7,-16,2.0
67,2016-03-26,19-148,PHO,,BOS,L (-3),1,33:34,8,20,.400,1,4,.250,4,4,1.000,1,3,4,4,1,0,2,4,21,12.0,+9,2.0
68,2016-03-28,19-150,PHO,@,MIN,L (-5),1,43:16,10,22,.455,2,4,.500,8,9,.889,0,3,3,5,0,1,4,4,30,17.7,-4,2.0
69,2016-03-30,19-152,PHO,@,MIL,L (-11),1,38:03,8,16,.500,2,6,.333,0,0,,1,3,4,4,0,0,7,3,18,6.2,-18,2.0
70,2016-04-01,19-154,PHO,,WAS,L (-7),1,34:39,6,22,.273,1,5,.200,1,2,.500,1,3,4,0,0,1,3,3,14,-1.3,-5,2.0
71,2016-04-03,19-156,PHO,,UTA,L (-15),1,40:37,5,15,.333,2,5,.400,2,2,1.000,0,2,2,7,2,1,4,3,14,8.5,-11,2.0
72,2016-04-05,19-158,PHO,@,ATL,L (-13),1,38:40,12,25,.480,4,9,.444,6,10,.600,0,5,5,2,2,0,2,4,34,21.0,-9,2.0
73,2016-04-07,19-160,PHO,@,HOU,W (+9),1,37:51,4,15,.267,1,6,.167,6,6,1.000,0,0,0,4,1,1,5,4,15,4.0,+3,2.0
74,2016-04-09,19-162,PHO,@,NOP,W (+21),1,26:56,7,11,.636,1,3,.333,1,1,1.000,1,3,4,5,0,1,2,4,16,13.3,+17,2.0
75,2016-04-11,19-164,PHO,,SAC,L (-4),1,32:54,8,20,.400,0,5,.000,6,6,1.000,1,3,4,4,1,1,4,5,22,11.3,+4,2.0
76,2016-04-13,19-166,PHO,,LAC,W (+9),1,26:42,4,14,.286,2,5,.400,2,2,1.000,0,2,2,2,1,1,5,2,12,1.7,+13,2.0
