G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-218,MIA,,CHO,W (+10),1,32:19,5,13,.385,2,5,.400,9,10,.900,0,10,10,1,1,1,1,1,21,17.5,+10,5.0
2,2015-10-30,31-220,MIA,@,CLE,L (-10),1,33:10,7,15,.467,2,4,.500,0,0,,0,5,5,3,1,0,0,0,16,12.9,+3,5.0
3,2015-11-01,31-222,MIA,,HOU,W (+20),1,24:45,4,11,.364,2,4,.500,0,0,,1,7,8,0,0,2,0,1,10,7.7,+1,5.0
4,2015-11-03,31-224,MIA,,ATL,L (-6),1,39:14,4,14,.286,1,6,.167,0,0,,2,12,14,2,3,2,0,4,9,10.0,-5,5.0
5,2015-11-05,31-226,MIA,@,MIN,W (+12),1,28:05,5,11,.455,1,2,.500,5,6,.833,0,12,12,2,1,0,1,1,16,14.5,+3,5.0
6,2015-11-06,31-227,MIA,@,IND,L (-3),1,35:10,7,16,.438,1,5,.200,6,7,.857,2,9,11,2,1,1,0,0,21,19.4,+6,5.0
7,2015-11-08,31-229,MIA,,TOR,W (+20),1,30:14,8,14,.571,4,7,.571,3,5,.600,1,7,8,1,1,0,0,3,23,18.9,+15,5.0
8,2015-11-10,31-231,MIA,,LAL,W (+13),1,32:41,9,16,.563,2,5,.400,10,12,.833,3,8,11,0,0,0,3,2,30,22.3,+9,5.0
9,2015-11-12,31-233,MIA,,UTA,W (+1),1,36:18,9,18,.500,1,3,.333,6,9,.667,2,6,8,4,0,4,3,1,25,20.2,+12,5.0
10,2015-11-17,31-238,MIA,,MIN,L (-12),1,31:31,5,12,.417,0,5,.000,0,0,,2,5,7,0,0,1,1,2,10,5.4,-36,5.0
11,2015-11-19,31-240,MIA,,SAC,W (+7),1,34:36,8,12,.667,2,2,1.000,5,5,1.000,0,11,11,4,0,1,1,0,23,23.6,+3,5.0
12,2015-11-21,31-242,MIA,,PHI,W (+5),1,35:19,3,11,.273,2,5,.400,5,8,.625,2,9,11,1,1,3,2,3,13,10.0,+11,5.0
13,2015-11-23,31-244,MIA,,NYK,W (+17),1,29:03,2,12,.167,1,5,.200,11,12,.917,1,5,6,1,2,0,1,2,16,11.1,+4,5.0
14,2015-11-25,31-246,MIA,@,DET,L (-23),1,30:18,3,9,.333,1,1,1.000,2,2,1.000,0,8,8,4,0,0,1,1,9,7.7,-21,5.0
15,2015-11-27,31-248,MIA,@,NYK,W (+19),1,31:13,7,15,.467,1,4,.250,5,6,.833,0,5,5,3,0,1,1,1,20,14.8,+8,5.0
16,2015-11-30,31-251,MIA,,BOS,L (-10),1,39:20,8,17,.471,2,5,.400,3,3,1.000,0,10,10,5,1,1,2,2,21,17.7,+4,5.0
