G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-237,HOU,,DEN,L (-20),0,29:25,2,12,.167,1,3,.333,0,2,.000,0,7,7,0,2,1,1,3,5,-0.8,-12,3.0
2,2015-10-30,29-239,HOU,,GSW,L (-20),0,29:01,2,6,.333,1,2,.500,6,8,.750,1,4,5,2,0,1,2,1,11,8.4,-11,3.0
3,2015-11-01,29-241,HOU,@,MIA,L (-20),0,21:16,5,13,.385,0,3,.000,0,0,,0,1,1,3,2,0,0,3,10,6.1,-10,3.0
4,2015-11-02,29-242,HOU,,OKC,W (+5),0,22:25,5,11,.455,0,2,.000,2,2,1.000,0,2,2,3,3,0,1,3,12,9.8,-2,3.0
5,2015-11-04,29-244,HOU,,ORL,W (+5),0,35:22,1,7,.143,0,2,.000,0,2,.000,2,2,4,5,1,0,0,3,2,2.0,+9,3.0
6,2015-11-06,29-246,HOU,@,SAC,W (+6),0,16:37,1,1,1.000,0,0,,2,2,1.000,1,0,1,1,1,0,1,3,4,3.9,-31,3.0
7,2015-11-07,29-247,HOU,@,LAC,W (+4),0,17:28,2,8,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,2,4,-2.6,+4,3.0
8,2015-11-11,29-251,HOU,,BRK,L (-8),0,15:22,2,6,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,0.9,-15,3.0
9,2015-11-13,29-253,HOU,@,DEN,L (-9),0,13:32,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,1,4,0,-2.4,-8,3.0
10,2015-11-14,29-254,HOU,,DAL,L (-12),0,23:12,2,7,.286,0,1,.000,2,2,1.000,1,1,2,1,0,0,0,2,6,2.8,-15,3.0
11,2015-11-16,29-256,HOU,,BOS,L (-16),0,24:22,4,14,.286,1,7,.143,2,3,.667,0,3,3,2,3,0,2,2,11,4.9,-2,3.0
12,2015-11-18,29-258,HOU,,POR,W (+5),0,26:34,5,12,.417,3,6,.500,3,4,.750,0,4,4,0,0,0,1,1,16,9.0,+13,3.0
13,2015-11-20,29-260,HOU,@,MEM,L (-12),0,13:42,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,1,1,2,0,-2.2,-23,3.0
