G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,23-020,LAL,@,SAC,L (-18),0,4:04,1,2,.500,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,0,5,4.0,+3,3.0
2,2015-11-10,23-031,LAL,@,MIA,L (-13),0,2:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4,3.0
3,2015-11-16,23-037,LAL,@,PHO,L (-19),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,3.0
4,2015-12-11,23-062,LAL,@,SAS,L (-22),0,5:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1,3.0
5,2015-12-12,23-063,LAL,@,HOU,L (-29),0,2:45,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7,3.0
6,2015-12-19,23-070,LAL,@,OKC,L (-40),1,27:23,2,9,.222,0,3,.000,0,0,,1,0,1,1,2,0,2,4,4,-1.7,-8,3.0
7,2015-12-23,23-074,LAL,,OKC,L (-35),0,20:04,1,6,.167,0,5,.000,0,0,,0,3,3,3,1,0,1,0,2,1.2,+1,3.0
8,2015-12-27,23-078,LAL,@,MEM,L (-16),0,7:18,0,4,.000,0,1,.000,2,2,1.000,1,3,4,1,1,0,1,0,2,1.5,+9,3.0
9,2016-01-01,23-083,LAL,,PHI,W (+9),1,21:49,2,3,.667,1,1,1.000,0,0,,0,5,5,0,1,0,0,0,5,6.2,+8,3.0
10,2016-01-03,23-085,LAL,,PHO,W (+20),1,30:04,2,7,.286,1,3,.333,0,0,,0,3,3,2,1,1,3,0,5,1.9,+22,3.0
11,2016-01-05,23-087,LAL,,GSW,L (-21),1,32:20,1,6,.167,0,3,.000,2,2,1.000,1,2,3,0,0,1,0,4,4,0.6,-10,3.0
12,2016-01-07,23-089,LAL,@,SAC,L (-3),0,17:04,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,2,0,-1.5,+11,3.0
13,2016-01-08,23-090,LAL,,OKC,L (-4),0,22:04,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,2,0,2,3,4.3,+6,3.0
14,2016-01-10,23-092,LAL,,UTA,L (-12),1,27:50,1,6,.167,0,2,.000,2,2,1.000,1,3,4,0,0,0,1,2,4,0.0,+2,3.0
15,2016-01-12,23-094,LAL,,NOP,W (+4),0,23:27,3,5,.600,2,4,.500,1,3,.333,0,4,4,0,0,0,0,0,9,7.1,+14,3.0
16,2016-01-14,23-096,LAL,@,GSW,L (-18),0,20:32,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,1,0,-1.5,-7,3.0
17,2016-01-16,23-098,LAL,@,UTA,L (-27),0,26:56,3,5,.600,3,3,1.000,0,0,,1,6,7,0,0,0,0,1,9,8.8,-13,3.0
18,2016-01-17,23-099,LAL,,HOU,L (-17),0,24:00,4,8,.500,2,5,.400,0,0,,0,2,2,0,0,0,0,0,10,6.6,-5,3.0
19,2016-01-20,23-102,LAL,,SAC,L (-19),0,16:48,1,4,.250,0,3,.000,1,2,.500,0,3,3,0,0,0,0,2,3,0.3,-6,3.0
20,2016-01-22,23-104,LAL,,SAS,L (-13),0,21:26,1,6,.167,0,3,.000,0,0,,1,1,2,0,1,0,1,0,2,-0.8,+2,3.0
21,2016-01-23,23-105,LAL,@,POR,L (-18),0,23:27,3,4,.750,2,2,1.000,2,2,1.000,0,1,1,0,0,0,2,2,10,5.9,-1,3.0
22,2016-01-26,23-108,LAL,,DAL,L (-2),1,20:52,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,1.2,0,3.0
23,2016-01-28,23-110,LAL,,CHI,L (-23),1,34:46,3,9,.333,1,4,.250,0,0,,0,3,3,1,1,0,1,1,7,3.1,-16,3.0
24,2016-01-29,23-111,LAL,@,LAC,L (-12),1,34:13,1,5,.200,1,3,.333,2,2,1.000,0,4,4,3,0,1,0,3,5,4.7,-8,3.0
25,2016-02-08,23-121,LAL,@,IND,L (-2),0,4:23,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,+2,3.0
26,2016-02-26,23-139,LAL,,MEM,L (-17),1,31:59,2,7,.286,0,2,.000,1,1,1.000,1,4,5,2,2,0,0,2,5,5.4,+1,3.0
27,2016-03-01,23-143,LAL,,BRK,W (+6),1,26:20,1,6,.167,0,1,.000,0,0,,1,2,3,2,0,0,0,3,2,-0.3,+1,3.0
28,2016-03-02,23-144,LAL,@,DEN,L (-10),0,31:16,2,6,.333,2,5,.400,0,0,,0,4,4,1,1,0,1,2,6,3.7,-15,3.0
29,2016-03-04,23-146,LAL,,ATL,L (-29),1,35:03,2,6,.333,1,5,.200,2,2,1.000,0,3,3,2,1,0,0,1,7,6.5,-23,3.0
