G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-272,BRK,,CHI,L (-15),0,9:19,2,4,.500,0,1,.000,2,4,.500,0,1,1,2,0,0,0,0,6,4.9,-3,2.0
2,2015-10-30,23-274,BRK,@,SAS,L (-27),0,8:24,0,4,.000,0,3,.000,0,0,,0,0,0,1,1,0,0,2,0,-1.9,-14,2.0
3,2015-10-31,23-275,BRK,@,MEM,L (-10),1,14:13,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,2,2,2,-1.1,-10,2.0
4,2015-11-02,23-277,BRK,,MIL,L (-7),1,25:33,3,7,.429,1,4,.250,0,0,,0,2,2,2,0,1,0,2,7,5.2,+3,2.0
5,2015-11-04,23-279,BRK,@,ATL,L (-14),1,19:42,2,6,.333,2,6,.333,0,0,,0,1,1,0,2,0,2,3,6,1.7,-6,2.0
6,2015-11-18,23-293,BRK,@,CHO,L (-5),0,4:34,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+6,2.0
7,2015-11-20,23-295,BRK,@,BOS,L (-25),0,5:31,0,3,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,0.2,0,2.0
8,2015-12-01,23-306,BRK,,PHO,W (+3),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2.0
9,2015-12-04,23-309,BRK,@,NYK,L (-17),0,8:38,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,0,0,1.7,+9,2.0
10,2015-12-06,23-311,BRK,,GSW,L (-16),0,25:49,3,6,.500,1,3,.333,0,0,,0,4,4,1,1,0,1,1,7,5.5,+6,2.0
11,2015-12-08,23-313,BRK,,HOU,W (+5),0,5:54,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,2.6,-2,2.0
12,2015-12-10,23-315,BRK,,PHI,W (+9),0,16:19,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,1,4,5,2.8,+8,2.0
13,2015-12-12,23-317,BRK,,LAC,L (-5),0,17:32,2,7,.286,0,2,.000,3,4,.750,0,5,5,0,0,0,0,2,7,3.2,-8,2.0
14,2015-12-14,23-319,BRK,,ORL,L (-23),0,10:02,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,1,0,0,2,3,2.2,-7,2.0
15,2015-12-16,23-321,BRK,,MIA,L (-6),0,3:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8,2.0
16,2015-12-18,23-323,BRK,@,IND,L (-7),0,2:30,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2,2.0
17,2015-12-20,23-325,BRK,,MIN,L (-15),0,6:15,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,0,2.0
18,2015-12-26,23-331,BRK,,WAS,L (-15),0,2:51,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,1.6,+4,2.0
19,2016-01-06,23-342,BRK,,TOR,L (-17),0,2:35,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1,2.0
20,2016-01-08,23-344,BRK,,ORL,L (-6),0,19:42,0,4,.000,0,2,.000,3,4,.750,1,2,3,0,0,0,0,2,3,0.3,+5,2.0
