G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-159,IND,@,TOR,L (-7),0,14:51,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.9,-9,3.0
2,2015-10-29,27-160,IND,,MEM,L (-9),0,13:20,2,3,.667,2,3,.667,0,0,,0,0,0,3,1,0,0,0,6,7.8,+1,3.0
3,2015-10-31,27-162,IND,,UTA,L (-21),0,14:23,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,0,0,1,3,3.2,-2,3.0
4,2015-11-03,27-165,IND,@,DET,W (+12),0,10:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+11,3.0
5,2015-11-04,27-166,IND,,BOS,W (+2),0,18:38,2,6,.333,0,3,.000,0,0,,1,3,4,1,1,0,1,1,4,2.5,-4,3.0
6,2015-11-06,27-168,IND,,MIA,W (+3),0,15:17,0,2,.000,0,2,.000,3,5,.600,0,1,1,0,0,0,1,1,3,-0.3,-26,3.0
7,2015-11-08,27-170,IND,@,CLE,L (-4),0,18:00,2,4,.500,1,2,.500,0,2,.000,1,1,2,0,0,0,1,1,5,1.8,+1,3.0
8,2015-11-09,27-171,IND,,ORL,W (+13),0,16:51,2,3,.667,2,3,.667,0,0,,0,3,3,2,1,0,0,2,6,7.2,+18,3.0
9,2015-11-11,27-173,IND,@,BOS,W (+11),0,21:39,4,7,.571,1,2,.500,1,2,.500,1,2,3,2,0,2,2,2,10,7.6,+4,3.0
10,2015-11-13,27-175,IND,,MIN,W (+4),0,14:53,2,4,.500,1,1,1.000,1,1,1.000,0,0,0,5,1,1,0,1,6,8.8,0,3.0
11,2015-11-16,27-178,IND,@,CHI,L (-1),1,18:16,0,2,.000,0,1,.000,0,0,,0,4,4,0,1,0,1,1,0,-0.6,-1,3.0
12,2015-11-18,27-180,IND,@,PHI,W (+27),0,30:36,5,13,.385,1,4,.250,4,4,1.000,3,3,6,1,1,2,1,2,15,12.2,+6,3.0
13,2015-11-21,27-183,IND,,MIL,W (+37),1,29:57,5,9,.556,3,4,.750,0,0,,0,1,1,3,1,0,2,1,13,9.7,+20,3.0
14,2015-11-24,27-186,IND,@,WAS,W (+17),0,15:13,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,1,0,0,1,5,6.4,0,3.0
15,2015-11-27,27-189,IND,,CHI,W (+12),0,10:37,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-2,3.0
16,2015-11-29,27-191,IND,@,LAL,W (+4),0,11:12,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-4,3.0
17,2015-12-02,27-194,IND,@,LAC,W (+12),0,8:18,0,1,.000,0,0,,0,0,,2,2,4,1,0,0,1,1,0,0.6,-6,3.0
18,2015-12-03,27-195,IND,@,POR,L (-12),0,22:57,3,5,.600,2,2,1.000,2,2,1.000,0,3,3,0,0,0,0,0,10,8.6,-10,3.0
19,2015-12-05,27-197,IND,@,UTA,L (-3),0,14:46,1,5,.200,0,1,.000,0,0,,0,6,6,0,0,0,1,3,2,-1.5,+20,3.0
20,2015-12-08,27-200,IND,,GSW,L (-8),0,18:10,4,7,.571,1,1,1.000,3,4,.750,4,3,7,0,0,0,0,0,12,12.0,+18,3.0
21,2015-12-11,27-203,IND,,MIA,W (+13),0,13:11,0,2,.000,0,2,.000,1,2,.500,0,1,1,3,1,1,2,0,1,1.3,-7,3.0
22,2015-12-12,27-204,IND,@,DET,L (-22),0,14:50,3,7,.429,1,3,.333,2,3,.667,0,0,0,2,0,0,1,0,9,5.3,-3,3.0
23,2015-12-14,27-206,IND,,TOR,W (+16),0,18:13,1,6,.167,0,3,.000,3,4,.750,0,4,4,0,0,0,0,0,5,2.0,+5,3.0
24,2015-12-16,27-208,IND,,DAL,W (+26),0,16:55,0,4,.000,0,1,.000,0,0,,0,5,5,1,0,0,2,2,0,-3.4,+5,3.0
25,2015-12-18,27-210,IND,,BRK,W (+7),0,13:16,3,8,.375,0,3,.000,2,2,1.000,2,0,2,1,0,0,0,1,8,5.3,-1,3.0
26,2015-12-19,27-211,IND,@,MEM,L (-12),0,7:58,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,0.6,+1,3.0
27,2015-12-21,27-213,IND,@,SAS,L (-14),0,13:18,2,5,.400,0,0,,0,0,,1,0,1,1,0,0,0,0,4,2.7,-2,3.0
28,2015-12-23,27-215,IND,,SAC,L (-2),0,14:01,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.0,-15,3.0
29,2015-12-26,27-218,IND,@,MIN,W (+14),0,15:48,4,5,.800,1,1,1.000,2,2,1.000,0,3,3,1,2,0,2,1,11,10.3,+12,3.0
30,2015-12-28,27-220,IND,,ATL,W (+6),0,14:19,5,6,.833,0,1,.000,0,0,,0,2,2,0,2,0,0,1,10,10.0,+10,3.0
31,2015-12-30,27-222,IND,@,CHI,L (-2),0,11:00,0,4,.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,2,2,-0.7,-7,3.0
32,2015-12-31,27-223,IND,,MIL,L (-4),0,14:24,1,2,.500,0,1,.000,0,0,,0,2,2,2,2,0,0,2,2,4.2,+3,3.0
33,2016-01-04,27-227,IND,@,MIA,L (-3),0,22:15,0,5,.000,0,2,.000,0,0,,1,4,5,0,0,1,1,0,0,-1.9,-12,3.0
34,2016-01-12,27-235,IND,,PHO,W (+19),0,13:03,3,5,.600,0,1,.000,0,0,,0,1,1,1,1,0,1,0,6,4.7,-11,3.0
35,2016-01-13,27-236,IND,@,BOS,L (-9),0,19:34,2,5,.400,0,2,.000,0,0,,2,2,4,0,2,0,0,1,4,4.9,+6,3.0
36,2016-01-15,27-238,IND,,WAS,L (-14),0,19:47,1,4,.250,0,2,.000,2,3,.667,0,4,4,3,1,0,2,0,4,3.5,0,3.0
37,2016-01-17,27-240,IND,@,DEN,L (-3),0,16:37,2,3,.667,0,0,,0,0,,1,1,2,2,1,0,0,2,4,5.3,+7,3.0
38,2016-01-19,27-242,IND,@,PHO,W (+3),0,14:28,0,3,.000,0,1,.000,2,4,.500,2,4,6,0,0,0,1,1,2,0.3,+1,3.0
39,2016-01-22,27-245,IND,@,GSW,L (-12),0,13:52,2,2,1.000,0,0,,1,2,.500,1,2,3,3,0,0,0,2,5,6.6,+1,3.0
40,2016-01-28,27-251,IND,,ATL,W (+19),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4,3.0
41,2016-02-10,27-264,IND,,CHO,L (-22),0,8:01,2,3,.667,0,0,,0,0,,2,0,2,0,1,0,0,1,4,4.7,-4,3.0
42,2016-02-19,27-273,IND,@,OKC,W (+3),0,9:59,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,-1,3.0
43,2016-02-22,27-276,IND,@,MIA,L (-8),0,6:39,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,0,3,2.0,-1,3.0
44,2016-02-24,27-278,IND,,NYK,W (+3),0,11:31,2,3,.667,0,0,,0,0,,0,2,2,0,2,1,2,3,4,2.8,-4,3.0
45,2016-02-26,27-280,IND,,CHO,L (-1),0,11:36,1,3,.333,0,0,,2,2,1.000,1,3,4,1,0,0,0,0,4,4.6,+7,3.0
46,2016-02-28,27-282,IND,,POR,L (-9),0,15:05,2,4,.500,0,1,.000,0,0,,2,3,5,1,0,0,0,1,4,4.6,+15,3.0
47,2016-02-29,27-283,IND,@,CLE,L (-4),0,14:31,5,6,.833,1,2,.500,0,0,,1,3,4,0,1,1,1,1,11,10.7,+3,3.0
48,2016-03-02,27-285,IND,@,MIL,W (+5),0,14:14,1,4,.250,0,1,.000,1,2,.500,2,0,2,3,1,0,1,1,3,3.3,+5,3.0
49,2016-03-04,27-287,IND,@,CHO,L (-7),0,11:36,1,3,.333,0,2,.000,0,0,,0,2,2,1,1,0,0,2,2,1.8,-6,3.0
50,2016-03-09,27-292,PHO,,NYK,L (-31),0,8:24,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,1.9,-13,3.0
51,2016-03-12,27-295,PHO,@,GSW,L (-7),0,12:22,2,3,.667,1,2,.500,0,0,,1,2,3,1,0,0,0,4,5,4.1,-18,3.0
52,2016-03-14,27-297,PHO,,MIN,W (+3),0,7:34,2,5,.400,0,2,.000,0,0,,0,1,1,0,0,0,0,0,4,1.6,-4,3.0
53,2016-03-17,27-300,PHO,@,UTA,L (-34),0,7:23,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,-1,3.0
54,2016-03-18,27-301,PHO,@,LAL,W (+5),0,14:59,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,2.0,+5,3.0
55,2016-03-21,27-304,PHO,,MEM,L (-6),0,10:32,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,1,3,2.6,+11,3.0
56,2016-03-23,27-306,PHO,,LAL,W (+12),0,5:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-4,3.0
57,2016-03-25,27-308,PHO,@,SAC,L (-22),0,24:10,2,7,.286,0,2,.000,2,2,1.000,3,1,4,3,0,0,0,3,6,5.2,-8,3.0
58,2016-03-26,27-309,PHO,,BOS,L (-3),0,17:01,3,5,.600,0,1,.000,0,0,,3,1,4,1,0,0,3,2,6,3.0,-9,3.0
59,2016-03-28,27-311,PHO,@,MIN,L (-5),0,19:57,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,+10,3.0
60,2016-03-30,27-313,PHO,@,MIL,L (-11),0,8:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-6,3.0
