G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,35-229,SAC,,LAC,L (-7),0,12:40,4,7,.571,0,1,.000,0,0,,1,1,2,0,1,0,0,1,8,6.3,-2,3.0
2,2015-10-31,35-232,SAC,@,LAC,L (-5),0,13:45,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,4,1.2,-3,3.0
3,2015-11-03,35-235,SAC,,MEM,L (-14),0,9:57,1,2,.500,0,1,.000,0,0,,1,2,3,0,0,0,1,0,2,1.3,-7,3.0
4,2015-11-04,35-236,SAC,@,PHO,L (-21),0,5:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-1,3.0
5,2015-11-07,35-239,SAC,,GSW,L (-9),0,5:44,0,3,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-1.5,-10,3.0
6,2015-11-13,35-245,SAC,,BRK,W (+2),1,19:00,2,5,.400,1,3,.333,0,0,,1,3,4,2,2,0,1,0,5,6.3,-16,3.0
7,2015-11-19,35-251,SAC,@,MIA,L (-7),0,4:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,3.0
8,2015-12-03,35-265,SAC,,BOS,L (-17),0,8:06,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-5,3.0
9,2015-12-21,35-283,SAC,@,WAS,L (-14),0,6:19,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,0,2,4,3.2,+3,3.0
10,2016-03-09,35-362,SAC,,CLE,L (-9),0,10:53,2,4,.500,1,2,.500,2,3,.667,0,2,2,1,0,0,0,3,7,4.7,-2,3.0
11,2016-03-11,35-364,SAC,,ORL,L (-7),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5,3.0
12,2016-03-16,36-003,SAC,,NOP,L (-15),0,9:31,1,3,.333,0,1,.000,2,2,1.000,1,0,1,2,1,0,0,2,4,4.6,+10,3.0
13,2016-03-18,36-005,SAC,@,DET,L (-7),0,18:19,2,4,.500,0,0,,5,5,1.000,1,3,4,2,0,0,0,4,9,8.4,+3,3.0
14,2016-03-21,36-008,SAC,@,CHI,L (-7),0,20:41,5,11,.455,0,5,.000,0,0,,0,2,2,1,3,0,0,1,10,8.2,-3,3.0
15,2016-03-28,36-015,SAC,@,POR,L (-12),0,3:20,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-2,3.0
16,2016-04-05,36-023,SAC,,POR,L (-8),0,7:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-3,3.0
17,2016-04-11,36-029,SAC,@,PHO,W (+4),0,17:18,3,8,.375,1,2,.500,0,0,,0,2,2,1,0,1,0,0,7,4.6,-6,3.0
