G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,34-030,NYK,@,MIL,W (+25),1,17:58,1,5,.200,1,4,.250,0,0,,0,3,3,1,0,0,1,4,3,-1.1,+1,1.0
2,2015-10-29,34-031,NYK,,ATL,L (-11),1,18:13,0,5,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,0,2,2,-0.3,-18,1.0
3,2015-10-31,34-033,NYK,@,WAS,W (+7),1,21:02,4,9,.444,1,4,.250,1,1,1.000,0,0,0,3,1,0,2,3,10,5.2,-7,1.0
4,2015-11-02,34-035,NYK,,SAS,L (-10),1,23:16,2,5,.400,2,2,1.000,0,0,,0,0,0,2,1,0,1,2,6,3.9,-1,1.0
5,2015-11-04,34-037,NYK,@,CLE,L (-10),1,29:01,1,5,.200,0,1,.000,0,0,,1,2,3,5,0,0,1,0,2,2.7,0,1.0
6,2015-11-06,34-039,NYK,,MIL,L (-7),1,16:08,0,3,.000,0,3,.000,0,0,,1,1,2,5,0,0,1,2,0,0.6,-7,1.0
7,2015-11-08,34-041,NYK,,LAL,W (+4),1,35:23,6,12,.500,2,6,.333,0,0,,1,4,5,3,2,0,1,1,14,12.6,+5,1.0
8,2015-11-10,34-043,NYK,@,TOR,W (+2),1,29:12,3,8,.375,2,4,.500,0,0,,0,3,3,2,1,0,0,3,8,5.7,-8,1.0
9,2015-11-11,34-044,NYK,@,CHO,L (-2),1,28:14,6,9,.667,1,4,.250,0,0,,0,2,2,5,1,0,2,1,13,11.8,+3,1.0
10,2015-11-13,34-046,NYK,,CLE,L (-6),1,22:16,4,5,.800,2,2,1.000,0,0,,0,2,2,2,3,0,4,3,10,7.9,-12,1.0
11,2015-11-15,34-048,NYK,,NOP,W (+8),1,20:47,4,5,.800,0,1,.000,0,0,,0,2,2,3,0,0,0,2,8,8.0,+7,1.0
