G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,22-251,DET,@,ATL,W (+12),1,37:03,7,14,.500,4,7,.571,3,3,1.000,1,3,4,1,1,0,2,1,21,14.9,+17,2.0
2,2015-10-28,22-252,DET,,UTA,W (+5),1,35:48,5,11,.455,2,5,.400,4,4,1.000,0,5,5,1,0,1,2,2,16,10.4,+2,2.0
3,2015-10-30,22-254,DET,,CHI,W (+4),1,38:38,2,12,.167,0,5,.000,2,2,1.000,1,3,4,2,2,0,2,2,6,0.6,+8,2.0
4,2015-11-03,22-258,DET,,IND,L (-12),1,41:46,4,13,.308,0,3,.000,4,5,.800,0,5,5,5,1,0,2,3,12,6.9,+5,2.0
5,2015-11-06,22-261,DET,@,PHO,W (+8),1,35:56,8,10,.800,1,1,1.000,1,1,1.000,0,2,2,1,1,0,1,1,18,15.1,+4,2.0
6,2015-11-08,22-263,DET,@,POR,W (+17),1,39:06,6,15,.400,2,7,.286,2,2,1.000,1,3,4,0,4,0,1,2,16,11.7,+24,2.0
7,2015-11-09,22-264,DET,@,GSW,L (-14),1,37:37,6,12,.500,1,4,.250,2,2,1.000,1,2,3,1,2,1,0,3,15,12.5,-1,2.0
8,2015-11-11,22-266,DET,@,SAC,L (-9),1,40:11,5,14,.357,2,6,.333,3,4,.750,0,1,1,0,0,1,3,4,15,3.2,-10,2.0
9,2015-11-14,22-269,DET,@,LAC,L (-5),1,36:45,4,10,.400,0,4,.000,2,3,.667,1,2,3,2,1,0,0,4,10,6.3,-8,2.0
10,2015-11-15,22-270,DET,@,LAL,L (-12),1,33:02,4,15,.267,2,5,.400,0,1,.000,1,2,3,2,2,0,0,1,10,5.0,0,2.0
11,2015-11-17,22-272,DET,,CLE,W (+5),1,37:52,5,11,.455,1,5,.200,2,2,1.000,1,1,2,1,1,0,0,1,13,9.6,+13,2.0
12,2015-11-20,22-275,DET,@,MIN,W (+10),1,38:11,4,10,.400,0,2,.000,0,0,,0,1,1,2,2,0,2,1,8,3.9,+16,2.0
13,2015-11-21,22-276,DET,,WAS,L (-2),1,37:05,6,11,.545,4,7,.571,0,1,.000,0,1,1,1,1,0,0,2,16,11.5,+5,2.0
14,2015-11-23,22-278,DET,@,MIL,L (-21),1,25:44,6,8,.750,3,4,.750,2,2,1.000,0,0,0,0,1,0,2,0,17,12.8,-19,2.0
15,2015-11-25,22-280,DET,,MIA,W (+23),1,34:10,2,15,.133,1,6,.167,1,1,1.000,0,2,2,4,2,0,0,3,6,0.5,+23,2.0
16,2015-11-27,22-282,DET,@,OKC,L (-16),1,40:02,4,15,.267,0,3,.000,3,4,.750,2,2,4,4,1,0,1,2,11,5.7,-12,2.0
17,2015-11-29,22-284,DET,@,BRK,L (-4),1,33:56,6,17,.353,2,5,.400,7,10,.700,3,4,7,1,1,0,0,0,21,15.3,0,2.0
18,2015-11-30,22-285,DET,,HOU,W (+11),1,43:47,2,8,.250,0,3,.000,0,0,,2,2,4,3,2,0,2,2,4,2.5,+4,2.0
19,2015-12-02,22-287,DET,,PHO,W (+5),1,46:09,4,11,.364,1,4,.250,1,2,.500,2,4,6,2,3,0,2,4,10,6.9,+11,2.0
20,2015-12-04,22-289,DET,,MIL,W (+7),1,33:19,1,6,.167,0,3,.000,6,6,1.000,0,2,2,3,0,0,2,2,8,4.1,+3,2.0
21,2015-12-06,22-291,DET,,LAL,W (+20),1,30:52,9,14,.643,1,2,.500,3,3,1.000,3,1,4,2,4,0,1,3,22,21.4,+18,2.0
22,2015-12-07,22-292,DET,@,CHO,L (-20),1,37:31,7,15,.467,1,5,.200,1,2,.500,1,3,4,1,3,0,1,3,16,11.0,-20,2.0
23,2015-12-09,22-294,DET,,MEM,L (-1),1,35:16,4,11,.364,1,6,.167,0,0,,0,2,2,0,3,0,1,1,9,5.1,0,2.0
