G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,21-163,HOU,,DEN,L (-20),1,24:55,4,7,.571,0,0,,1,2,.500,6,1,7,0,2,3,1,2,9,12.1,-16,5.0
2,2015-10-30,21-165,HOU,,GSW,L (-20),0,17:45,3,4,.750,0,0,,1,1,1.000,1,7,8,1,0,2,2,2,7,7.5,-1,5.0
3,2015-11-01,21-167,HOU,@,MIA,L (-20),1,14:07,5,5,1.000,0,0,,0,0,,1,4,5,0,0,1,1,2,10,9.3,+4,5.0
4,2015-11-02,21-168,HOU,,OKC,W (+5),0,10:43,2,2,1.000,0,0,,0,0,,0,1,1,0,1,1,1,4,4,2.8,+7,5.0
5,2015-11-04,21-170,HOU,,ORL,W (+5),0,18:49,4,5,.800,0,0,,0,0,,3,2,5,1,1,1,0,1,8,10.8,+8,5.0
6,2015-11-06,21-172,HOU,@,SAC,W (+6),1,26:20,6,8,.750,0,0,,1,3,.333,2,10,12,2,0,4,2,5,13,13.6,+19,5.0
7,2015-11-07,21-173,HOU,@,LAC,W (+4),0,18:54,3,3,1.000,0,0,,3,4,.750,2,6,8,0,0,1,0,4,9,10.0,0,5.0
8,2015-11-11,21-177,HOU,,BRK,L (-8),0,10:46,4,5,.800,0,0,,0,0,,1,1,2,0,0,2,1,2,8,6.7,-1,5.0
9,2015-11-13,21-179,HOU,@,DEN,L (-9),0,13:03,1,2,.500,0,0,,2,4,.500,0,3,3,0,1,0,0,0,4,4.1,+1,5.0
10,2015-11-14,21-180,HOU,,DAL,L (-12),1,23:05,2,3,.667,0,0,,3,6,.500,4,6,10,1,1,0,0,1,7,10.4,-8,5.0
11,2015-11-16,21-182,HOU,,BOS,L (-16),0,18:19,2,4,.500,0,0,,1,4,.250,4,3,7,1,1,2,0,0,5,8.6,-5,5.0
12,2015-11-18,21-184,HOU,,POR,W (+5),0,12:43,2,5,.400,0,0,,0,0,,2,2,4,0,1,1,0,1,4,4.6,+7,5.0
13,2015-11-20,21-186,HOU,@,MEM,L (-12),0,12:24,0,0,,0,0,,1,2,.500,1,6,7,0,0,1,0,0,1,3.8,-2,5.0
14,2015-11-21,21-187,HOU,,NYK,L (-5),1,30:04,7,9,.778,0,0,,2,5,.400,6,8,14,1,1,0,2,6,16,15.2,+11,5.0
15,2015-11-25,21-191,HOU,,MEM,L (-9),0,8:11,3,4,.750,0,0,,0,0,,1,1,2,1,2,3,0,2,6,9.4,+3,5.0
16,2015-11-27,21-193,HOU,,PHI,W (+2),1,24:56,6,13,.462,0,0,,1,2,.500,2,8,10,0,0,2,2,1,13,8.7,+15,5.0
17,2015-11-29,21-195,HOU,@,NYK,W (+5),1,36:24,7,11,.636,0,0,,4,8,.500,5,6,11,0,3,1,1,2,18,18.7,+2,5.0
18,2015-11-30,21-196,HOU,@,DET,L (-11),1,22:17,5,11,.455,0,0,,1,2,.500,5,0,5,1,4,0,2,3,11,9.9,-15,5.0
19,2015-12-02,21-198,HOU,,NOP,W (+7),1,15:34,2,5,.400,0,0,,2,3,.667,1,3,4,0,0,0,0,4,6,2.9,+5,5.0
20,2015-12-04,21-200,HOU,@,DAL,W (+4),1,28:17,0,5,.000,0,0,,2,4,.500,5,5,10,2,1,2,1,3,2,4.3,-12,5.0
21,2015-12-05,21-201,HOU,,SAC,W (+7),1,20:44,4,6,.667,0,0,,0,0,,0,3,3,2,2,0,0,2,8,8.9,-9,5.0
22,2015-12-08,21-204,HOU,@,BRK,L (-5),1,26:49,3,8,.375,0,0,,0,2,.000,3,6,9,0,0,0,3,2,6,0.9,-13,5.0
23,2015-12-09,21-205,HOU,@,WAS,W (+6),1,21:10,5,7,.714,0,0,,0,3,.000,3,2,5,2,1,0,0,0,10,11.0,-3,5.0
24,2015-12-12,21-208,HOU,,LAL,W (+29),1,24:29,5,8,.625,0,0,,1,4,.250,4,6,10,1,2,1,2,3,11,11.0,+10,5.0
25,2015-12-15,21-211,HOU,@,SAC,L (-10),0,13:26,2,3,.667,0,0,,0,0,,3,6,9,0,1,1,2,5,4,4.3,+7,5.0
26,2015-12-17,21-213,HOU,@,LAL,W (+20),1,28:09,4,6,.667,0,0,,2,4,.500,7,5,12,1,2,4,1,1,10,17.1,+19,5.0
