G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-02,38-280,MEM,@,GSW,L (-50),0,15:39,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,1,2,3,0.1,-13,2.0
2,2015-11-20,38-298,MEM,,HOU,W (+12),0,17:44,2,6,.333,2,4,.500,0,0,,1,2,3,0,1,2,0,3,6,5.1,+5,2.0
3,2015-11-21,38-299,MEM,@,SAS,L (-10),0,19:49,3,6,.500,0,2,.000,1,1,1.000,0,4,4,0,1,0,3,1,7,2.8,-5,2.0
4,2015-11-24,38-302,MEM,,DAL,W (+14),0,11:03,1,4,.250,0,2,.000,1,2,.500,0,2,2,0,0,0,0,3,3,-0.4,+5,2.0
5,2015-11-25,38-303,MEM,@,HOU,W (+9),0,14:39,0,1,.000,0,1,.000,0,0,,2,4,6,2,1,0,1,2,0,2.5,+10,2.0
6,2015-11-27,38-305,MEM,,ATL,L (-15),0,22:28,4,10,.400,4,9,.444,2,2,1.000,0,5,5,1,0,1,0,3,14,10.3,+3,2.0
7,2015-11-29,38-307,MEM,,PHI,W (+8),0,8:54,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,2,4,2,-3.3,0,2.0
8,2015-12-01,38-309,MEM,@,NOP,W (+9),0,7:53,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,3,2,2.5,+2,2.0
9,2015-12-03,38-311,MEM,,SAS,L (-20),0,10:42,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,2,0,-0.2,-3,2.0
10,2015-12-06,38-314,MEM,,PHO,W (+2),0,4:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,2.0
11,2015-12-08,38-316,MEM,,OKC,L (-37),0,21:36,3,7,.429,1,3,.333,0,0,,1,2,3,1,0,0,0,0,7,5.3,-9,2.0
12,2015-12-19,38-327,MEM,,IND,W (+12),0,22:24,3,5,.600,1,3,.333,2,2,1.000,0,1,1,2,1,1,0,1,9,9.7,+5,2.0
13,2015-12-22,38-330,MEM,@,PHI,W (+14),0,16:53,3,8,.375,2,5,.400,0,0,,0,1,1,1,1,0,0,3,8,4.4,+6,2.0
14,2015-12-23,38-331,MEM,@,WAS,L (-9),0,12:39,0,5,.000,0,4,.000,1,2,.500,0,2,2,0,2,0,1,2,1,-2.1,-4,2.0
15,2015-12-26,38-334,MEM,@,CHO,L (-6),0,4:16,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-1.2,0,2.0
16,2015-12-27,38-335,MEM,,LAL,W (+16),0,13:40,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,0,2,2,0.9,-13,2.0
17,2015-12-29,38-337,MEM,,MIA,W (+9),0,9:24,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,-2,2.0
18,2016-01-02,38-341,MEM,@,UTA,L (-5),0,8:42,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-8,2.0
19,2016-01-06,38-345,MEM,@,OKC,L (-18),0,12:00,1,3,.333,0,1,.000,2,2,1.000,0,0,0,3,0,1,0,4,4,3.5,0,2.0
20,2016-01-08,38-347,MEM,,DEN,W (+7),0,9:19,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,+5,2.0
21,2016-01-10,38-349,MEM,,BOS,W (+3),0,19:57,2,7,.286,1,5,.200,3,4,.750,0,2,2,0,1,3,1,3,8,5.0,+7,2.0
22,2016-01-12,38-351,MEM,,HOU,L (-16),0,20:27,3,7,.429,0,1,.000,4,4,1.000,2,1,3,2,0,0,1,1,10,8.0,-13,2.0
23,2016-01-14,38-353,MEM,,DET,W (+2),0,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,+2,2.0
24,2016-01-16,38-355,MEM,,NYK,W (+8),0,5:55,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-0.7,+8,2.0
25,2016-01-18,38-357,MEM,,NOP,W (+2),0,12:43,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+4,2.0
26,2016-01-21,38-360,MEM,@,DEN,W (+1),0,8:03,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-11,2.0
27,2016-01-23,38-362,MEM,@,MIN,L (-5),0,16:58,2,5,.400,2,3,.667,2,2,1.000,0,1,1,0,1,1,0,1,8,6.9,+2,2.0
28,2016-01-25,38-364,MEM,,ORL,W (+6),0,4:55,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-9,2.0
