G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-128,SAC,,LAC,L (-7),0,20:07,2,5,.400,1,1,1.000,0,0,,1,8,9,0,1,0,2,2,5,3.6,+8,3.0
2,2015-10-30,27-130,SAC,,LAL,W (+18),0,21:59,5,9,.556,0,2,.000,2,3,.667,3,6,9,2,0,0,0,3,12,11.4,-4,3.0
3,2015-10-31,27-131,SAC,@,LAC,L (-5),0,21:23,4,6,.667,1,1,1.000,1,2,.500,1,3,4,2,0,0,3,2,10,6.2,+13,3.0
4,2015-11-03,27-134,SAC,,MEM,L (-14),0,22:47,1,7,.143,1,2,.500,1,4,.250,1,2,3,2,2,0,2,2,4,0.2,+2,3.0
5,2015-11-04,27-135,SAC,@,PHO,L (-21),0,20:05,2,5,.400,2,2,1.000,2,4,.500,0,4,4,1,1,0,2,0,8,5.4,-21,3.0
6,2015-11-06,27-137,SAC,,HOU,L (-6),0,32:43,8,10,.800,2,3,.667,4,5,.800,1,3,4,1,2,0,2,4,22,18.5,+22,3.0
7,2015-11-07,27-138,SAC,,GSW,L (-9),0,28:54,4,7,.571,2,4,.500,0,0,,1,7,8,2,0,0,3,3,10,6.7,-19,3.0
8,2015-11-09,27-140,SAC,,SAS,L (-18),0,24:22,7,14,.500,2,4,.500,0,0,,0,5,5,0,3,0,0,2,16,12.7,+4,3.0
9,2015-11-11,27-142,SAC,,DET,W (+9),0,27:56,3,5,.600,1,2,.500,2,2,1.000,0,11,11,1,1,0,2,2,9,8.9,-12,3.0
10,2015-11-13,27-144,SAC,,BRK,W (+2),0,20:50,2,9,.222,1,4,.250,0,0,,1,2,3,1,0,0,1,1,5,0.1,+3,3.0
11,2015-11-15,27-146,SAC,,TOR,W (+6),0,25:39,6,9,.667,1,4,.250,1,1,1.000,2,3,5,0,2,1,2,1,14,12.7,-10,3.0
12,2015-11-18,27-149,SAC,@,ATL,L (-6),0,22:13,4,8,.500,0,2,.000,0,0,,0,4,4,2,0,0,2,2,8,3.8,-2,3.0
13,2015-11-19,27-150,SAC,@,MIA,L (-7),1,38:31,7,11,.636,2,4,.500,0,4,.000,0,6,6,0,1,1,4,5,16,7.0,-3,3.0
14,2015-11-21,27-152,SAC,@,ORL,W (+6),0,31:49,5,11,.455,1,3,.333,0,0,,3,8,11,2,1,0,1,3,11,10.0,+18,3.0
15,2015-11-23,27-154,SAC,@,CHO,L (-5),0,26:46,2,7,.286,1,4,.250,1,1,1.000,1,4,5,3,0,0,2,3,6,2.7,+18,3.0
16,2015-11-25,27-156,SAC,@,MIL,W (+11),0,30:34,6,9,.667,3,5,.600,4,6,.667,1,6,7,3,2,0,0,3,19,19.7,+8,3.0
17,2015-11-27,27-158,SAC,,MIN,L (-10),0,27:44,6,10,.600,2,5,.400,1,2,.500,0,6,6,0,0,0,2,2,15,9.0,+1,3.0
18,2015-11-28,27-159,SAC,@,GSW,L (-19),1,28:38,3,10,.300,3,5,.600,2,2,1.000,2,5,7,1,0,0,0,3,11,7.6,-18,3.0
