G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-162,MIA,,CHO,W (+10),0,17:07,1,3,.333,1,2,.500,5,5,1.000,0,3,3,4,2,0,2,2,8,9.2,+8,1.0
2,2015-10-30,29-164,MIA,@,CLE,L (-10),0,14:24,3,6,.500,0,2,.000,2,2,1.000,0,1,1,2,0,0,0,1,8,6.3,-19,1.0
3,2015-11-01,29-166,MIA,,HOU,W (+20),0,22:35,1,3,.333,0,1,.000,2,3,.667,1,0,1,3,2,0,3,3,4,2.5,+27,1.0
4,2015-11-03,29-168,MIA,,ATL,L (-6),0,21:43,1,9,.111,0,4,.000,0,0,,0,1,1,3,2,0,1,4,2,-2.1,-2,1.0
5,2015-11-06,29-171,MIA,@,IND,L (-3),0,18:52,1,3,.333,0,1,.000,0,0,,0,1,1,1,1,0,0,3,2,1.1,+21,1.0
6,2015-11-08,29-173,MIA,,TOR,W (+20),0,25:10,3,8,.375,0,1,.000,3,3,1.000,0,7,7,6,1,1,3,3,9,8.4,+18,1.0
7,2015-11-13,29-178,MEM,,POR,W (+1),0,19:37,4,6,.667,1,2,.500,2,2,1.000,0,1,1,2,4,0,1,1,11,12.7,+5,1.0
8,2015-11-15,29-180,MEM,@,MIN,W (+8),0,18:10,2,4,.500,2,3,.667,10,10,1.000,0,0,0,4,0,1,3,1,16,14.1,+7,1.0
9,2015-11-16,29-181,MEM,,OKC,W (+8),0,22:45,6,13,.462,4,7,.571,13,15,.867,0,2,2,1,1,0,1,3,29,21.6,+9,1.0
10,2015-11-20,29-185,MEM,,HOU,W (+12),0,16:31,2,9,.222,0,1,.000,6,6,1.000,1,3,4,3,1,0,0,5,10,7.2,+11,1.0
11,2015-11-21,29-186,MEM,@,SAS,L (-10),0,21:03,2,10,.200,0,2,.000,2,2,1.000,0,2,2,4,1,0,1,4,6,1.6,-6,1.0
12,2015-11-24,29-189,MEM,,DAL,W (+14),0,20:54,4,7,.571,0,1,.000,6,10,.600,0,1,1,2,5,0,1,2,14,14.0,+2,1.0
13,2015-11-25,29-190,MEM,@,HOU,W (+9),0,23:20,2,7,.286,0,3,.000,2,2,1.000,0,3,3,5,0,0,2,3,6,3.1,+3,1.0
14,2015-11-27,29-192,MEM,,ATL,L (-15),0,10:46,0,2,.000,0,2,.000,3,4,.750,0,1,1,2,0,0,5,4,3,-3.7,+4,1.0
15,2015-11-29,29-194,MEM,,PHI,W (+8),0,14:45,2,5,.400,1,1,1.000,0,0,,2,1,3,2,1,0,3,4,5,1.8,+2,1.0
16,2015-12-01,29-196,MEM,@,NOP,W (+9),0,23:37,4,4,1.000,0,0,,3,4,.750,1,3,4,4,0,0,0,4,11,12.2,+22,1.0
17,2015-12-03,29-198,MEM,,SAS,L (-20),0,19:54,3,11,.273,1,6,.167,8,8,1.000,2,3,5,2,2,0,1,3,15,12.0,-10,1.0
18,2015-12-06,29-201,MEM,,PHO,W (+2),0,21:08,3,7,.429,1,3,.333,4,4,1.000,1,3,4,2,3,0,2,2,11,10.5,+7,1.0
19,2015-12-08,29-203,MEM,,OKC,L (-37),0,21:14,6,8,.750,0,1,.000,7,8,.875,0,2,2,1,2,1,3,2,19,15.6,-13,1.0
20,2015-12-09,29-204,MEM,@,DET,W (+1),0,19:14,2,6,.333,0,1,.000,1,2,.500,0,0,0,2,1,2,2,2,5,2.2,+4,1.0
21,2015-12-11,29-206,MEM,,CHO,L (-24),0,12:31,0,3,.000,0,2,.000,6,8,.750,0,3,3,2,2,0,1,5,6,4.4,-4,1.0
22,2015-12-13,29-208,MEM,@,MIA,L (-3),0,22:00,4,7,.571,0,1,.000,4,5,.800,0,0,0,2,0,0,2,4,12,6.1,-6,1.0
23,2015-12-14,29-209,MEM,,WAS,W (+17),0,18:34,5,6,.833,1,1,1.000,1,1,1.000,0,1,1,1,1,0,1,2,12,10.0,+4,1.0
24,2015-12-16,29-211,MEM,@,CHI,L (-13),0,26:31,2,5,.400,0,1,.000,4,8,.500,0,3,3,4,0,1,2,3,8,4.9,+2,1.0
25,2015-12-18,29-213,MEM,@,DAL,L (-9),0,25:09,4,9,.444,2,4,.500,2,2,1.000,0,0,0,2,1,0,2,2,12,6.9,-10,1.0
