G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,24-237,GSW,@,HOU,W (+20),0,4:36,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,1.3,-5,2.0
2,2015-10-31,24-238,GSW,@,NOP,W (+14),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,2.0
3,2015-11-02,24-240,GSW,,MEM,W (+50),0,12:00,4,4,1.000,1,1,1.000,6,6,1.000,1,2,3,1,0,0,0,0,15,15.8,+6,2.0
4,2015-11-06,24-244,GSW,,DEN,W (+15),0,7:31,0,2,.000,0,1,.000,0,0,,0,1,1,3,0,0,1,0,0,0.0,0,2.0
5,2015-11-11,24-249,GSW,@,MEM,W (+16),0,2:21,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-3,2.0
6,2015-11-12,24-250,GSW,@,MIN,W (+13),0,3:40,2,4,.500,2,3,.667,0,0,,0,1,1,1,0,0,0,2,6,4.2,-3,2.0
7,2015-11-14,24-252,GSW,,BRK,W (+8),0,9:15,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.8,+5,2.0
8,2015-11-17,24-255,GSW,,TOR,W (+5),0,6:20,1,3,.333,1,2,.500,1,2,.500,0,0,0,2,1,0,2,0,4,2.3,-6,2.0
9,2015-11-19,24-257,GSW,@,LAC,W (+7),0,5:14,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,1,0,0.6,+6,2.0
10,2015-11-20,24-258,GSW,,CHI,W (+12),0,2:40,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,0,2.0
11,2015-11-22,24-260,GSW,@,DEN,W (+13),0,8:49,2,3,.667,0,1,.000,0,0,,1,0,1,1,0,1,1,2,4,3.0,-2,2.0
12,2015-11-24,24-262,GSW,,LAL,W (+34),0,6:03,0,3,.000,0,1,.000,0,0,,1,1,2,1,2,0,0,0,0,1.6,-5,2.0
13,2015-11-27,24-265,GSW,@,PHO,W (+19),0,13:07,3,7,.429,1,2,.500,0,0,,0,2,2,2,1,0,2,3,7,3.1,-2,2.0
14,2015-11-28,24-266,GSW,,SAC,W (+19),0,8:40,2,4,.500,2,2,1.000,2,2,1.000,0,1,1,1,0,0,1,0,8,6.0,-6,2.0
15,2015-11-30,24-268,GSW,@,UTA,W (+3),0,6:08,4,5,.800,4,5,.800,0,0,,0,1,1,0,0,1,0,1,12,10.7,+2,2.0
16,2015-12-02,24-270,GSW,@,CHO,W (+17),0,8:19,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,0,2,1.7,-2,2.0
17,2015-12-05,24-273,GSW,@,TOR,W (+3),0,4:59,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1,2.0
18,2015-12-06,24-274,GSW,@,BRK,W (+16),0,8:35,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-11,2.0
19,2015-12-08,24-276,GSW,@,IND,W (+8),0,12:21,1,5,.200,0,1,.000,0,0,,0,0,0,2,0,0,0,3,2,-0.9,-10,2.0
20,2015-12-11,24-279,GSW,@,BOS,W (+5),1,19:12,3,9,.333,0,2,.000,0,0,,1,2,3,0,0,0,1,1,6,0.8,+1,2.0
21,2015-12-12,24-280,GSW,@,MIL,L (-13),0,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2.0
22,2015-12-16,24-284,GSW,,PHO,W (+25),0,6:20,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,2,0,2,0.0,-12,2.0
23,2015-12-23,24-291,GSW,,UTA,W (+18),0,7:34,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,7,5.1,+6,2.0
24,2015-12-25,24-293,GSW,,CLE,W (+6),0,4:53,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-1,2.0
25,2015-12-28,24-296,GSW,,SAC,W (+19),0,22:06,5,9,.556,2,4,.500,0,0,,0,4,4,0,2,1,0,2,12,10.8,+5,2.0
26,2015-12-30,24-298,GSW,@,DAL,L (-23),0,23:46,8,12,.667,3,4,.750,2,2,1.000,0,0,0,0,1,0,2,3,21,13.6,-9,2.0
27,2015-12-31,24-299,GSW,@,HOU,W (+4),0,25:44,4,9,.444,2,4,.500,2,2,1.000,1,2,3,2,0,0,0,4,12,8.4,+7,2.0
28,2016-01-02,24-301,GSW,,DEN,W (+3),0,37:20,7,8,.875,1,2,.500,0,0,,0,1,1,1,0,0,3,2,15,9.4,-13,2.0
29,2016-01-04,24-303,GSW,,CHO,W (+10),0,17:52,1,4,.250,1,2,.500,0,0,,0,1,1,3,1,0,1,1,3,2.6,+7,2.0
30,2016-01-05,24-304,GSW,@,LAL,W (+21),0,21:52,1,10,.100,0,4,.000,1,2,.500,1,3,4,6,1,4,2,1,3,3.2,-7,2.0
31,2016-01-08,24-307,GSW,@,POR,W (+20),0,17:01,2,3,.667,2,2,1.000,0,0,,1,3,4,2,0,1,2,0,6,6.4,-2,2.0
32,2016-01-09,24-308,GSW,@,SAC,W (+12),0,7:16,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-2.8,-7,2.0
33,2016-01-11,24-310,GSW,,MIA,W (+8),0,9:33,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,2,2,0.9,+10,2.0
34,2016-01-14,24-313,GSW,,LAL,W (+18),0,4:20,3,4,.750,0,0,,0,0,,0,0,0,2,1,0,1,0,6,5.8,+5,2.0
35,2016-01-16,24-315,GSW,@,DET,L (-18),0,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1,2.0
36,2016-01-18,24-317,GSW,@,CLE,W (+34),0,12:25,2,7,.286,2,5,.400,0,0,,0,2,2,2,0,0,0,0,6,3.9,-6,2.0
37,2016-01-20,24-319,GSW,@,CHI,W (+31),0,3:53,2,2,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,4,5.1,+7,2.0
38,2016-01-22,24-321,GSW,,IND,W (+12),0,1:18,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-1,2.0
39,2016-01-25,24-324,GSW,,SAS,W (+30),0,6:59,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,2,0,0,-1.7,+3,2.0
40,2016-01-27,24-326,GSW,,DAL,W (+20),0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,+4,2.0
41,2016-01-30,24-329,GSW,@,PHI,W (+3),0,15:00,2,5,.400,0,1,.000,1,1,1.000,1,0,1,1,0,1,1,1,5,3.0,-4,2.0
42,2016-01-31,24-330,GSW,@,NYK,W (+21),0,4:04,0,2,.000,0,2,.000,4,4,1.000,0,0,0,0,0,0,0,0,4,2.6,+3,2.0
43,2016-02-10,24-340,GSW,@,PHO,W (+8),0,3:49,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,-7,2.0
44,2016-02-19,24-349,GSW,@,POR,L (-32),0,7:33,3,7,.429,1,2,.500,1,2,.500,1,0,1,0,0,0,0,1,8,4.2,-7,2.0
45,2016-02-20,24-350,GSW,@,LAC,W (+3),0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9,2.0
46,2016-02-25,24-355,GSW,@,ORL,W (+16),0,2:02,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,0.0,+1,2.0
47,2016-03-01,24-360,GSW,,ATL,W (+4),0,15:22,0,5,.000,0,4,.000,3,4,.750,0,2,2,1,0,0,1,2,3,-1.4,-4,2.0
48,2016-03-06,24-365,GSW,@,LAL,L (-17),0,9:15,3,4,.750,2,2,1.000,0,0,,0,1,1,1,0,0,1,3,8,5.2,-5,2.0
49,2016-03-07,25-000,GSW,,ORL,W (+6),0,5:09,1,1,1.000,0,0,,0,0,,1,1,2,2,1,0,1,2,2,3.3,-3,2.0
50,2016-03-09,25-002,GSW,,UTA,W (+21),0,4:35,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,1,2,3.0,-1,2.0
51,2016-03-11,25-004,GSW,,POR,W (+16),0,5:52,1,5,.200,0,2,.000,2,2,1.000,1,3,4,0,0,0,0,2,4,1.7,+1,2.0
52,2016-03-12,25-005,GSW,,PHO,W (+7),0,4:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-7,2.0
53,2016-03-14,25-007,GSW,,NOP,W (+18),0,9:11,1,3,.333,0,1,.000,0,0,,0,0,0,3,1,0,0,0,2,3.4,-7,2.0
54,2016-03-16,25-009,GSW,,NYK,W (+36),0,11:52,2,3,.667,0,0,,0,0,,0,1,1,2,1,0,1,0,4,4.4,-1,2.0
55,2016-03-18,25-011,GSW,@,DAL,W (+18),0,2:38,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,1.0,+3,2.0
56,2016-03-19,25-012,GSW,@,SAS,L (-8),0,6:20,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-8,2.0
57,2016-03-21,25-014,GSW,@,MIN,W (+5),0,7:52,0,1,.000,0,1,.000,1,2,.500,0,2,2,2,0,1,2,0,1,0.6,+7,2.0
58,2016-03-25,25-018,GSW,,DAL,W (+8),0,2:27,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,+3,2.0
59,2016-03-27,25-020,GSW,,PHI,W (+12),0,20:31,2,5,.400,0,3,.000,2,3,.667,0,2,2,2,1,0,2,1,6,3.5,+7,2.0
60,2016-03-29,25-022,GSW,,WAS,W (+8),0,17:06,1,4,.250,0,1,.000,0,0,,0,2,2,0,1,1,0,1,2,1.5,-5,2.0
61,2016-03-30,25-023,GSW,@,UTA,W (+7),0,9:22,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,3.6,+4,2.0
62,2016-04-01,25-025,GSW,,BOS,L (-3),0,9:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-1.4,+2,2.0
63,2016-04-03,25-027,GSW,,POR,W (+25),0,3:10,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+2,2.0
64,2016-04-07,25-031,GSW,,SAS,W (+11),0,1:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5,2.0
65,2016-04-09,25-033,GSW,@,MEM,W (+1),0,3:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-5,2.0
66,2016-04-10,25-034,GSW,@,SAS,W (+6),0,4:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,+3,2.0
