G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-225,MIL,,NYK,L (-25),1,19:29,3,7,.429,2,3,.667,0,0,,1,1,2,0,1,0,1,3,8,4.1,-17,4.0
2,2015-10-30,31-227,MIL,,WAS,L (-5),0,8:50,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,0,5,6,3.3,+6,4.0
3,2015-11-01,31-229,MIL,@,TOR,L (-19),0,20:32,3,6,.500,2,4,.500,2,2,1.000,0,0,0,0,0,0,2,0,10,5.0,-14,4.0
4,2015-11-02,31-230,MIL,@,BRK,W (+7),0,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
5,2015-11-04,31-232,MIL,,PHI,W (+4),0,10:25,3,9,.333,1,7,.143,1,1,1.000,0,0,0,2,0,0,0,0,8,4.3,+10,4.0
6,2015-11-06,31-234,MIL,@,NYK,W (+7),0,8:44,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-4,4.0
7,2015-11-07,31-235,MIL,,BRK,W (+8),0,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,4.0
8,2015-11-10,31-238,MIL,,BOS,L (-16),0,5:26,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9,4.0
9,2015-11-17,31-245,MIL,@,WAS,L (-29),0,8:42,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,0,2,2,1.9,-11,4.0
10,2015-11-21,31-249,MIL,@,IND,L (-37),0,10:15,1,3,.333,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,3,0.9,-11,4.0
11,2015-11-23,31-251,MIL,,DET,W (+21),0,2:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,4.0
12,2015-11-25,31-253,MIL,,SAC,L (-11),0,7:34,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,+5,4.0
13,2015-11-27,31-255,MIL,@,ORL,L (-24),0,2:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0,4.0
14,2015-11-30,31-258,MIL,,DEN,W (+18),0,3:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,4.0
15,2015-12-02,31-260,MIL,@,SAS,L (-25),0,7:05,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,1,0,0.7,-1,4.0
16,2015-12-15,31-273,MIL,@,LAL,L (-18),0,6:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-3,4.0
17,2015-12-20,31-278,MIL,@,PHO,W (+6),0,8:00,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-9,4.0
18,2015-12-23,31-281,MIL,,PHI,W (+13),0,2:01,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-3,4.0
19,2016-01-04,31-293,MIL,,SAS,L (-25),0,5:03,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-3,4.0
20,2016-01-16,31-305,MIL,@,CHO,W (+13),0,2:43,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-4,4.0
21,2016-01-19,31-308,MIL,@,MIA,W (+12),0,1:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,4.0
22,2016-01-23,31-312,MIL,@,NOP,L (-17),0,2:46,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-2,4.0
23,2016-01-28,31-317,MIL,@,MEM,L (-20),0,6:30,0,3,.000,0,3,.000,2,2,1.000,0,0,0,1,0,0,1,1,2,-0.8,+1,4.0
24,2016-02-02,31-322,MIL,@,POR,L (-12),0,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3,4.0
