G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-02,24-323,PHI,,CLE,L (-7),1,22:27,1,9,.111,0,5,.000,2,2,1.000,0,2,2,0,2,1,2,3,4,-1.8,-25,3.0
2,2015-11-16,24-337,PHI,,DAL,L (-6),0,20:14,2,8,.250,0,4,.000,3,4,.750,2,3,5,2,1,0,4,4,7,0.9,+9,3.0
3,2015-11-18,24-339,PHI,,IND,L (-27),0,22:55,4,13,.308,0,5,.000,0,0,,0,5,5,1,2,1,4,2,8,0.6,-19,3.0
4,2015-11-20,24-341,PHI,@,CHO,L (-25),1,23:13,1,7,.143,0,4,.000,7,7,1.000,0,3,3,3,1,1,4,5,9,3.2,-10,3.0
5,2015-11-21,24-342,PHI,@,MIA,L (-5),0,32:00,6,11,.545,3,6,.500,6,7,.857,0,6,6,0,2,1,1,5,21,16.8,+9,3.0
6,2015-11-23,24-344,PHI,@,MIN,L (-5),0,35:28,6,14,.429,3,9,.333,3,4,.750,1,5,6,1,3,0,4,3,18,10.9,+5,3.0
7,2015-11-25,24-346,PHI,@,BOS,L (-4),1,35:27,4,16,.250,2,8,.250,1,3,.333,3,11,14,0,6,2,4,5,11,7.4,-4,3.0
8,2015-11-27,24-348,PHI,@,HOU,L (-2),1,37:48,7,12,.583,6,9,.667,8,9,.889,1,6,7,5,8,1,4,4,28,31.1,+1,3.0
9,2015-11-29,24-350,PHI,@,MEM,L (-8),1,37:25,5,9,.556,2,4,.500,0,0,,1,6,7,4,7,1,8,5,12,10.7,-7,3.0
10,2015-12-01,24-352,PHI,,LAL,W (+12),1,34:28,8,16,.500,5,11,.455,2,4,.500,1,4,5,4,0,2,3,3,23,16.1,+18,3.0
11,2015-12-02,24-353,PHI,@,NYK,L (-12),1,27:21,3,8,.375,2,7,.286,2,2,1.000,0,4,4,3,1,0,3,4,10,5.3,-12,3.0
12,2015-12-05,24-356,PHI,,DEN,L (-3),1,30:02,6,13,.462,5,12,.417,1,2,.500,1,9,10,2,2,1,3,5,18,13.4,-4,3.0
13,2015-12-07,24-358,PHI,,SAS,L (-51),1,30:51,5,8,.625,2,5,.400,1,2,.500,1,5,6,2,0,0,2,3,13,9.4,-22,3.0
14,2015-12-10,24-361,PHI,@,BRK,L (-9),1,26:52,3,10,.300,0,6,.000,0,0,,0,2,2,0,2,1,0,6,6,1.1,-3,3.0
15,2015-12-11,24-362,PHI,,DET,L (-12),1,33:44,5,16,.313,3,9,.333,5,5,1.000,4,5,9,2,2,0,3,3,18,12.3,-4,3.0
16,2015-12-13,24-364,PHI,@,TOR,L (-20),1,31:52,5,14,.357,5,12,.417,0,0,,0,9,9,0,0,3,2,5,15,8.0,-2,3.0
17,2015-12-14,25-000,PHI,@,CHI,L (-19),1,26:20,6,16,.375,3,11,.273,0,0,,2,4,6,1,0,2,2,0,15,8.9,-26,3.0
18,2015-12-16,25-002,PHI,@,ATL,L (-21),1,27:24,4,8,.500,1,2,.500,1,1,1.000,1,3,4,4,2,0,1,3,10,10.2,-25,3.0
19,2015-12-18,25-004,PHI,,NYK,L (-10),1,15:42,1,5,.200,1,4,.250,0,0,,0,4,4,1,0,0,1,4,3,-0.8,-8,3.0
20,2015-12-20,25-006,PHI,@,CLE,L (-22),1,20:30,2,9,.222,1,6,.167,0,0,,1,2,3,0,1,0,1,3,5,-0.4,-12,3.0
