G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,35-222,LAC,@,SAC,W (+7),0,21:08,5,9,.556,0,1,.000,1,2,.500,0,0,0,1,1,0,0,2,11,7.2,-5,2.0
2,2015-10-29,35-223,LAC,,DAL,W (+16),0,17:24,6,11,.545,2,4,.500,1,1,1.000,0,2,2,2,0,0,0,0,15,11.7,+12,2.0
3,2015-10-31,35-225,LAC,,SAC,W (+5),0,22:59,3,10,.300,0,3,.000,4,4,1.000,0,1,1,0,0,0,0,1,10,4.1,-11,2.0
4,2015-11-02,35-227,LAC,,PHO,W (+6),0,26:17,2,8,.250,1,4,.250,6,6,1.000,0,2,2,3,1,0,0,2,11,9.1,+8,2.0
5,2015-11-04,35-229,LAC,@,GSW,L (-4),0,20:08,4,15,.267,0,3,.000,0,0,,2,3,5,1,1,0,0,0,8,3.1,-10,2.0
6,2015-11-07,35-232,LAC,,HOU,L (-4),0,18:41,1,3,.333,0,1,.000,0,0,,0,0,0,4,1,0,3,0,2,1.1,-1,2.0
7,2015-11-09,35-234,LAC,,MEM,W (+2),0,20:08,2,7,.286,1,3,.333,8,9,.889,0,1,1,1,0,0,2,0,13,7.5,+19,2.0
8,2015-11-11,35-236,LAC,@,DAL,L (-10),0,28:41,3,8,.375,1,3,.333,4,4,1.000,0,0,0,1,0,0,1,4,11,4.7,-9,2.0
9,2015-11-12,35-237,LAC,@,PHO,L (-14),0,24:48,7,14,.500,1,3,.333,3,3,1.000,0,1,1,2,3,0,5,2,18,9.9,-8,2.0
10,2015-11-14,35-239,LAC,,DET,W (+5),1,40:31,12,27,.444,3,7,.429,10,10,1.000,1,5,6,8,0,1,3,4,37,26.8,+21,2.0
11,2015-11-19,35-244,LAC,,GSW,L (-7),1,39:30,6,16,.375,1,7,.143,2,2,1.000,0,5,5,2,0,0,2,5,15,5.1,-9,2.0
12,2015-11-20,35-245,LAC,@,POR,L (-11),0,26:44,6,15,.400,5,8,.625,3,3,1.000,0,1,1,1,0,0,1,2,20,11.1,-5,2.0
13,2015-11-22,35-247,LAC,,TOR,L (-11),0,29:11,1,9,.111,0,6,.000,6,7,.857,0,0,0,2,1,0,1,1,8,2.7,+1,2.0
14,2015-11-24,35-249,LAC,@,DEN,W (+17),0,24:01,4,9,.444,2,5,.400,5,5,1.000,0,3,3,2,1,0,0,1,15,13.2,+7,2.0
15,2015-11-25,35-250,LAC,,UTA,L (-11),0,30:09,1,9,.111,0,2,.000,1,2,.500,0,1,1,2,0,0,2,1,3,-4.0,-2,2.0
16,2015-11-27,35-252,LAC,,NOP,W (+21),0,26:49,2,8,.250,1,3,.333,4,4,1.000,0,3,3,0,1,0,3,0,9,3.1,+7,2.0
17,2015-11-29,35-254,LAC,,MIN,W (+8),0,15:26,0,4,.000,0,2,.000,0,0,,0,0,0,2,0,0,3,1,0,-4.8,-1,2.0
18,2015-11-30,35-255,LAC,,POR,W (+15),0,22:45,4,10,.400,0,1,.000,3,4,.750,0,0,0,4,1,0,0,2,11,8.2,0,2.0
19,2015-12-02,35-257,LAC,,IND,L (-12),0,37:05,5,16,.313,1,8,.125,5,5,1.000,1,5,6,3,0,0,4,5,16,5.1,-10,2.0
20,2015-12-05,35-260,LAC,,ORL,W (+2),1,31:22,10,19,.526,6,9,.667,6,7,.857,0,1,1,5,0,0,1,3,32,23.9,+7,2.0
21,2015-12-07,35-262,LAC,@,MIN,W (+4),0,27:09,5,11,.455,4,6,.667,4,4,1.000,0,3,3,7,1,0,2,2,18,16.3,+13,2.0
22,2015-12-09,35-264,LAC,@,MIL,W (+14),0,21:46,3,11,.273,2,5,.400,0,0,,1,0,1,0,0,0,1,0,8,1.2,-1,2.0
23,2015-12-10,35-265,LAC,@,CHI,L (-3),0,22:05,1,5,.200,0,1,.000,0,0,,0,0,0,2,0,0,1,0,2,-0.7,-11,2.0
24,2015-12-12,35-267,LAC,@,BRK,W (+5),0,25:23,4,8,.500,1,4,.250,0,0,,1,2,3,3,2,0,2,3,9,7.2,-3,2.0
