G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,25-068,SAC,,LAL,W (+18),0,3:49,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,-3,1.0
2,2015-11-03,25-072,SAC,,MEM,L (-14),0,3:16,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,4,4.1,+5,1.0
3,2015-11-04,25-073,SAC,@,PHO,L (-21),0,5:05,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,0,3,3.4,-3,1.0
4,2015-11-06,25-075,SAC,,HOU,L (-6),0,15:09,3,4,.750,2,2,1.000,0,0,,0,0,0,2,0,0,0,0,8,7.8,+10,1.0
5,2015-11-13,25-082,SAC,,BRK,W (+2),0,4:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-4,1.0
6,2015-11-15,25-084,SAC,,TOR,W (+6),0,4:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,0,1.0
7,2015-11-27,25-096,SAC,,MIN,L (-10),0,1:15,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+2,1.0
8,2015-11-28,25-097,SAC,@,GSW,L (-19),0,9:23,3,4,.750,3,3,1.000,0,0,,0,1,1,2,0,0,2,1,9,6.7,+9,1.0
9,2015-11-30,25-099,SAC,,DAL,W (+14),0,19:37,2,3,.667,2,3,.667,2,2,1.000,0,1,1,1,0,0,0,1,8,7.3,+4,1.0
10,2015-12-03,25-102,SAC,,BOS,L (-17),0,23:10,2,4,.500,0,1,.000,4,6,.667,0,2,2,0,1,0,1,2,8,5.0,-1,1.0
11,2015-12-15,25-114,SAC,,HOU,W (+10),0,21:17,1,4,.250,0,2,.000,4,4,1.000,0,1,1,0,0,0,1,0,6,2.9,-8,1.0
12,2015-12-18,25-117,SAC,@,MIN,L (-4),0,6:56,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+6,1.0
