G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-03,24-111,CHO,,CHI,W (+25),0,5:41,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,0.2,-5,2.0
2,2015-11-05,24-113,CHO,@,DAL,W (+14),0,2:48,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,-4,2.0
3,2015-11-07,24-115,CHO,@,SAS,L (-20),0,3:51,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4,2.0
4,2015-11-13,24-121,CHO,@,CHI,L (-5),0,2:03,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,3.3,+1,2.0
5,2015-11-20,24-128,CHO,,PHI,W (+25),0,2:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+7,2.0
6,2015-12-02,24-140,CHO,,GSW,L (-17),0,8:22,1,5,.200,1,3,.333,2,2,1.000,0,1,1,0,1,0,0,0,5,3.2,+9,2.0
7,2015-12-07,24-145,CHO,,DET,W (+20),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,2.0
8,2015-12-09,24-147,CHO,,MIA,W (+18),0,8:52,2,4,.500,1,3,.333,0,0,,0,0,0,1,1,0,0,1,5,4.3,-12,2.0
9,2015-12-11,24-149,CHO,@,MEM,W (+24),0,3:31,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,-1,2.0
10,2015-12-16,24-154,CHO,@,ORL,L (-15),0,6:40,3,4,.750,3,3,1.000,0,0,,0,1,1,0,0,0,0,1,9,7.3,+5,2.0
11,2015-12-17,24-155,CHO,,TOR,W (+10),0,12:02,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-2.1,-4,2.0
12,2015-12-21,24-159,CHO,@,HOU,L (-7),0,2:29,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,1.0,+1,2.0
13,2015-12-30,24-168,CHO,,LAC,L (-5),0,1:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,2.0
14,2016-01-02,24-171,CHO,,OKC,L (-19),0,17:59,1,3,.333,1,2,.500,0,0,,0,4,4,0,1,0,0,2,3,2.7,-5,2.0
15,2016-01-06,24-175,CHO,@,PHO,L (-9),0,23:11,5,9,.556,3,7,.429,0,0,,0,3,3,2,1,0,0,1,13,11.6,0,2.0
16,2016-01-13,24-182,CHO,,ATL,W (+23),0,13:59,2,6,.333,1,4,.250,0,0,,1,0,1,1,1,0,0,1,5,3.6,-3,2.0
17,2016-01-15,24-184,CHO,@,NOP,L (-2),0,14:42,2,4,.500,2,4,.500,0,0,,0,3,3,0,0,0,2,1,6,2.5,-15,2.0
18,2016-01-16,24-185,CHO,,MIL,L (-13),0,3:50,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,3.3,+8,2.0
19,2016-01-18,24-187,CHO,,UTA,W (+5),0,13:35,1,4,.250,1,3,.333,0,0,,0,0,0,0,1,0,1,1,3,0.2,+1,2.0
20,2016-01-20,24-189,CHO,@,OKC,L (-14),0,16:55,4,7,.571,3,5,.600,0,0,,0,2,2,0,0,0,1,1,11,6.9,+5,2.0
21,2016-01-22,24-191,CHO,@,ORL,W (+4),0,32:19,7,15,.467,3,5,.600,0,0,,2,1,3,2,0,1,1,4,17,10.5,+20,2.0
22,2016-01-23,24-192,CHO,,NYK,W (+13),0,9:08,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,0,4,5,0.7,0,2.0
