G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-077,ORL,,WAS,L (-1),0,14:44,2,6,.333,0,0,,0,0,,2,4,6,0,1,2,1,4,4,3.0,+12,5.0
2,2015-10-30,26-079,ORL,,OKC,L (-3),0,12:54,1,2,.500,0,0,,0,0,,4,2,6,0,0,2,0,2,2,5.0,-5,5.0
3,2015-11-03,26-083,ORL,@,NOP,W (+9),0,12:11,3,5,.600,0,0,,0,0,,0,4,4,0,0,1,0,1,6,5.2,+10,5.0
4,2015-11-04,26-084,ORL,@,HOU,L (-5),0,26:23,2,5,.400,0,0,,0,0,,1,6,7,1,2,2,1,6,4,4.5,-6,5.0
5,2015-11-06,26-086,ORL,,TOR,W (+5),1,30:10,3,5,.600,0,0,,4,6,.667,0,4,4,1,0,3,1,6,10,7.5,-6,5.0
6,2015-11-07,26-087,ORL,@,PHI,W (+8),1,29:58,2,6,.333,0,0,,8,8,1.000,3,6,9,0,1,3,0,5,12,13.6,+3,5.0
7,2015-11-09,26-089,ORL,@,IND,L (-13),1,23:10,2,3,.667,0,0,,1,2,.500,2,7,9,0,2,0,2,1,5,6.4,+5,5.0
8,2015-11-11,26-091,ORL,,LAL,W (+2),1,12:41,2,6,.333,0,0,,0,0,,5,3,8,0,1,0,0,2,4,5.2,-4,5.0
9,2015-11-13,26-093,ORL,,UTA,W (+9),0,15:38,2,5,.400,0,0,,0,0,,1,3,4,0,0,3,2,2,4,2.2,-2,5.0
10,2015-11-14,26-094,ORL,@,WAS,L (-9),0,12:16,1,1,1.000,0,0,,2,3,.667,0,4,4,0,1,1,0,2,4,5.4,+9,5.0
11,2015-11-18,26-098,ORL,,MIN,W (+3),0,9:55,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,4,4,0.8,-3,5.0
12,2015-11-21,26-101,ORL,,SAC,L (-6),0,3:48,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,2,0,-1.1,+2,5.0
13,2015-11-23,26-103,ORL,@,CLE,L (-14),0,6:49,1,1,1.000,0,0,,1,4,.250,0,0,0,0,0,0,0,0,3,1.5,+8,5.0
14,2015-11-27,26-107,ORL,,MIL,W (+24),0,3:37,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-0.5,0,5.0
15,2015-12-11,26-121,ORL,,CLE,L (-35),0,20:05,1,2,.500,0,0,,4,6,.667,1,4,5,0,0,1,0,4,6,5.2,-13,5.0
16,2015-12-14,26-124,ORL,@,BRK,W (+23),0,4:05,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,0,5.0
17,2015-12-16,26-126,ORL,,CHO,W (+15),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,4,0,-2.6,-9,5.0
18,2015-12-28,26-138,ORL,,NOP,W (+15),0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,5.0
19,2015-12-30,26-140,ORL,,BRK,W (+7),0,6:18,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,0,0,2,1.6,-9,5.0
20,2016-01-01,26-142,ORL,@,WAS,L (-12),0,1:02,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,5.0
21,2016-01-02,26-143,ORL,@,CLE,L (-25),0,21:48,4,6,.667,0,0,,0,0,,0,5,5,0,0,1,0,2,8,6.8,+6,5.0
22,2016-01-04,26-145,ORL,@,DET,L (-26),0,9:02,0,0,,0,0,,0,0,,0,1,1,0,0,3,0,1,0,2.0,-9,5.0
23,2016-01-06,26-147,ORL,,IND,L (-9),0,7:08,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,1,0,0,2,3.0,-3,5.0
24,2016-01-09,26-150,ORL,,WAS,L (-6),0,0:37,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4,5.0
25,2016-01-18,26-159,ORL,@,ATL,L (-17),0,10:36,2,2,1.000,0,0,,0,0,,2,5,7,0,1,0,1,1,4,5.9,-3,5.0
26,2016-01-20,26-161,ORL,,PHI,L (-9),0,4:42,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-3,5.0
27,2016-01-25,26-166,ORL,@,MEM,L (-6),0,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1,5.0
28,2016-01-29,26-170,ORL,@,BOS,L (-19),0,7:03,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,+6,5.0
29,2016-01-31,26-172,ORL,,BOS,W (+5),0,7:38,1,2,.500,0,0,,1,2,.500,0,3,3,1,0,1,1,2,3,2.1,-8,5.0
30,2016-02-01,26-173,ORL,@,SAS,L (-15),0,2:30,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1,5.0
31,2016-02-05,26-177,ORL,,LAC,L (-14),0,1:48,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,0,5.0
32,2016-02-08,26-180,ORL,@,ATL,W (+7),0,6:15,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,2,1.5,-1,5.0
33,2016-02-10,26-182,ORL,,SAS,L (-2),0,10:36,1,5,.200,0,0,,0,0,,6,3,9,2,0,1,1,0,2,5.1,-3,5.0
34,2016-02-25,26-197,ORL,,GSW,L (-16),0,3:49,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,0,5.0
35,2016-02-26,26-198,ORL,@,NYK,L (-13),0,12:59,5,7,.714,0,0,,2,2,1.000,2,1,3,0,1,0,0,1,12,11.4,0,5.0
36,2016-03-01,26-202,ORL,@,DAL,L (-13),0,16:00,5,7,.714,0,0,,2,2,1.000,3,3,6,0,0,1,1,3,12,10.6,+8,5.0
37,2016-03-02,26-203,ORL,,CHI,W (+13),0,2:45,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,-6,5.0
38,2016-03-04,26-205,ORL,,PHO,L (-18),0,9:34,1,2,.500,0,0,,1,2,.500,2,2,4,1,1,0,1,3,3,3.1,-15,5.0
39,2016-03-07,26-208,ORL,@,GSW,L (-6),0,8:57,1,2,.500,0,0,,0,0,,0,4,4,0,1,0,0,1,2,2.8,+2,5.0
40,2016-03-08,26-209,ORL,@,LAL,L (-9),0,19:44,2,2,1.000,0,0,,1,2,.500,2,8,10,0,1,1,1,3,5,7.3,-5,5.0
41,2016-03-11,26-212,ORL,@,SAC,W (+7),1,24:33,4,6,.667,0,0,,1,1,1.000,3,4,7,0,0,1,1,1,9,9.0,+6,5.0
42,2016-03-12,26-213,ORL,@,POR,L (-37),1,15:21,1,2,.500,0,0,,0,0,,2,6,8,0,0,1,0,1,2,4.5,-3,5.0
43,2016-03-15,26-216,ORL,,DEN,W (+6),1,20:01,0,2,.000,0,0,,0,0,,0,2,2,0,1,0,1,2,0,-1.6,+17,5.0
