G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,25-049,CLE,@,CHI,L (-2),0,20:12,3,8,.375,0,2,.000,0,0,,1,3,4,4,0,0,1,1,6,4.6,+1,1.0
2,2015-10-28,25-050,CLE,@,MEM,W (+30),0,17:59,5,9,.556,2,4,.500,0,0,,0,1,1,3,2,0,0,2,12,11.3,+29,1.0
3,2015-10-30,25-052,CLE,,MIA,W (+10),0,26:58,1,5,.200,1,4,.250,2,2,1.000,1,4,5,10,1,0,0,0,5,11.8,+23,1.0
4,2015-11-02,25-055,CLE,@,PHI,W (+7),0,34:22,5,8,.625,1,3,.333,1,2,.500,3,2,5,9,0,0,3,2,12,13.2,+8,1.0
5,2015-11-04,25-057,CLE,,NYK,W (+10),0,27:25,2,7,.286,1,1,1.000,0,0,,1,2,3,7,0,0,3,2,5,3.3,+13,1.0
6,2015-11-06,25-059,CLE,,PHI,W (+6),0,25:54,4,11,.364,1,2,.500,2,2,1.000,0,1,1,1,1,0,2,4,11,3.3,-15,1.0
7,2015-11-08,25-061,CLE,,IND,W (+4),0,32:35,2,3,.667,1,2,.500,0,0,,0,3,3,9,1,0,2,3,5,8.7,+13,1.0
8,2015-11-10,25-063,CLE,,UTA,W (+4),0,22:59,4,7,.571,1,1,1.000,0,0,,0,1,1,3,2,0,0,3,9,8.9,-8,1.0
9,2015-11-13,25-066,CLE,@,NYK,W (+6),0,27:38,4,8,.500,1,4,.250,0,0,,0,4,4,0,0,0,0,2,9,5.4,+13,1.0
10,2015-11-14,25-067,CLE,@,MIL,L (-3),0,28:38,0,3,.000,0,1,.000,0,0,,0,2,2,7,2,0,4,2,0,0.6,-2,1.0
11,2015-11-17,25-070,CLE,@,DET,L (-5),0,20:18,1,6,.167,0,4,.000,0,0,,0,0,0,5,0,0,1,2,2,-0.1,-3,1.0
12,2015-11-19,25-072,CLE,,MIL,W (+15),1,38:30,2,6,.333,1,4,.250,2,3,.667,0,1,1,13,0,0,3,2,7,8.8,+16,1.0
13,2015-11-21,25-074,CLE,,ATL,W (+12),1,28:06,4,6,.667,1,1,1.000,3,3,1.000,0,2,2,3,1,0,0,5,12,11.1,+27,1.0
14,2015-11-23,25-076,CLE,,ORL,W (+14),1,23:51,5,8,.625,4,6,.667,1,1,1.000,0,0,0,9,1,0,0,1,15,18.3,+15,1.0
15,2015-11-27,25-080,CLE,@,CHO,W (+5),0,33:29,2,7,.286,1,4,.250,2,2,1.000,0,1,1,5,0,1,0,3,7,6.2,+11,1.0
16,2015-11-28,25-081,CLE,,BRK,W (+2),0,25:23,1,5,.200,1,2,.500,0,0,,1,3,4,6,0,0,3,1,3,2.3,0,1.0
17,2015-12-01,25-084,CLE,,WAS,L (-12),0,27:26,5,9,.556,3,3,1.000,2,2,1.000,0,2,2,1,2,1,0,3,15,13.5,+1,1.0
18,2015-12-04,25-087,CLE,@,NOP,L (-6),1,42:02,3,5,.600,2,3,.667,0,0,,0,2,2,4,1,0,3,3,8,5.9,+6,1.0
19,2015-12-05,25-088,CLE,@,MIA,L (-15),1,28:17,4,11,.364,1,3,.333,2,2,1.000,0,2,2,5,0,1,3,2,11,5.9,-15,1.0
20,2015-12-08,25-091,CLE,,POR,W (+5),1,36:42,7,12,.583,3,5,.600,0,0,,0,3,3,3,1,0,1,4,17,12.8,+4,1.0
21,2015-12-11,25-094,CLE,@,ORL,W (+35),1,24:08,5,7,.714,2,3,.667,0,0,,0,1,1,6,0,0,2,3,12,10.4,+34,1.0
22,2015-12-15,25-098,CLE,@,BOS,W (+12),1,27:30,1,6,.167,0,2,.000,0,0,,0,1,1,4,1,0,1,4,2,-0.3,+13,1.0
23,2015-12-17,25-100,CLE,,OKC,W (+4),1,38:45,3,10,.300,3,6,.500,2,2,1.000,2,3,5,10,0,0,1,3,11,12.3,+1,1.0
24,2015-12-20,25-103,CLE,,PHI,W (+22),0,22:48,7,10,.700,4,6,.667,2,2,1.000,0,0,0,2,2,2,4,1,20,16.2,+13,1.0
25,2015-12-23,25-106,CLE,,NYK,W (+7),0,30:50,3,8,.375,1,4,.250,0,0,,0,0,0,7,1,0,1,2,7,6.7,+9,1.0
26,2015-12-25,25-108,CLE,@,GSW,L (-6),0,30:31,4,11,.364,0,3,.000,2,3,.667,2,3,5,1,1,0,1,4,10,4.9,-12,1.0
27,2015-12-26,25-109,CLE,@,POR,L (-29),1,25:35,4,8,.500,2,4,.500,0,0,,0,1,1,6,0,0,1,2,10,8.7,-16,1.0
28,2015-12-28,25-111,CLE,@,PHO,W (+4),0,24:01,2,4,.500,2,2,1.000,2,2,1.000,0,1,1,5,1,0,4,1,8,6.4,-6,1.0
29,2015-12-29,25-112,CLE,@,DEN,W (+6),1,29:15,1,5,.200,0,1,.000,2,2,1.000,1,6,7,5,2,0,2,2,4,6.1,+16,1.0
30,2016-01-02,25-116,CLE,,ORL,W (+25),0,18:46,1,6,.167,1,5,.200,0,0,,0,3,3,6,0,0,1,1,3,2.9,+11,1.0
31,2016-01-04,25-118,CLE,,TOR,W (+22),0,24:46,3,4,.750,2,3,.667,3,3,1.000,0,3,3,4,0,0,3,2,11,9.3,+6,1.0
32,2016-01-06,25-120,CLE,@,WAS,W (+6),0,28:15,1,5,.200,1,2,.500,0,0,,3,1,4,4,0,0,1,2,3,3.3,+1,1.0
33,2016-01-08,25-122,CLE,@,MIN,W (+26),0,23:38,4,5,.800,2,3,.667,0,0,,0,0,0,2,0,0,0,1,10,9.1,+24,1.0
34,2016-01-10,25-124,CLE,@,PHI,W (+10),0,24:49,2,8,.250,0,2,.000,0,0,,0,4,4,2,2,0,2,2,4,1.0,-3,1.0
35,2016-01-12,25-126,CLE,@,DAL,W (+3),0,27:28,4,11,.364,4,7,.571,0,0,,2,0,2,5,1,0,0,4,12,10.2,+21,1.0
36,2016-01-14,25-128,CLE,@,SAS,L (-4),0,19:32,2,8,.250,1,4,.250,0,0,,1,1,2,3,0,0,2,3,5,0.1,-2,1.0
