G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-195,MIA,,CHO,W (+10),1,30:25,5,8,.625,3,3,1.000,0,0,,1,2,3,1,1,1,1,2,13,11.3,-4,3.0
2,2015-10-30,30-197,MIA,@,CLE,L (-10),1,29:12,4,8,.500,1,3,.333,1,2,.500,2,4,6,2,1,0,1,3,10,8.4,+6,3.0
3,2015-11-01,30-199,MIA,,HOU,W (+20),1,26:38,5,12,.417,1,4,.250,3,4,.750,3,3,6,1,0,0,1,1,14,9.5,-3,3.0
4,2015-11-03,30-201,MIA,,ATL,L (-6),1,25:04,2,9,.222,0,4,.000,0,0,,0,2,2,1,0,1,0,1,4,0.1,-5,3.0
5,2015-11-05,30-203,MIA,@,MIN,W (+12),1,28:21,4,12,.333,0,3,.000,2,3,.667,1,3,4,1,1,1,1,2,10,5.0,+17,3.0
6,2015-11-06,30-204,MIA,@,IND,L (-3),1,26:14,4,7,.571,1,2,.500,0,0,,1,1,2,0,0,0,2,1,9,4.3,-14,3.0
7,2015-11-08,30-206,MIA,,TOR,W (+20),1,28:31,2,7,.286,1,3,.333,1,2,.500,1,4,5,1,1,0,0,2,6,4.3,+2,3.0
8,2015-11-10,30-208,MIA,,LAL,W (+13),1,29:37,5,9,.556,3,6,.500,1,1,1.000,1,3,4,4,3,0,0,2,14,16.3,+13,3.0
9,2015-11-12,30-210,MIA,,UTA,W (+1),1,26:32,3,5,.600,0,1,.000,0,0,,0,3,3,1,2,0,2,2,6,4.5,-11,3.0
10,2015-11-17,30-215,MIA,,MIN,L (-12),1,33:27,8,14,.571,3,8,.375,1,3,.333,0,6,6,1,0,1,0,2,20,15.0,+11,3.0
11,2015-11-19,30-217,MIA,,SAC,W (+7),1,31:03,1,7,.143,0,4,.000,6,9,.667,2,2,4,1,2,2,0,1,8,8.0,-1,3.0
12,2015-11-21,30-219,MIA,,PHI,W (+5),1,25:10,4,7,.571,2,5,.400,1,2,.500,0,2,2,4,0,0,1,0,11,9.7,0,3.0
13,2015-11-23,30-221,MIA,,NYK,W (+17),1,31:08,4,9,.444,1,3,.333,0,0,,1,2,3,0,1,0,1,1,9,5.2,-3,3.0
14,2015-12-09,30-237,MIA,@,CHO,L (-18),0,24:28,1,6,.167,1,3,.333,2,2,1.000,0,6,6,1,0,0,1,0,5,2.7,-10,3.0
15,2015-12-11,30-239,MIA,@,IND,L (-13),1,34:00,3,9,.333,1,6,.167,0,0,,1,2,3,1,1,0,0,2,7,4.1,-23,3.0
16,2015-12-13,30-241,MIA,,MEM,W (+3),1,35:56,6,10,.600,1,3,.333,2,2,1.000,1,6,7,1,1,0,0,2,15,13.8,-1,3.0
17,2015-12-14,30-242,MIA,@,ATL,W (+12),1,35:54,7,12,.583,1,2,.500,3,3,1.000,1,8,9,4,2,0,1,2,18,18.5,+9,3.0
18,2015-12-16,30-244,MIA,@,BRK,W (+6),1,35:55,2,6,.333,0,2,.000,1,2,.500,1,5,6,3,1,0,3,0,5,3.5,0,3.0
19,2015-12-18,30-246,MIA,,TOR,L (-14),1,34:13,2,9,.222,2,5,.400,3,4,.750,1,2,3,2,1,0,0,2,9,6.0,-11,3.0
20,2015-12-20,30-248,MIA,,POR,W (+7),1,32:34,5,7,.714,5,6,.833,2,2,1.000,0,2,2,1,0,0,1,3,17,13.2,+5,3.0
21,2015-12-22,30-250,MIA,,DET,L (-1),1,33:29,3,8,.375,0,3,.000,3,4,.750,0,4,4,1,5,0,1,1,9,9.7,+9,3.0
22,2015-12-25,30-253,MIA,,NOP,W (+6),1,44:00,3,8,.375,3,5,.600,0,0,,0,5,5,1,2,0,1,1,9,7.4,+8,3.0
23,2015-12-26,30-254,MIA,@,ORL,W (+7),1,29:50,3,10,.300,1,4,.250,0,0,,2,5,7,0,0,0,2,1,7,1.7,-5,3.0
24,2015-12-28,30-256,MIA,,BRK,L (-6),1,29:28,6,13,.462,3,7,.429,0,0,,0,4,4,0,1,2,1,4,15,9.3,-8,3.0
25,2015-12-29,30-257,MIA,@,MEM,L (-9),1,33:42,2,8,.250,2,7,.286,0,0,,0,2,2,4,0,0,1,2,6,2.8,-5,3.0
26,2016-01-01,30-260,MIA,,DAL,W (+24),1,29:31,3,7,.429,1,3,.333,2,2,1.000,0,4,4,1,0,0,0,2,9,6.4,+13,3.0
27,2016-01-03,30-262,MIA,@,WAS,W (+22),1,26:34,4,5,.800,1,1,1.000,0,0,,1,8,9,2,0,0,1,1,9,10.2,+12,3.0
28,2016-01-04,30-263,MIA,,IND,W (+3),1,27:06,1,5,.200,1,4,.250,5,6,.833,0,3,3,0,0,0,0,0,8,5.4,-11,3.0
29,2016-01-06,30-265,MIA,,NYK,L (-8),1,31:47,3,9,.333,0,3,.000,3,3,1.000,2,2,4,0,0,0,0,4,9,4.3,-7,3.0
30,2016-01-08,30-267,MIA,@,PHO,W (+8),1,28:46,3,6,.500,0,1,.000,4,4,1.000,0,6,6,4,2,0,0,1,10,13.2,-1,3.0
31,2016-01-09,30-268,MIA,@,UTA,L (-15),1,32:42,2,6,.333,0,1,.000,1,1,1.000,2,1,3,3,0,1,1,1,5,4.7,-6,3.0
32,2016-01-11,30-270,MIA,@,GSW,L (-8),1,32:44,6,12,.500,2,3,.667,0,0,,2,8,10,2,0,0,2,1,14,10.8,-3,3.0
33,2016-01-13,30-272,MIA,@,LAC,L (-14),1,32:16,3,7,.429,1,3,.333,0,0,,3,4,7,2,1,1,1,2,7,7.9,-13,3.0
34,2016-01-15,30-274,MIA,@,DEN,W (+3),1,38:32,5,12,.417,0,1,.000,2,2,1.000,0,5,5,2,1,0,1,2,12,7.7,+10,3.0
35,2016-01-17,30-276,MIA,@,OKC,L (-25),1,31:03,0,5,.000,0,3,.000,2,2,1.000,0,3,3,1,2,1,2,1,2,0.4,-20,3.0
36,2016-01-19,30-278,MIA,,MIL,L (-12),1,34:14,4,10,.400,1,2,.500,2,2,1.000,1,3,4,2,0,0,1,1,11,7.2,-18,3.0
37,2016-01-20,30-279,MIA,@,WAS,L (-19),1,36:06,5,11,.455,3,3,1.000,3,4,.750,2,6,8,1,0,1,3,1,16,11.1,-26,3.0
38,2016-01-25,30-284,MIA,@,CHI,W (+5),1,31:13,4,10,.400,1,2,.500,0,0,,1,3,4,0,1,1,1,1,9,5.5,-6,3.0
39,2016-01-26,30-285,MIA,@,BRK,W (+4),1,30:37,4,10,.400,0,2,.000,2,2,1.000,1,1,2,4,2,1,1,1,10,9.7,+3,3.0
40,2016-01-29,30-288,MIA,@,MIL,W (+4),1,32:42,5,11,.455,2,4,.500,4,4,1.000,2,5,7,0,1,1,1,5,16,11.9,+1,3.0
41,2016-01-31,30-290,MIA,,ATL,W (+18),1,32:20,7,14,.500,2,5,.400,1,2,.500,2,2,4,3,2,0,1,1,17,14.3,+11,3.0
42,2016-02-02,30-292,MIA,@,HOU,L (-13),1,28:48,7,13,.538,2,4,.500,1,2,.500,2,6,8,3,1,0,3,2,17,12.8,-11,3.0
43,2016-02-03,30-293,MIA,@,DAL,W (+3),1,32:03,4,9,.444,1,2,.500,6,7,.857,2,3,5,1,0,1,1,2,15,11.8,0,3.0
