G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-283,MIN,@,LAL,W (+1),0,20:19,1,4,.250,0,0,,2,2,1.000,1,3,4,1,1,2,1,3,4,4.1,-13,5.0
2,2015-10-30,25-285,MIN,@,DEN,W (+17),0,13:16,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,1,1,2,-0.1,0,5.0
3,2015-11-02,25-288,MIN,,POR,L (-5),0,21:06,6,9,.667,0,0,,0,1,.000,1,4,5,1,0,0,0,2,12,9.5,0,5.0
4,2015-11-05,25-291,MIN,,MIA,L (-12),0,25:50,4,8,.500,0,0,,2,2,1.000,1,5,6,0,2,1,3,3,10,6.7,+9,5.0
5,2015-11-07,25-293,MIN,@,CHI,W (+9),0,22:45,3,6,.500,0,0,,0,0,,3,4,7,0,2,0,2,1,6,5.9,-10,5.0
6,2015-11-09,25-295,MIN,@,ATL,W (+10),0,16:11,3,5,.600,0,0,,0,0,,1,2,3,1,2,0,2,2,6,4.9,-1,5.0
7,2015-11-10,25-296,MIN,,CHO,L (-9),0,17:59,1,4,.250,0,0,,0,0,,2,4,6,0,0,0,2,2,2,-0.6,-20,5.0
8,2015-11-12,25-298,MIN,,GSW,L (-13),0,17:46,4,6,.667,0,0,,3,3,1.000,1,3,4,0,1,1,1,0,11,10.7,+11,5.0
9,2015-11-13,25-299,MIN,@,IND,L (-4),0,11:24,1,2,.500,0,0,,0,0,,2,5,7,0,1,0,1,2,2,3.1,-2,5.0
10,2015-11-15,25-301,MIN,,MEM,L (-8),0,16:26,2,3,.667,0,0,,4,4,1.000,1,4,5,0,0,0,2,1,8,6.2,-9,5.0
11,2015-11-17,25-303,MIN,@,MIA,W (+12),0,21:58,2,8,.250,0,0,,1,2,.500,2,4,6,1,2,0,1,4,5,2.5,-2,5.0
12,2015-11-18,25-304,MIN,@,ORL,L (-3),0,21:00,3,6,.500,0,0,,1,2,.500,1,6,7,1,2,5,1,3,7,10.1,-7,5.0
13,2015-11-20,25-306,MIN,,DET,L (-10),0,19:55,3,7,.429,0,0,,2,2,1.000,2,2,4,0,2,0,2,3,8,5.1,+4,5.0
14,2015-11-23,25-309,MIN,,PHI,W (+5),0,28:54,4,5,.800,0,0,,4,5,.800,2,3,5,0,1,2,1,3,12,12.2,-3,5.0
15,2015-11-25,25-311,MIN,,ATL,W (+4),0,25:30,3,7,.429,0,0,,4,4,1.000,3,8,11,3,2,3,2,3,10,13.8,+5,5.0
16,2015-11-27,25-313,MIN,@,SAC,W (+10),0,26:40,2,4,.500,0,0,,4,4,1.000,3,5,8,2,2,0,2,1,8,10.6,+14,5.0
17,2015-11-29,25-315,MIN,@,LAC,L (-8),0,24:32,5,7,.714,0,0,,4,4,1.000,2,8,10,2,1,1,1,3,14,15.8,-3,5.0
18,2015-12-01,25-317,MIN,,ORL,L (-3),0,29:00,4,6,.667,0,0,,3,3,1.000,2,5,7,1,1,3,2,2,11,12.3,+5,5.0
19,2015-12-05,25-321,MIN,,POR,L (-6),0,24:23,6,8,.750,0,0,,3,3,1.000,2,3,5,1,1,0,4,4,15,10.2,0,5.0
20,2015-12-07,25-323,MIN,,LAC,L (-4),0,30:14,5,10,.500,0,0,,4,4,1.000,1,4,5,2,0,0,2,5,14,8.3,+14,5.0
21,2015-12-09,25-325,MIN,,LAL,W (+1),0,30:25,0,3,.000,0,0,,5,6,.833,1,6,7,1,1,0,1,2,5,4.9,-9,5.0
22,2015-12-11,25-327,MIN,@,DEN,L (-3),0,22:57,2,4,.500,0,0,,4,4,1.000,0,6,6,1,2,3,2,3,8,9.4,+2,5.0
23,2015-12-13,25-329,MIN,@,PHO,L (-7),0,28:49,4,7,.571,0,0,,2,3,.667,0,5,5,1,0,2,5,5,10,2.9,-1,5.0
24,2015-12-15,25-331,MIN,,DEN,L (-12),0,23:03,2,4,.500,0,0,,0,0,,2,7,9,1,2,1,1,4,4,6.3,-1,5.0
25,2015-12-16,25-332,MIN,@,NYK,L (-5),1,36:14,6,9,.667,0,0,,2,2,1.000,3,7,10,3,1,1,1,4,14,15.5,+13,5.0
26,2015-12-18,25-334,MIN,,SAC,W (+4),0,28:52,2,4,.500,0,0,,0,0,,2,9,11,5,0,1,1,1,4,8.9,-6,5.0
27,2015-12-20,25-336,MIN,@,BRK,W (+15),0,36:18,9,12,.750,0,0,,2,2,1.000,0,10,10,3,1,1,1,4,20,19.4,+9,5.0
28,2015-12-21,25-337,MIN,@,BOS,L (-14),1,29:38,6,12,.500,0,0,,0,2,.000,1,4,5,3,1,2,2,3,12,8.4,-22,5.0
29,2015-12-23,25-339,MIN,,SAS,L (-25),0,28:45,5,9,.556,0,0,,2,2,1.000,1,5,6,2,0,1,3,4,12,7.4,-13,5.0
30,2015-12-26,25-342,MIN,,IND,L (-14),0,34:31,2,8,.250,0,0,,3,4,.750,2,5,7,2,1,0,6,2,7,0.3,-9,5.0
31,2015-12-28,25-344,MIN,@,SAS,L (-6),0,22:46,3,9,.333,0,0,,2,4,.500,3,2,5,2,3,0,5,5,8,2.2,-17,5.0
32,2015-12-30,25-346,MIN,,UTA,W (+14),0,25:36,4,7,.571,1,1,1.000,3,5,.600,1,8,9,1,2,0,1,0,12,12.7,+9,5.0
