G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-03,22-211,DET,,IND,L (-12),0,7:04,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,2,3,2,-2.0,0,1.0
2,2015-11-15,22-223,DET,@,LAL,L (-12),0,23:43,6,9,.667,1,3,.333,4,5,.800,0,2,2,4,0,0,1,4,17,13.5,+1,1.0
3,2015-11-17,22-225,DET,,CLE,W (+5),0,13:33,1,6,.167,0,1,.000,1,2,.500,0,1,1,1,1,0,1,2,3,-1.0,-10,1.0
4,2015-11-20,22-228,DET,@,MIN,W (+10),0,20:29,2,6,.333,0,2,.000,2,3,.667,0,1,1,2,1,0,0,2,6,4.1,-5,1.0
5,2015-11-21,22-229,DET,,WAS,L (-2),0,16:26,2,7,.286,0,0,,2,3,.667,0,1,1,2,0,0,0,3,6,2.0,-20,1.0
6,2015-11-23,22-231,DET,@,MIL,L (-21),0,17:29,1,4,.250,0,1,.000,2,4,.500,0,2,2,3,0,0,1,2,4,1.7,-13,1.0
7,2015-12-06,22-244,DET,,LAL,W (+20),0,4:43,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0,1.0
8,2015-12-07,22-245,DET,@,CHO,L (-20),0,3:55,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2,1.0
9,2015-12-12,22-250,DET,,IND,W (+22),0,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,1.0
10,2016-04-05,22-365,DET,@,MIA,L (-18),0,3:55,0,2,.000,0,0,,0,0,,1,0,1,1,1,0,2,1,0,-1.4,-1,1.0
11,2016-04-12,23-006,DET,,MIA,L (-6),0,15:34,2,5,.400,0,1,.000,2,4,.500,1,1,2,3,0,0,0,3,6,4.4,-8,1.0
12,2016-04-13,23-007,DET,@,CLE,W (+2),0,29:00,3,12,.250,0,2,.000,6,10,.600,2,3,5,5,0,0,0,0,12,9.0,+1,1.0
