G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,22-078,DET,@,ATL,W (+12),1,37:09,6,16,.375,0,0,,6,10,.600,8,11,19,3,1,2,2,4,18,17.4,+23,5.0
2,2015-10-28,22-079,DET,,UTA,W (+5),1,36:07,5,11,.455,0,0,,8,11,.727,2,8,10,0,1,2,0,2,18,16.5,+14,5.0
3,2015-10-30,22-081,DET,,CHI,W (+4),1,39:05,8,19,.421,0,0,,4,10,.400,9,11,20,0,2,2,3,3,20,16.3,+12,5.0
4,2015-11-03,22-085,DET,,IND,L (-12),1,43:13,12,17,.706,0,0,,1,2,.500,11,18,29,0,3,1,4,3,25,29.1,+8,5.0
5,2015-11-06,22-088,DET,@,PHO,W (+8),1,36:09,5,9,.556,0,0,,2,13,.154,4,13,17,0,2,1,3,4,12,8.1,+1,5.0
6,2015-11-08,22-090,DET,@,POR,W (+17),1,35:52,14,19,.737,0,0,,1,6,.167,9,18,27,0,2,3,1,3,29,32.9,+14,5.0
7,2015-11-09,22-091,DET,@,GSW,L (-14),1,34:53,7,16,.438,0,0,,0,2,.000,5,10,15,3,2,2,4,4,14,11.2,-5,5.0
8,2015-11-11,22-093,DET,@,SAC,L (-9),1,34:37,7,13,.538,0,0,,0,2,.000,9,8,17,0,2,0,5,5,14,10.6,-15,5.0
9,2015-11-14,22-096,DET,@,LAC,L (-5),1,33:49,6,13,.462,0,0,,6,14,.429,4,15,19,2,1,1,2,3,18,15.3,-10,5.0
10,2015-11-15,22-097,DET,@,LAL,L (-12),1,40:42,8,18,.444,0,0,,1,2,.500,4,13,17,3,1,0,2,5,17,13.0,-5,5.0
11,2015-11-17,22-099,DET,,CLE,W (+5),1,39:14,10,15,.667,0,0,,5,9,.556,5,13,18,0,3,1,3,1,25,24.6,+17,5.0
12,2015-11-20,22-102,DET,@,MIN,W (+10),1,29:03,10,13,.769,0,0,,1,2,.500,2,9,11,0,2,1,4,5,21,16.3,+9,5.0
13,2015-11-21,22-103,DET,,WAS,L (-2),1,37:06,3,6,.500,0,0,,2,4,.500,0,13,13,1,1,2,2,4,8,7.6,+8,5.0
14,2015-11-23,22-105,DET,@,MIL,L (-21),1,24:11,6,14,.429,0,0,,3,4,.750,9,6,15,0,1,1,0,2,15,16.2,-18,5.0
15,2015-11-25,22-107,DET,,MIA,W (+23),1,32:41,9,18,.500,0,0,,0,1,.000,8,12,20,0,2,5,1,0,18,22.3,+14,5.0
16,2015-11-27,22-109,DET,@,OKC,L (-16),1,32:26,7,16,.438,0,0,,1,2,.500,3,4,7,2,1,0,2,4,15,8.3,-5,5.0
17,2015-11-29,22-111,DET,@,BRK,L (-4),1,36:44,9,19,.474,0,0,,2,11,.182,10,8,18,0,3,1,3,1,20,16.4,+3,5.0
18,2015-11-30,22-112,DET,,HOU,W (+11),1,27:14,10,15,.667,0,0,,4,18,.222,4,9,13,2,3,3,1,3,24,21.7,+13,5.0
19,2015-12-02,22-114,DET,,PHO,W (+5),1,42:07,8,16,.500,0,1,.000,6,17,.353,3,9,12,0,2,1,2,3,22,13.9,+6,5.0
20,2015-12-04,22-116,DET,,MIL,W (+7),1,35:52,7,18,.389,0,0,,3,10,.300,4,19,23,1,3,2,2,2,17,15.2,-2,5.0
21,2015-12-06,22-118,DET,,LAL,W (+20),1,24:11,8,12,.667,0,0,,2,5,.400,5,10,15,0,1,0,0,3,18,17.9,+19,5.0
22,2015-12-07,22-119,DET,@,CHO,L (-20),1,23:34,4,7,.571,0,0,,1,4,.250,2,7,9,1,3,0,1,5,9,8.7,-11,5.0
23,2015-12-09,22-121,DET,,MEM,L (-1),1,36:30,8,15,.533,0,0,,2,5,.400,7,12,19,2,3,2,6,2,18,17.0,+4,5.0
24,2015-12-11,22-123,DET,@,PHI,W (+12),1,32:52,8,17,.471,0,0,,2,6,.333,11,5,16,0,2,4,1,3,18,19.5,+27,5.0
25,2015-12-12,22-124,DET,,IND,W (+22),1,28:17,4,11,.364,0,0,,0,2,.000,3,8,11,1,1,2,2,3,8,5.5,+20,5.0
26,2015-12-14,22-126,DET,,LAC,L (-2),1,40:20,8,17,.471,0,0,,4,8,.500,4,11,15,1,3,0,5,3,20,13.3,-9,5.0
27,2015-12-16,22-128,DET,,BOS,W (+3),1,34:33,6,10,.600,1,1,1.000,3,10,.300,4,8,12,1,2,0,2,3,16,13.3,+1,5.0
28,2015-12-18,22-130,DET,@,CHI,W (+3),1,54:12,14,25,.560,0,0,,5,10,.500,10,11,21,3,3,2,2,6,33,31.5,-3,5.0
29,2015-12-22,22-134,DET,@,MIA,W (+1),1,34:16,4,12,.333,0,0,,3,6,.500,4,8,12,1,0,2,1,3,11,8.1,+2,5.0
30,2015-12-23,22-135,DET,@,ATL,L (-7),1,36:04,9,13,.692,0,0,,7,18,.389,3,9,12,2,1,3,2,5,25,20.4,+1,5.0
31,2015-12-26,22-138,DET,,BOS,L (-6),1,35:55,9,21,.429,0,0,,4,10,.400,7,15,22,1,2,2,2,1,22,19.6,-11,5.0
32,2015-12-29,22-141,DET,@,NYK,L (-12),1,36:04,5,15,.333,0,0,,3,7,.429,5,4,9,0,1,1,2,3,13,6.1,-7,5.0
33,2015-12-31,22-143,DET,,MIN,W (+25),1,30:44,11,14,.786,0,0,,1,7,.143,7,11,18,1,0,0,4,1,23,19.7,+16,5.0
34,2016-01-02,22-145,DET,@,IND,L (-12),1,35:51,5,12,.417,0,0,,1,8,.125,7,11,18,0,1,2,1,3,11,10.2,-18,5.0
35,2016-01-04,22-147,DET,,ORL,W (+26),1,28:34,8,14,.571,0,0,,1,4,.250,6,6,12,0,1,1,1,0,17,15.9,+9,5.0
36,2016-01-06,22-149,DET,@,BOS,W (+5),1,21:29,6,8,.750,0,0,,1,5,.200,1,4,5,0,2,2,1,4,13,10.9,-11,5.0
37,2016-01-09,22-152,DET,,BRK,W (+14),1,33:05,11,15,.733,0,0,,1,3,.333,2,9,11,0,3,2,1,3,23,22.4,+7,5.0
38,2016-01-12,22-155,DET,,SAS,L (-10),1,27:55,8,13,.615,0,0,,1,6,.167,4,6,10,0,2,1,1,4,17,13.8,-1,5.0
39,2016-01-14,22-157,DET,@,MEM,L (-2),1,33:45,5,11,.455,0,0,,1,4,.250,3,8,11,1,0,2,2,5,11,6.7,+19,5.0
40,2016-01-16,22-159,DET,,GSW,W (+18),1,38:32,6,20,.300,0,0,,2,6,.333,7,14,21,0,1,3,4,5,14,7.0,+3,5.0
41,2016-01-18,22-161,DET,,CHI,L (-10),1,33:47,5,9,.556,0,0,,3,10,.300,6,10,16,2,1,1,2,5,13,12.2,+6,5.0
42,2016-01-20,22-163,DET,@,HOU,W (+9),1,23:13,2,4,.500,0,0,,13,36,.361,5,6,11,2,1,1,2,2,17,11.4,+10,5.0
43,2016-01-21,22-164,DET,@,NOP,L (-16),1,35:42,8,17,.471,0,1,.000,3,5,.600,9,13,22,1,4,0,2,2,19,21.6,-8,5.0
44,2016-01-23,22-166,DET,@,DEN,L (-3),1,18:26,2,5,.400,0,0,,0,4,.000,2,6,8,1,0,1,1,2,4,2.5,-1,5.0
45,2016-01-25,22-168,DET,@,UTA,W (+3),1,29:20,3,9,.333,0,0,,1,10,.100,0,6,6,0,2,0,2,3,7,-1.1,+6,5.0
46,2016-01-27,22-170,DET,,PHI,W (+13),1,35:22,9,16,.563,0,0,,7,12,.583,9,9,18,0,2,1,2,1,25,24.7,+2,5.0
47,2016-01-29,22-172,DET,,CLE,L (-8),1,34:56,9,14,.643,0,0,,2,8,.250,1,7,8,0,1,3,0,4,20,15.7,-22,5.0
48,2016-01-30,22-173,DET,@,TOR,L (-4),1,27:43,5,9,.556,0,0,,1,9,.111,3,9,12,1,0,2,1,6,11,7.0,-18,5.0
49,2016-02-01,22-175,DET,@,BRK,W (+5),1,37:23,10,15,.667,0,0,,1,3,.333,7,11,18,1,1,1,2,3,21,21.1,+11,5.0
50,2016-02-03,22-177,DET,@,BOS,L (-7),1,32:47,6,11,.545,0,0,,4,6,.667,1,12,13,0,0,2,1,2,16,13.8,-5,5.0
51,2016-02-04,22-178,DET,,NYK,W (+6),1,31:38,7,12,.583,0,0,,3,9,.333,3,10,13,0,1,1,4,4,17,10.2,-5,5.0
52,2016-02-06,22-180,DET,@,IND,L (-8),1,36:54,4,7,.571,0,0,,2,8,.250,3,10,13,1,1,2,6,3,10,5.3,-6,5.0
53,2016-02-08,22-182,DET,,TOR,L (-14),1,30:12,4,10,.400,1,1,1.000,3,8,.375,3,10,13,2,1,0,2,3,12,8.9,-3,5.0
54,2016-02-10,22-184,DET,,DEN,L (-11),1,39:27,7,22,.318,0,1,.000,1,1,1.000,5,12,17,2,3,5,1,3,15,15.2,-8,5.0
55,2016-02-19,22-193,DET,@,WAS,L (-12),1,33:50,4,10,.400,0,1,.000,3,6,.500,0,13,13,1,2,1,1,3,11,9.5,-24,5.0
56,2016-02-21,22-195,DET,,NOP,L (-5),1,35:21,9,13,.692,0,0,,3,10,.300,7,7,14,1,2,3,0,4,21,22.9,-7,5.0
57,2016-02-22,22-196,DET,@,CLE,W (+8),1,35:26,4,8,.500,0,0,,8,14,.571,3,12,15,1,2,1,2,4,16,15.1,+7,5.0
58,2016-02-24,22-198,DET,,PHI,W (+20),1,26:41,4,7,.571,0,0,,4,8,.500,4,14,18,0,0,1,2,3,12,11.6,+16,5.0
59,2016-02-27,22-201,DET,@,MIL,W (+11),1,34:11,7,17,.412,0,0,,1,6,.167,7,10,17,2,4,2,1,3,15,16.4,+6,5.0
60,2016-02-28,22-202,DET,,TOR,W (+13),1,30:14,6,10,.600,0,0,,3,8,.375,4,14,18,2,1,0,0,1,15,17.4,+19,5.0
61,2016-03-02,22-205,DET,@,SAS,L (-16),1,26:41,4,6,.667,0,0,,1,8,.125,4,10,14,1,1,1,3,4,9,7.2,-12,5.0
62,2016-03-05,22-208,DET,@,NYK,L (-13),1,36:04,10,20,.500,0,0,,1,3,.333,9,7,16,0,1,0,2,3,21,16.4,-10,5.0
63,2016-03-06,22-209,DET,,POR,W (+20),1,26:38,7,11,.636,0,0,,0,2,.000,4,14,18,1,1,1,1,4,14,15.1,+14,5.0
64,2016-03-09,22-212,DET,@,DAL,W (+6),1,33:56,10,19,.526,0,0,,5,14,.357,6,11,17,1,1,1,3,3,25,17.8,0,5.0
65,2016-03-11,22-214,DET,@,CHO,L (-15),1,23:21,1,1,1.000,0,0,,3,6,.500,2,7,9,0,0,1,2,4,5,4.1,-11,5.0
66,2016-03-12,22-215,DET,@,PHI,W (+14),1,34:46,8,12,.667,0,0,,3,4,.750,3,12,15,1,1,0,2,4,19,17.2,+7,5.0
67,2016-03-14,22-217,DET,@,WAS,L (-43),1,26:38,3,9,.333,0,0,,1,2,.500,5,7,12,2,1,0,3,4,7,4.9,-28,5.0
