G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,30-112,WAS,@,MIL,W (+5),0,25:22,2,3,.667,1,1,1.000,1,2,.500,0,6,6,2,1,1,1,3,6,7.0,+15,3.0
2,2015-10-31,30-113,WAS,,NYK,L (-7),0,17:49,0,2,.000,0,2,.000,0,0,,0,3,3,1,1,0,1,3,0,-1.0,-2,3.0
3,2015-11-04,30-117,WAS,,SAS,W (+3),0,17:12,2,3,.667,0,1,.000,0,0,,0,2,2,1,1,0,1,1,4,3.6,+14,3.0
4,2015-11-06,30-119,WAS,@,BOS,L (-20),0,27:08,3,7,.429,1,4,.250,1,2,.500,1,6,7,1,1,0,2,0,8,6.1,-23,3.0
5,2015-11-07,30-120,WAS,@,ATL,L (-15),0,20:14,2,5,.400,0,2,.000,0,0,,0,1,1,0,0,1,1,0,4,1.3,+4,3.0
6,2015-11-10,30-123,WAS,,OKC,L (-24),0,17:22,1,5,.200,1,3,.333,0,0,,1,2,3,0,1,0,0,0,3,2.2,+3,3.0
7,2015-11-14,30-127,WAS,,ORL,W (+9),0,19:55,1,2,.500,1,2,.500,2,2,1.000,0,5,5,1,0,0,0,1,5,5.8,0,3.0
8,2015-11-17,30-130,WAS,,MIL,W (+29),0,22:42,4,6,.667,3,4,.750,2,2,1.000,1,6,7,2,0,1,0,0,13,15.0,+34,3.0
9,2015-11-21,30-134,WAS,@,DET,W (+2),0,27:08,3,4,.750,2,2,1.000,1,1,1.000,1,0,1,0,1,0,1,2,9,7.3,+15,3.0
10,2015-11-24,30-137,WAS,,IND,L (-17),0,27:24,2,4,.500,1,3,.333,0,0,,0,2,2,2,0,0,1,2,5,3.2,+2,3.0
11,2015-11-25,30-138,WAS,@,CHO,L (-14),0,24:22,1,5,.200,1,2,.500,4,4,1.000,0,3,3,1,1,0,0,2,7,5.7,-7,3.0
12,2015-11-27,30-140,WAS,@,BOS,L (-33),0,30:16,5,9,.556,3,4,.750,6,7,.857,1,4,5,1,0,2,4,2,19,13.5,-24,3.0
13,2015-11-28,30-141,WAS,,TOR,L (-2),1,30:00,3,7,.429,1,3,.333,0,0,,1,3,4,2,0,0,1,2,7,4.5,+7,3.0
14,2015-12-01,30-144,WAS,@,CLE,W (+12),1,31:38,5,7,.714,2,4,.500,0,0,,0,2,2,3,0,0,2,2,12,9.0,+9,3.0
15,2015-12-02,30-145,WAS,,LAL,L (-4),1,31:41,3,5,.600,2,4,.500,0,0,,0,3,3,1,1,0,2,3,8,5.1,-11,3.0
16,2015-12-04,30-147,WAS,,PHO,W (+3),1,23:04,0,7,.000,0,3,.000,3,4,.750,0,1,1,1,2,0,1,2,3,-1.1,-4,3.0
17,2015-12-06,30-149,WAS,,DAL,L (-12),1,33:49,2,7,.286,1,3,.333,1,1,1.000,1,2,3,3,1,0,1,3,6,4.1,-3,3.0
18,2015-12-07,30-150,WAS,@,MIA,W (+11),1,34:41,4,9,.444,2,4,.500,2,3,.667,2,2,4,1,1,0,1,3,12,8.4,+6,3.0
19,2015-12-09,30-152,WAS,,HOU,L (-6),1,24:11,3,5,.600,2,3,.667,2,2,1.000,0,2,2,1,2,0,0,3,10,9.8,+2,3.0
20,2015-12-11,30-154,WAS,@,NOP,L (-2),1,37:56,3,7,.429,2,4,.500,0,0,,0,3,3,3,4,0,1,4,8,8.7,-10,3.0
21,2015-12-12,30-155,WAS,@,DAL,W (+3),1,33:15,5,11,.455,3,5,.600,0,0,,2,5,7,2,0,0,1,5,13,8.6,-10,3.0
22,2015-12-14,30-157,WAS,@,MEM,L (-17),1,27:24,6,10,.600,2,3,.667,0,2,.000,2,4,6,1,1,0,1,1,14,11.5,-17,3.0
23,2015-12-16,30-159,WAS,@,SAS,L (-19),0,19:12,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-8,3.0
24,2015-12-19,30-162,WAS,,CHO,W (+8),1,41:27,7,10,.700,3,5,.600,2,2,1.000,0,9,9,4,2,0,0,3,19,21.1,+4,3.0
25,2015-12-21,30-164,WAS,,SAC,W (+14),1,41:28,5,8,.625,3,5,.600,0,0,,0,4,4,3,1,0,2,2,13,10.9,+17,3.0
26,2015-12-23,30-166,WAS,,MEM,W (+9),1,30:59,5,7,.714,1,2,.500,0,0,,2,4,6,3,1,0,1,4,11,11.2,+11,3.0
27,2015-12-26,30-169,WAS,@,BRK,W (+15),1,28:38,1,4,.250,1,2,.500,0,0,,2,1,3,3,1,0,0,4,3,3.8,+16,3.0
28,2015-12-28,30-171,WAS,,LAC,L (-17),1,13:15,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,-23,3.0
29,2015-12-30,30-173,WAS,@,TOR,L (-3),1,36:16,6,10,.600,3,6,.500,2,3,.667,1,2,3,3,3,0,1,4,17,15.8,-2,3.0
30,2016-01-01,30-175,WAS,,ORL,W (+12),1,32:40,3,11,.273,1,5,.200,0,0,,1,3,4,0,2,0,0,0,7,4.1,+12,3.0
31,2016-01-03,30-177,WAS,,MIA,L (-22),1,27:52,2,6,.333,0,3,.000,0,0,,0,4,4,1,0,0,0,1,4,2.1,-9,3.0
32,2016-01-06,30-180,WAS,,CLE,L (-6),1,34:41,3,7,.429,2,4,.500,4,5,.800,1,4,5,4,1,0,1,3,12,11.4,-5,3.0
33,2016-01-08,30-182,WAS,,TOR,L (-9),1,29:15,1,4,.250,1,3,.333,2,2,1.000,0,4,4,4,2,0,2,2,5,5.8,-4,3.0
34,2016-01-09,30-183,WAS,@,ORL,W (+6),1,38:01,6,11,.545,4,6,.667,0,0,,1,2,3,4,0,0,0,5,16,12.8,+1,3.0
35,2016-01-11,30-185,WAS,@,CHI,W (+14),1,29:50,3,5,.600,2,3,.667,0,0,,1,1,2,4,0,0,2,4,8,5.9,+3,3.0
36,2016-01-13,30-187,WAS,,MIL,W (+5),1,32:04,5,10,.500,3,6,.500,0,0,,3,3,6,0,3,0,0,4,13,12.4,-3,3.0
37,2016-01-15,30-189,WAS,@,IND,W (+14),1,30:04,1,3,.333,1,2,.500,0,0,,1,6,7,1,0,0,0,2,3,3.7,+14,3.0
38,2016-01-16,30-190,WAS,,BOS,L (-2),1,41:26,6,12,.500,2,6,.333,1,2,.500,4,3,7,4,1,0,3,6,15,10.7,-3,3.0
39,2016-01-18,30-192,WAS,,POR,L (-10),1,36:58,4,8,.500,2,4,.500,0,2,.000,0,1,1,4,1,0,0,3,10,8.1,-2,3.0
40,2016-01-20,30-194,WAS,,MIA,W (+19),0,25:30,5,9,.556,0,1,.000,0,0,,0,1,1,4,2,0,0,2,10,10.0,+22,3.0
41,2016-01-25,30-199,WAS,,BOS,L (-25),0,31:28,5,7,.714,2,3,.667,3,4,.750,0,2,2,1,1,0,3,1,15,10.6,-24,3.0
42,2016-01-26,30-200,WAS,@,TOR,L (-17),0,19:56,2,6,.333,0,0,,0,0,,1,3,4,0,0,0,2,1,4,-0.2,-14,3.0
43,2016-01-28,30-202,WAS,,DEN,L (-4),0,25:46,4,8,.500,1,3,.333,3,4,.750,1,3,4,4,4,0,2,5,12,12.0,+1,3.0
44,2016-01-30,30-204,WAS,@,HOU,W (+1),1,36:55,5,8,.625,2,5,.400,4,5,.800,0,5,5,4,1,0,1,4,16,14.7,+2,3.0
45,2016-02-01,30-206,WAS,@,OKC,L (-16),1,30:52,2,6,.333,1,3,.333,3,3,1.000,1,3,4,6,1,0,1,1,8,10.0,-12,3.0
46,2016-02-03,30-208,WAS,,GSW,L (-13),1,17:55,1,4,.250,1,2,.500,2,2,1.000,0,3,3,4,1,0,0,3,5,6.1,-11,3.0
