G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-12-26,24-057,WAS,@,BRK,W (+15),0,14:27,4,7,.571,4,5,.800,0,0,,1,3,4,1,0,0,0,0,12,11.0,+7,3.0
2,2015-12-28,24-059,WAS,,LAC,L (-17),0,18:18,2,7,.286,2,7,.286,2,2,1.000,0,2,2,1,2,1,0,1,8,7.5,-6,3.0
3,2015-12-30,24-061,WAS,@,TOR,L (-3),0,5:36,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-1.6,-3,3.0
4,2016-01-03,24-065,WAS,,MIA,L (-22),0,12:17,1,6,.167,1,5,.200,0,0,,0,2,2,0,0,0,0,0,3,-0.2,0,3.0
5,2016-01-06,24-068,WAS,,CLE,L (-6),0,7:48,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,0,5,5.0,-3,3.0
6,2016-01-11,24-073,WAS,@,CHI,W (+14),0,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,3.0
7,2016-01-15,24-077,WAS,@,IND,W (+14),0,2:40,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-6,3.0
8,2016-01-18,24-080,WAS,,POR,L (-10),0,2:17,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+7,3.0
9,2016-01-20,24-082,WAS,,MIA,W (+19),0,2:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-2,3.0
10,2016-01-25,24-087,WAS,,BOS,L (-25),0,5:18,2,5,.400,2,4,.500,0,0,,0,1,1,0,0,0,0,0,6,3.6,-3,3.0
11,2016-01-26,24-088,WAS,@,TOR,L (-17),0,3:05,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,-2,3.0
12,2016-02-01,24-094,WAS,@,OKC,L (-16),0,1:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,3.0
13,2016-02-03,24-096,WAS,,GSW,L (-13),0,0:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2,3.0
14,2016-02-05,24-098,WAS,,PHI,W (+12),0,1:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,3.0
15,2016-02-18,24-111,WAS,,UTA,W (+14),0,1:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
16,2016-02-19,24-112,WAS,,DET,W (+12),0,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,3.0
17,2016-02-20,24-113,WAS,@,MIA,L (-20),0,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,3.0
18,2016-02-23,24-116,WAS,,NOP,W (+20),0,2:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1,3.0
19,2016-03-04,24-126,WAS,@,CLE,L (-25),0,5:50,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+2,3.0
20,2016-03-11,24-133,WAS,@,UTA,L (-21),0,2:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,3.0
21,2016-03-12,24-134,WAS,@,DEN,L (-16),0,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
22,2016-03-27,24-149,WAS,@,LAL,W (+13),0,1:07,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3,3.0
23,2016-04-06,24-159,WAS,,BRK,W (+18),0,5:21,0,3,.000,0,3,.000,2,2,1.000,0,0,0,1,1,0,0,0,2,1.6,-9,3.0
24,2016-04-10,24-163,WAS,,CHO,W (+15),0,0:51,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1,3.0
25,2016-04-11,24-164,WAS,@,BRK,W (+9),0,20:43,3,13,.231,1,6,.167,0,0,,0,4,4,1,1,0,0,0,7,2.0,+4,3.0
26,2016-04-13,24-166,WAS,,ATL,W (+11),0,20:34,2,5,.400,1,3,.333,2,2,1.000,1,4,5,1,1,0,0,1,7,7.5,-3,3.0
