G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-04,21-072,MIL,,PHI,W (+4),0,8:26,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,1,2,2,0.5,-7,1.0
2,2015-11-06,21-074,MIL,@,NYK,W (+7),1,17:27,1,4,.250,0,0,,2,2,1.000,1,3,4,3,0,0,1,3,4,3.1,-1,1.0
3,2015-11-07,21-075,MIL,,BRK,W (+8),1,16:22,4,9,.444,1,1,1.000,0,0,,1,0,1,1,1,0,1,2,9,4.9,-1,1.0
4,2015-11-10,21-078,MIL,,BOS,L (-16),1,23:40,2,4,.500,0,0,,0,0,,0,0,0,2,1,0,1,1,4,3.0,+2,1.0
5,2015-11-11,21-079,MIL,@,DEN,L (-1),1,15:10,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,2,1,7,3.0,-6,1.0
6,2015-11-17,21-085,MIL,@,WAS,L (-29),0,6:33,0,1,.000,0,0,,3,4,.750,0,2,2,2,0,0,1,0,3,2.9,-5,1.0
7,2015-11-29,21-097,MIL,@,CHO,L (-5),0,3:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,1.0
8,2015-11-30,21-098,MIL,,DEN,W (+18),0,3:33,0,1,.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,1,1.9,-4,1.0
9,2015-12-02,21-100,MIL,@,SAS,L (-25),1,23:53,2,8,.250,0,3,.000,0,0,,0,3,3,1,0,1,2,2,4,-1.3,-12,1.0
10,2015-12-15,21-113,MIL,@,LAL,L (-18),0,3:44,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,2,2.6,-1,1.0
11,2015-12-16,21-114,MIL,@,LAC,L (-13),0,8:46,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,+1,1.0
12,2015-12-20,21-118,MIL,@,PHO,W (+6),0,5:15,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,1,0,3,1.6,-8,1.0
13,2015-12-23,21-121,MIL,,PHI,W (+13),0,7:52,4,6,.667,2,3,.667,0,0,,0,0,0,1,0,0,1,1,10,6.7,-4,1.0
14,2015-12-26,21-124,MIL,,TOR,L (-21),0,7:33,3,4,.750,0,0,,0,0,,0,1,1,1,1,0,0,1,6,6.0,-1,1.0
15,2016-01-04,21-133,MIL,,SAS,L (-25),0,5:06,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0.3,-3,1.0
16,2016-01-10,21-139,MIL,@,NYK,L (-12),0,16:18,0,5,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,-2.5,+5,1.0
17,2016-01-15,21-144,MIL,,ATL,W (+7),0,5:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+1,1.0
18,2016-01-16,21-145,MIL,@,CHO,W (+13),0,2:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4,1.0
19,2016-01-19,21-148,MIL,@,MIA,W (+12),0,1:46,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-3,1.0
20,2016-01-23,21-152,MIL,@,NOP,L (-17),0,2:46,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,-2,1.0
21,2016-01-28,21-157,MIL,@,MEM,L (-20),0,5:28,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,2.2,+5,1.0
22,2016-01-29,21-158,MIL,,MIA,L (-4),0,5:43,0,0,,0,0,,0,0,,0,2,2,1,0,0,2,2,0,-1.5,0,1.0
23,2016-02-02,21-162,MIL,@,POR,L (-12),0,2:46,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,0,0,2.0,+3,1.0
24,2016-02-05,21-165,MIL,@,UTA,L (-3),0,7:42,0,0,,0,0,,0,0,,0,1,1,1,2,0,0,0,0,3.0,+7,1.0
25,2016-02-25,21-185,MIL,@,BOS,L (-5),0,4:51,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,1,2,1.3,+2,1.0
26,2016-02-27,21-187,MIL,,DET,L (-11),0,2:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+3,1.0
27,2016-03-04,21-193,MIL,,MIN,W (+15),0,7:14,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-6,1.0
28,2016-03-06,21-195,MIL,,OKC,L (-8),0,7:05,1,5,.200,0,1,.000,1,2,.500,0,0,0,2,2,0,0,0,3,2.9,-2,1.0
29,2016-03-09,21-198,MIL,,MIA,W (+6),0,25:56,3,7,.429,1,1,1.000,1,2,.500,0,0,0,5,0,0,1,2,8,5.6,+6,1.0
30,2016-03-12,21-201,MIL,,NOP,W (+11),0,8:22,4,6,.667,1,2,.500,1,1,1.000,0,2,2,1,0,0,2,0,10,6.7,-4,1.0
31,2016-03-13,21-202,MIL,@,BRK,W (+9),0,14:31,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,0.9,-2,1.0
32,2016-03-15,21-204,MIL,,TOR,L (-18),0,28:21,4,8,.500,0,2,.000,2,3,.667,1,3,4,3,0,0,1,2,10,7.5,-13,1.0
33,2016-03-17,21-206,MIL,,MEM,W (+10),0,23:20,6,10,.600,0,0,,1,1,1.000,1,4,5,3,1,0,0,2,13,12.6,+11,1.0
34,2016-03-20,21-209,MIL,,UTA,L (-9),0,19:47,2,4,.500,1,1,1.000,0,0,,0,2,2,6,2,0,2,2,5,7.0,+6,1.0
35,2016-03-21,21-210,MIL,@,DET,L (-1),0,11:07,2,5,.400,0,0,,0,0,,0,1,1,1,1,0,1,2,4,1.5,-4,1.0
36,2016-03-23,21-212,MIL,@,CLE,L (-9),0,14:59,2,6,.333,1,1,1.000,0,0,,0,2,2,0,0,0,1,2,5,0.4,-3,1.0
37,2016-03-25,21-214,MIL,@,ATL,L (-11),0,13:24,3,7,.429,0,1,.000,1,2,.500,2,0,2,2,0,0,1,4,7,3.1,-6,1.0
38,2016-03-26,21-215,MIL,,CHO,L (-24),0,28:29,4,10,.400,1,4,.250,0,0,,0,4,4,12,1,0,2,0,9,12.2,-2,1.0
39,2016-03-30,21-219,MIL,,PHO,W (+11),0,22:43,4,7,.571,0,2,.000,2,2,1.000,3,1,4,0,0,0,1,2,10,7.3,-1,1.0
