G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-004,DAL,@,PHO,W (+16),0,25:44,3,4,.750,1,1,1.000,0,0,,1,5,6,0,1,1,0,1,7,8.9,+5,3.0
2,2015-10-29,28-005,DAL,@,LAC,L (-16),1,24:02,0,1,.000,0,1,.000,2,2,1.000,1,3,4,0,0,0,1,1,2,1.5,-16,3.0
3,2015-11-01,28-008,DAL,@,LAL,W (+10),0,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,3.0
4,2015-11-05,28-012,DAL,,CHO,L (-14),0,9:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3,3.0
5,2015-11-07,28-014,DAL,,NOP,W (+9),0,13:04,1,1,1.000,0,0,,1,2,.500,0,3,3,0,0,1,0,1,3,3.5,-6,3.0
6,2015-11-10,28-017,DAL,@,NOP,L (-15),0,12:21,3,3,1.000,0,0,,2,3,.667,0,0,0,0,0,0,1,1,8,5.3,+4,3.0
7,2015-11-11,28-018,DAL,,LAC,W (+10),0,0:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-3,3.0
8,2015-11-14,28-021,DAL,@,HOU,W (+12),0,14:20,2,4,.500,0,0,,0,0,,1,4,5,1,0,1,0,3,4,4.1,+10,3.0
9,2015-11-16,28-023,DAL,@,PHI,W (+6),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+1,3.0
10,2015-11-18,28-025,DAL,@,BOS,W (+4),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-5,3.0
11,2015-11-20,28-027,DAL,,UTA,W (+9),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
12,2015-11-24,28-031,DAL,@,MEM,L (-14),0,4:21,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,1,3,3.6,-3,3.0
13,2015-11-28,28-035,DAL,,DEN,W (+11),0,4:01,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,2.3,-12,3.0
14,2015-11-30,28-037,DAL,@,SAC,L (-14),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
15,2015-12-06,28-043,DAL,@,WAS,W (+12),0,20:27,3,3,1.000,1,1,1.000,0,0,,3,4,7,0,0,1,0,0,7,10.1,+5,3.0
16,2015-12-07,28-044,DAL,@,NYK,W (+7),0,7:20,0,2,.000,0,0,,0,0,,0,3,3,0,1,1,0,1,0,0.8,-6,3.0
17,2015-12-09,28-046,DAL,,ATL,L (-3),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
18,2015-12-16,28-053,DAL,@,IND,L (-26),0,5:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8,3.0
19,2015-12-18,28-055,DAL,,MEM,W (+9),0,1:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
20,2015-12-22,28-059,DAL,@,TOR,L (-4),0,5:51,3,3,1.000,0,0,,0,1,.000,0,0,0,0,0,1,0,1,6,5.0,+12,3.0
21,2015-12-23,28-060,DAL,@,BRK,W (+1),0,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
22,2015-12-30,28-067,DAL,,GSW,W (+23),0,5:23,0,1,.000,0,1,.000,3,4,.750,0,2,2,0,0,0,0,0,3,2.5,-2,3.0
23,2016-01-01,28-069,DAL,@,MIA,L (-24),0,6:20,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,-5,3.0
24,2016-01-06,28-074,DAL,@,NOP,W (+9),0,25:19,3,6,.500,0,1,.000,2,2,1.000,1,4,5,1,1,0,1,1,8,7.2,+16,3.0
25,2016-01-13,28-081,DAL,@,OKC,L (-19),1,31:06,0,7,.000,0,5,.000,0,0,,0,6,6,0,1,0,1,2,0,-3.9,-10,3.0
26,2016-01-17,28-085,DAL,@,SAS,L (-29),0,9:10,2,3,.667,0,1,.000,1,2,.500,2,2,4,0,1,2,0,3,5,6.5,-4,3.0
27,2016-01-27,28-095,DAL,@,GSW,L (-20),0,6:44,3,4,.750,0,0,,2,3,.667,1,1,2,0,0,0,0,1,8,6.6,-2,3.0
28,2016-02-01,28-100,DAL,@,ATL,L (-15),0,2:45,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,3.0
29,2016-02-05,28-104,DAL,,SAS,L (-26),0,7:12,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,3.0
30,2016-02-21,28-120,DAL,,PHI,W (+26),0,3:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,0,3.0
