G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-343,DEN,@,HOU,W (+20),1,30:50,8,10,.800,0,0,,2,6,.333,3,6,9,1,1,3,2,5,18,16.3,+21,4.0
2,2015-10-30,25-345,DEN,,MIN,L (-17),1,26:47,3,10,.300,0,0,,3,4,.750,6,9,15,1,1,0,2,1,9,9.0,-24,4.0
3,2015-11-01,25-347,DEN,@,OKC,L (-24),1,14:10,4,6,.667,0,0,,0,1,.000,2,0,2,1,0,2,1,1,8,7.1,-18,4.0
4,2015-11-03,25-349,DEN,@,LAL,W (+11),1,39:52,10,13,.769,0,0,,8,8,1.000,4,11,15,1,0,0,4,2,28,24.9,+6,4.0
5,2015-11-05,25-351,DEN,,UTA,L (-12),1,30:06,4,8,.500,0,0,,1,2,.500,2,8,10,2,0,0,0,4,9,8.2,-8,4.0
6,2015-11-06,25-352,DEN,@,GSW,L (-15),1,21:23,4,9,.444,0,0,,0,0,,3,8,11,1,0,1,1,2,8,7.4,-5,4.0
7,2015-11-09,25-355,DEN,,POR,W (+4),1,30:42,8,13,.615,0,0,,1,4,.250,4,4,8,1,1,0,2,2,17,12.8,+3,4.0
8,2015-11-11,25-357,DEN,,MIL,W (+1),1,33:24,8,9,.889,0,0,,3,6,.500,5,4,9,1,2,3,2,0,19,22.2,-5,4.0
9,2015-11-13,25-359,DEN,,HOU,W (+9),1,30:04,6,16,.375,0,0,,2,2,1.000,4,7,11,1,0,2,0,3,14,11.0,+3,4.0
10,2015-11-14,25-360,DEN,@,PHO,L (-24),1,14:15,1,3,.333,0,0,,0,0,,4,3,7,0,1,0,2,1,2,2.6,-22,4.0
11,2015-11-17,25-363,DEN,@,NOP,W (+17),1,25:46,5,6,.833,0,0,,1,1,1.000,1,6,7,0,0,1,1,5,11,9.0,+24,4.0
12,2015-11-18,25-364,DEN,@,SAS,L (-11),1,28:50,7,12,.583,0,0,,1,1,1.000,0,7,7,3,1,0,0,2,15,13.8,-7,4.0
13,2015-11-20,26-001,DEN,,PHO,L (-7),1,24:45,2,4,.500,0,0,,0,2,.000,3,4,7,1,1,0,3,3,4,2.0,-6,4.0
14,2015-11-28,26-009,DEN,@,DAL,L (-11),0,14:08,4,5,.800,0,0,,2,3,.667,2,3,5,0,2,1,3,4,10,8.1,+4,4.0
15,2015-11-30,26-011,DEN,@,MIL,L (-18),1,22:40,5,9,.556,0,0,,1,1,1.000,2,5,7,1,0,0,2,2,11,7.5,-5,4.0
16,2015-12-02,26-013,DEN,@,CHI,L (-9),1,28:36,7,10,.700,0,0,,0,2,.000,5,4,9,3,0,1,4,3,14,11.3,-2,4.0
17,2015-12-05,26-016,DEN,@,PHI,W (+3),0,21:39,4,8,.500,0,0,,4,9,.444,5,4,9,2,0,2,3,1,12,10.1,+7,4.0
18,2015-12-08,26-019,DEN,,ORL,L (-11),1,35:42,2,12,.167,0,0,,3,6,.500,2,9,11,3,1,2,2,3,7,3.6,-7,4.0
19,2015-12-11,26-022,DEN,,MIN,W (+3),1,37:33,4,8,.500,0,0,,6,15,.400,3,9,12,0,1,1,1,3,14,10.7,+4,4.0
20,2015-12-14,26-025,DEN,,HOU,W (+6),1,19:48,5,8,.625,0,0,,1,2,.500,5,4,9,1,0,2,1,1,11,12.4,-11,4.0
21,2015-12-15,26-026,DEN,@,MIN,W (+12),1,28:16,7,12,.583,0,0,,5,8,.625,3,7,10,1,0,3,0,5,19,17.2,-3,4.0
22,2015-12-18,26-029,DEN,@,UTA,L (-9),1,28:47,4,11,.364,0,0,,0,2,.000,4,3,7,0,0,0,2,4,8,1.2,-7,4.0
23,2015-12-20,26-031,DEN,,NOP,L (-5),1,24:14,8,14,.571,0,1,.000,5,7,.714,9,4,13,0,0,0,1,5,21,18.1,-13,4.0
24,2015-12-22,26-033,DEN,,LAL,L (-4),1,29:37,4,9,.444,0,0,,6,6,1.000,3,6,9,3,0,1,1,1,14,14.6,-9,4.0
25,2015-12-23,26-034,DEN,@,PHO,W (+8),1,27:13,5,7,.714,0,0,,1,3,.333,3,3,6,0,0,3,1,2,11,10.6,-1,4.0
26,2015-12-26,26-037,DEN,@,SAS,L (-15),1,23:35,4,7,.571,0,0,,0,0,,0,2,2,0,0,1,1,2,8,4.2,-24,4.0
27,2015-12-27,26-038,DEN,@,OKC,L (-10),1,28:48,12,20,.600,0,0,,1,2,.500,8,3,11,1,0,2,1,2,25,22.2,-8,4.0
28,2015-12-29,26-040,DEN,,CLE,L (-6),1,27:54,4,8,.500,0,0,,1,2,.500,3,5,8,0,1,0,0,3,9,8.0,+1,4.0
29,2015-12-30,26-041,DEN,@,POR,L (-7),1,29:31,4,12,.333,0,0,,0,0,,3,9,12,2,0,2,4,3,8,3.6,-2,4.0
30,2016-01-02,26-044,DEN,@,GSW,L (-3),1,28:52,7,12,.583,0,0,,1,1,1.000,9,3,12,4,0,0,1,3,15,17.2,-9,4.0
31,2016-01-03,26-045,DEN,,POR,L (-6),1,27:28,6,14,.429,0,0,,1,5,.200,6,3,9,1,0,1,1,2,13,8.7,+5,4.0
32,2016-01-06,26-048,DEN,@,MIN,W (+4),1,18:08,1,8,.125,0,0,,1,2,.500,2,5,7,0,2,0,0,2,3,1.5,-11,4.0
33,2016-01-13,26-055,DEN,,GSW,W (+2),1,20:03,2,4,.500,0,0,,1,2,.500,2,2,4,2,0,1,0,3,5,5.5,-1,4.0
34,2016-01-15,26-057,DEN,,MIA,L (-3),1,26:14,4,9,.444,0,0,,6,7,.857,0,5,5,1,1,2,2,3,14,10.3,-3,4.0
