G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2016-03-21,29-112,MEM,@,PHO,W (+6),0,22:43,4,8,.500,2,4,.500,2,2,1.000,0,3,3,1,1,0,0,2,12,9.8,+6,1.0
2,2016-03-22,29-113,MEM,@,LAL,L (-7),0,30:31,2,9,.222,2,6,.333,2,2,1.000,0,1,1,5,2,0,3,2,8,4.5,-2,1.0
3,2016-03-25,29-116,MEM,@,SAS,L (-6),1,23:21,4,7,.571,1,2,.500,2,2,1.000,0,2,2,5,3,0,2,2,11,12.0,-6,1.0
4,2016-03-28,29-119,MEM,,SAS,L (-14),1,25:54,4,10,.400,1,4,.250,0,0,,0,3,3,2,0,0,0,3,9,4.7,-14,1.0
5,2016-03-30,29-121,MEM,,DEN,L (-4),1,25:12,6,10,.600,2,4,.500,0,0,,0,0,0,5,1,0,1,2,14,12.1,-5,1.0
6,2016-04-01,29-123,MEM,,TOR,L (-4),1,25:58,4,10,.400,2,5,.400,2,2,1.000,0,2,2,2,2,1,1,2,12,9.5,-11,1.0
7,2016-04-03,29-125,MEM,@,ORL,L (-12),1,14:14,1,5,.200,0,3,.000,0,0,,0,0,0,3,1,0,2,1,2,-0.4,-7,1.0
8,2016-04-05,29-127,MEM,,CHI,W (+16),1,31:03,6,12,.500,1,4,.250,2,2,1.000,1,1,2,4,1,0,2,0,15,11.8,+10,1.0
9,2016-04-08,29-130,MEM,@,DAL,L (-10),1,25:36,4,9,.444,3,4,.750,0,0,,0,2,2,2,0,0,4,3,11,3.1,-12,1.0
10,2016-04-09,29-131,MEM,,GSW,L (-1),1,18:56,1,4,.250,1,3,.333,0,0,,1,2,3,2,1,1,0,1,3,4.6,-4,1.0
11,2016-04-12,29-134,MEM,@,LAC,L (-26),1,26:21,2,7,.286,0,2,.000,0,0,,2,3,5,2,1,0,2,1,4,2.2,-15,1.0
12,2016-04-13,29-135,MEM,@,GSW,L (-21),1,21:29,4,9,.444,1,4,.250,0,0,,0,2,2,4,2,0,1,3,9,7.5,-4,1.0
