G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-09,23-125,CHI,@,PHI,W (+23),0,1:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,5.0
2,2015-11-27,23-143,CHI,@,IND,L (-12),0,2:08,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+3,5.0
3,2016-01-20,23-197,CHI,,GSW,L (-31),0,2:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5,5.0
4,2016-01-28,23-205,CHI,@,LAL,W (+23),0,3:05,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,1.3,+1,5.0
5,2016-02-05,23-213,CHI,@,DEN,L (-5),0,3:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,-1,5.0
6,2016-02-08,23-216,CHI,@,CHO,L (-17),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,5.0
7,2016-02-10,23-218,CHI,,ATL,L (-23),0,3:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-4,5.0
8,2016-02-18,23-226,CHI,@,CLE,L (-11),0,3:30,0,1,.000,0,1,.000,1,2,.500,1,3,4,1,1,0,0,0,1,3.2,+4,5.0
9,2016-02-19,23-227,CHI,,TOR,W (+10),0,14:12,3,3,1.000,0,0,,2,4,.500,1,2,3,3,0,1,0,3,8,9.2,+12,5.0
10,2016-02-21,23-229,CHI,,LAL,W (+11),0,4:08,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+3,5.0
11,2016-02-24,23-232,CHI,,WAS,W (+5),0,12:21,1,1,1.000,0,0,,0,0,,1,3,4,0,1,1,0,1,2,4.6,-17,5.0
12,2016-02-26,23-234,CHI,@,ATL,L (-15),0,6:22,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,-2,5.0
13,2016-02-27,23-235,CHI,,POR,L (-8),0,2:27,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2,5.0
14,2016-03-01,23-238,CHI,@,MIA,L (-18),0,6:16,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-1.1,-7,5.0
15,2016-03-02,23-239,CHI,@,ORL,L (-13),0,5:03,0,0,,0,0,,0,0,,0,5,5,1,0,0,1,0,0,1.2,+8,5.0
16,2016-03-11,23-248,CHI,,MIA,L (-22),0,3:52,0,1,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,0,1,0.8,+1,5.0
17,2016-03-14,23-251,CHI,@,TOR,W (+2),0,5:59,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,+1,5.0
18,2016-03-16,23-253,CHI,@,WAS,L (-21),0,16:52,1,4,.250,0,0,,0,0,,3,3,6,1,1,0,0,1,2,3.9,-7,5.0
19,2016-03-17,23-254,CHI,,BRK,W (+16),0,20:32,2,3,.667,0,0,,2,2,1.000,4,6,10,3,1,2,0,1,6,13.4,+20,5.0
20,2016-03-19,23-256,CHI,,UTA,W (+7),1,12:10,2,3,.667,0,0,,0,0,,0,2,2,0,1,0,1,1,4,2.9,+9,5.0
21,2016-03-24,23-261,CHI,@,NYK,L (-12),1,21:06,3,5,.600,0,0,,0,0,,0,1,1,0,0,1,0,0,6,4.7,-16,5.0
22,2016-03-26,23-263,CHI,@,ORL,L (-22),0,9:28,1,2,.500,0,0,,0,0,,0,7,7,0,0,0,1,1,2,1.7,+5,5.0
23,2016-03-29,23-266,CHI,@,IND,W (+2),0,6:38,3,3,1.000,0,0,,2,2,1.000,4,1,5,0,0,1,0,1,8,10.5,+5,5.0
24,2016-03-31,23-268,CHI,@,HOU,W (+3),0,15:03,2,4,.500,0,0,,1,2,.500,0,4,4,3,0,1,0,1,5,6.2,+6,5.0
25,2016-04-02,23-270,CHI,,DET,L (-4),0,14:11,1,2,.500,0,0,,1,2,.500,1,3,4,1,0,1,0,2,3,3.8,-7,5.0
26,2016-04-03,23-271,CHI,@,MIL,W (+4),0,14:08,1,5,.200,0,0,,2,2,1.000,4,1,5,1,1,0,2,1,4,3.3,-2,5.0
27,2016-04-05,23-273,CHI,@,MEM,L (-16),0,13:52,0,0,,0,0,,2,4,.500,0,5,5,0,0,1,1,3,2,1.2,+2,5.0
28,2016-04-07,23-275,CHI,@,MIA,L (-8),0,14:26,3,4,.750,0,0,,2,3,.667,2,5,7,1,0,0,1,1,8,8.2,+9,5.0
29,2016-04-09,23-277,CHI,,CLE,W (+3),0,23:28,7,7,1.000,0,0,,2,2,1.000,2,3,5,1,0,2,2,4,16,14.7,+12,5.0
30,2016-04-11,23-279,CHI,@,NOP,W (+5),1,27:29,6,8,.750,0,1,.000,4,4,1.000,1,5,6,0,0,0,0,3,16,13.8,+1,5.0
31,2016-04-13,23-281,CHI,,PHI,W (+10),1,28:38,2,8,.250,0,1,.000,2,2,1.000,4,5,9,4,0,2,2,2,6,6.9,+20,5.0
