G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-124,DAL,@,PHO,W (+16),1,33:09,7,14,.500,2,3,.667,2,2,1.000,1,3,4,6,0,0,0,2,18,16.0,+25,1.0
2,2015-10-29,31-125,DAL,@,LAC,L (-16),1,25:15,2,9,.222,0,2,.000,0,0,,1,0,1,4,1,0,3,4,4,-1.6,-18,1.0
3,2015-11-01,31-128,DAL,@,LAL,W (+10),0,28:21,5,8,.625,1,2,.500,0,0,,1,1,2,2,1,0,1,2,11,9.0,+5,1.0
4,2015-11-03,31-130,DAL,,TOR,L (-11),0,19:05,3,6,.500,0,0,,0,0,,0,2,2,0,0,0,3,2,6,-0.2,-2,1.0
5,2015-11-05,31-132,DAL,,CHO,L (-14),1,23:48,3,7,.429,1,3,.333,0,0,,0,2,2,1,0,0,3,3,7,0.4,-8,1.0
6,2015-11-07,31-134,DAL,,NOP,W (+9),0,18:01,2,5,.400,0,1,.000,1,1,1.000,0,1,1,3,0,0,0,1,5,4.3,+17,1.0
7,2015-11-10,31-137,DAL,@,NOP,L (-15),0,22:38,0,5,.000,0,0,,2,2,1.000,0,3,3,2,0,0,1,1,2,-0.6,-2,1.0
8,2015-11-11,31-138,DAL,,LAC,W (+10),1,30:07,4,9,.444,1,5,.200,4,4,1.000,0,3,3,0,1,0,2,3,13,7.0,+19,1.0
9,2015-11-13,31-140,DAL,,LAL,W (+8),0,22:34,2,6,.333,0,1,.000,2,2,1.000,1,2,3,1,2,1,0,1,6,6.9,+7,1.0
10,2015-11-14,31-141,DAL,@,HOU,W (+12),1,33:46,8,16,.500,1,4,.250,6,6,1.000,1,5,6,1,0,0,2,3,23,14.7,-3,1.0
11,2015-11-16,31-143,DAL,@,PHI,W (+6),0,24:37,1,5,.200,0,1,.000,0,0,,0,3,3,3,0,0,3,1,2,-1.5,+8,1.0
12,2015-11-18,31-145,DAL,@,BOS,W (+4),0,25:10,4,10,.400,0,3,.000,1,4,.250,1,1,2,4,2,0,1,3,9,6.0,+8,1.0
13,2015-11-20,31-147,DAL,,UTA,W (+9),0,15:10,1,5,.200,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,1,4,1.9,+2,1.0
14,2015-11-22,31-149,DAL,@,OKC,L (-3),0,17:48,1,6,.167,0,1,.000,1,1,1.000,0,1,1,2,1,0,0,2,3,1.1,-15,1.0
15,2015-11-24,31-151,DAL,@,MEM,L (-14),0,23:24,5,8,.625,4,4,1.000,2,2,1.000,0,4,4,2,1,0,3,4,16,11.4,-8,1.0
16,2015-11-25,31-152,DAL,@,SAS,L (-5),1,37:11,2,7,.286,1,2,.500,0,0,,0,4,4,5,1,0,1,1,5,5.2,-3,1.0
17,2015-11-28,31-155,DAL,,DEN,W (+11),0,28:08,5,10,.500,1,3,.333,1,3,.333,0,3,3,1,2,0,1,0,12,8.8,+15,1.0
18,2015-11-30,31-157,DAL,@,SAC,L (-14),0,25:50,3,12,.250,1,6,.167,1,2,.500,2,3,5,7,3,0,4,4,8,5.0,-2,1.0
19,2015-12-01,31-158,DAL,@,POR,W (+3),1,39:44,3,10,.300,0,1,.000,3,4,.750,0,2,2,5,1,0,1,1,9,6.5,+18,1.0
20,2015-12-04,31-161,DAL,,HOU,L (-4),1,34:04,4,8,.500,1,3,.333,0,0,,0,3,3,5,2,1,4,2,9,7.3,-18,1.0
21,2015-12-06,31-163,DAL,@,WAS,W (+12),1,38:27,5,13,.385,1,4,.250,0,0,,0,10,10,6,2,0,5,3,11,6.9,+8,1.0
22,2015-12-07,31-164,DAL,@,NYK,W (+7),1,33:34,6,11,.545,2,6,.333,0,0,,0,5,5,5,1,0,0,0,14,14.7,+16,1.0
23,2015-12-09,31-166,DAL,,ATL,L (-3),1,30:12,4,10,.400,1,2,.500,2,2,1.000,2,4,6,5,1,0,1,0,11,11.7,+11,1.0
24,2015-12-12,31-169,DAL,,WAS,L (-3),1,38:17,3,11,.273,0,3,.000,4,4,1.000,0,11,11,11,1,0,2,2,10,12.7,+6,1.0
25,2015-12-14,31-171,DAL,,PHO,W (+10),1,33:35,6,11,.545,3,7,.429,2,2,1.000,0,4,4,4,2,0,2,3,17,14.5,-5,1.0
26,2015-12-16,31-173,DAL,@,IND,L (-26),1,31:40,6,12,.500,3,6,.500,1,2,.500,0,3,3,2,0,0,1,1,16,10.5,-16,1.0
27,2015-12-18,31-175,DAL,,MEM,W (+9),1,27:46,3,10,.300,2,5,.400,0,0,,0,3,3,6,1,0,2,2,8,5.5,+10,1.0
28,2015-12-22,31-179,DAL,@,TOR,L (-4),1,31:20,3,9,.333,1,3,.333,0,0,,0,4,4,3,3,0,2,1,7,5.8,-11,1.0
29,2015-12-23,31-180,DAL,@,BRK,W (+1),1,24:27,3,6,.500,0,1,.000,0,0,,0,4,4,4,0,1,3,1,6,4.3,-21,1.0
30,2015-12-26,31-183,DAL,,CHI,W (+7),1,22:27,2,5,.400,1,2,.500,8,8,1.000,0,4,4,5,1,0,1,0,13,15.0,+1,1.0
31,2015-12-28,31-185,DAL,,MIL,W (+10),0,28:38,5,6,.833,1,1,1.000,3,4,.750,0,2,2,4,1,0,0,2,14,15.0,+2,1.0
32,2015-12-30,31-187,DAL,,GSW,W (+23),0,21:26,2,5,.400,1,3,.333,1,2,.500,1,2,3,3,0,0,2,0,6,4.3,+9,1.0
33,2016-01-01,31-189,DAL,@,MIA,L (-24),0,21:56,1,4,.250,0,1,.000,2,2,1.000,1,2,3,5,0,0,0,0,4,6.4,-10,1.0
34,2016-01-02,31-190,DAL,,NOP,L (-7),0,26:22,5,7,.714,1,2,.500,2,2,1.000,0,3,3,3,1,0,3,1,13,10.7,-12,1.0
35,2016-01-05,31-193,DAL,,SAC,W (+1),0,34:58,2,5,.400,1,2,.500,0,0,,0,7,7,2,1,0,3,2,5,3.0,+6,1.0
36,2016-01-06,31-194,DAL,@,NOP,W (+9),1,36:32,6,14,.429,3,6,.500,7,7,1.000,0,2,2,6,1,0,0,4,22,18.8,0,1.0
37,2016-01-08,31-196,DAL,@,MIL,L (-1),0,23:08,3,10,.300,2,6,.333,1,2,.500,1,0,1,4,1,1,2,1,9,5.6,-6,1.0
38,2016-01-10,31-198,DAL,@,MIN,W (+6),0,18:27,2,4,.500,0,1,.000,3,4,.750,0,0,0,2,0,1,0,1,7,6.3,-2,1.0
39,2016-01-12,31-200,DAL,,CLE,L (-3),0,16:02,1,4,.250,0,0,,0,0,,0,1,1,1,0,2,2,1,2,-0.4,-17,1.0
40,2016-01-13,31-201,DAL,@,OKC,L (-19),1,33:07,3,11,.273,1,5,.200,7,8,.875,1,2,3,4,0,0,3,1,14,7.8,-14,1.0
41,2016-01-15,31-203,DAL,@,CHI,W (+6),0,8:37,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-2,1.0
42,2016-01-17,31-205,DAL,@,SAS,L (-29),0,19:45,4,9,.444,0,1,.000,1,1,1.000,0,0,0,3,0,0,1,0,9,5.4,-20,1.0
43,2016-01-18,31-206,DAL,,BOS,W (+5),0,28:48,6,13,.462,1,3,.333,1,1,1.000,1,2,3,4,0,0,1,4,14,8.8,-9,1.0
44,2016-01-22,31-210,DAL,,OKC,L (-3),0,9:24,0,2,.000,0,2,.000,0,0,,0,1,1,3,0,0,1,1,0,-0.4,+12,1.0
45,2016-01-24,31-212,DAL,@,HOU,L (-11),0,34:16,6,10,.600,1,3,.333,3,3,1.000,1,7,8,2,1,0,2,1,16,14.2,-1,1.0
46,2016-01-26,31-214,DAL,@,LAL,W (+2),0,27:18,3,7,.429,1,2,.500,0,0,,0,2,2,2,1,0,0,2,7,5.5,-10,1.0
47,2016-01-27,31-215,DAL,@,GSW,L (-20),1,35:23,5,12,.417,2,5,.400,0,1,.000,2,1,3,4,0,0,1,1,12,8.3,-13,1.0
48,2016-01-29,31-217,DAL,,BRK,W (+12),0,24:59,4,7,.571,0,0,,1,2,.500,0,1,1,3,1,0,2,0,9,6.7,+23,1.0
49,2016-01-31,31-219,DAL,,PHO,W (+13),1,35:55,2,8,.250,0,0,,6,6,1.000,2,4,6,6,3,0,0,1,10,14.6,+17,1.0
50,2016-02-01,31-220,DAL,@,ATL,L (-15),0,25:25,5,11,.455,1,4,.250,2,2,1.000,0,1,1,2,1,0,0,1,13,9.6,-12,1.0
51,2016-02-03,31-222,DAL,,MIA,L (-3),0,30:01,4,12,.333,0,2,.000,3,4,.750,0,2,2,4,0,0,0,3,11,6.0,-3,1.0
52,2016-02-05,31-224,DAL,,SAS,L (-26),0,20:54,3,4,.750,0,1,.000,0,0,,0,1,1,4,2,0,2,4,6,5.9,-6,1.0
53,2016-02-06,31-225,DAL,@,MEM,W (+4),0,32:16,5,12,.417,3,7,.429,3,5,.600,0,7,7,1,1,0,0,2,16,11.8,-9,1.0
54,2016-02-09,31-228,DAL,,UTA,L (-2),0,28:02,5,9,.556,1,2,.500,6,6,1.000,1,6,7,5,1,0,0,2,17,18.9,-3,1.0
55,2016-02-19,31-238,DAL,@,ORL,L (-6),0,26:05,1,5,.200,0,1,.000,0,0,,0,4,4,5,0,0,2,1,2,1.2,-10,1.0
