G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-364,ORL,,WAS,L (-1),1,26:59,1,7,.143,0,3,.000,1,2,.500,0,4,4,1,2,0,1,1,3,0.6,-1,2.0
2,2015-10-30,23-001,ORL,,OKC,L (-3),1,44:42,8,21,.381,2,8,.250,4,6,.667,1,4,5,3,2,0,2,3,22,12.5,+5,2.0
3,2015-11-01,23-003,ORL,@,CHI,L (-5),1,35:10,8,15,.533,2,4,.500,1,2,.500,0,5,5,2,0,0,1,3,19,12.0,-15,2.0
4,2015-11-03,23-005,ORL,@,NOP,W (+9),1,42:45,12,20,.600,4,9,.444,2,2,1.000,0,5,5,4,2,0,2,2,30,24.3,+7,2.0
5,2015-11-04,23-006,ORL,@,HOU,L (-5),1,45:45,11,21,.524,3,8,.375,4,5,.800,1,5,6,4,1,0,1,5,29,21.3,-3,2.0
6,2015-11-06,23-008,ORL,,TOR,W (+5),1,27:46,3,11,.273,1,4,.250,4,4,1.000,0,1,1,1,0,0,1,1,11,4.1,-10,2.0
7,2015-11-07,23-009,ORL,@,PHI,W (+8),1,39:47,7,12,.583,3,4,.750,0,0,,0,3,3,2,1,0,5,5,17,7.7,-1,2.0
8,2015-11-09,23-011,ORL,@,IND,L (-13),1,39:33,7,13,.538,4,9,.444,3,4,.750,0,2,2,1,2,0,2,4,21,14.0,-16,2.0
9,2015-11-11,23-013,ORL,,LAL,W (+2),1,42:07,6,16,.375,2,6,.333,2,3,.667,1,4,5,6,1,0,2,4,16,10.3,+3,2.0
10,2015-11-13,23-015,ORL,,UTA,W (+9),1,36:57,7,15,.467,2,6,.333,5,5,1.000,0,5,5,2,1,0,1,3,21,15.0,+14,2.0
11,2015-11-14,23-016,ORL,@,WAS,L (-9),1,36:38,7,17,.412,1,6,.167,3,3,1.000,0,6,6,6,1,0,0,1,18,15.5,-13,2.0
12,2015-11-18,23-020,ORL,,MIN,W (+3),1,42:56,9,17,.529,5,7,.714,3,4,.750,2,2,4,3,3,0,3,1,26,21.0,+11,2.0
13,2015-11-21,23-023,ORL,,SAC,L (-6),1,35:10,7,20,.350,3,11,.273,0,0,,0,4,4,3,3,0,3,4,17,7.5,+11,2.0
14,2015-11-23,23-025,ORL,@,CLE,L (-14),1,23:00,4,5,.800,3,3,1.000,2,2,1.000,0,1,1,1,1,0,2,4,13,9.5,-22,2.0
15,2015-11-25,23-027,ORL,,NYK,W (+9),1,21:07,1,9,.111,1,3,.333,0,0,,1,1,2,0,0,0,0,2,3,-2.7,-3,2.0
16,2015-11-27,23-029,ORL,,MIL,W (+24),1,28:07,5,12,.417,3,6,.500,4,6,.667,1,4,5,1,1,0,1,3,17,11.2,+20,2.0
17,2015-11-29,23-031,ORL,,BOS,W (+19),1,20:00,4,9,.444,0,3,.000,1,1,1.000,1,2,3,1,1,0,1,1,9,5.9,+4,2.0
18,2015-12-01,23-033,ORL,@,MIN,W (+3),1,27:56,4,7,.571,1,2,.500,3,4,.750,0,1,1,3,1,0,1,3,12,9.5,+3,2.0
19,2015-12-03,23-035,ORL,@,UTA,W (+9),1,29:41,5,9,.556,2,5,.400,2,2,1.000,0,6,6,3,1,0,1,5,14,11.6,+16,2.0
20,2015-12-05,23-037,ORL,@,LAC,L (-2),1,16:33,2,5,.400,1,3,.333,2,2,1.000,0,0,0,0,1,1,2,4,7,2.4,-18,2.0
21,2015-12-08,23-040,ORL,@,DEN,W (+11),1,25:58,1,7,.143,1,4,.250,0,0,,0,2,2,1,0,0,1,5,3,-3.2,+16,2.0
22,2015-12-09,23-041,ORL,@,PHO,L (-3),1,34:56,5,14,.357,3,7,.429,1,2,.500,1,1,2,1,1,0,3,1,14,5.1,-13,2.0
