G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-323,NYK,@,MIL,W (+25),0,24:48,5,10,.500,4,5,.800,2,2,1.000,2,2,4,3,0,0,0,4,16,13.5,+13,1.0
2,2015-10-29,23-324,NYK,,ATL,L (-11),0,25:18,2,4,.500,2,4,.500,2,2,1.000,0,4,4,3,1,0,0,2,8,9.5,+5,1.0
3,2015-10-31,23-326,NYK,@,WAS,W (+7),0,27:37,4,8,.500,2,3,.667,4,5,.800,1,6,7,4,1,1,1,3,14,14.4,+8,1.0
4,2015-11-02,23-328,NYK,,SAS,L (-10),0,28:55,2,5,.400,0,0,,2,4,.500,1,4,5,1,1,0,1,0,6,5.1,-14,1.0
5,2015-11-04,23-330,NYK,@,CLE,L (-10),0,28:32,4,9,.444,3,5,.600,1,2,.500,2,2,4,0,2,0,1,1,12,9.5,-22,1.0
6,2015-11-06,23-332,NYK,,MIL,L (-7),0,31:52,3,9,.333,2,5,.400,5,7,.714,1,6,7,2,1,0,0,2,13,11.2,0,1.0
7,2015-11-08,23-334,NYK,,LAL,W (+4),0,27:29,5,9,.556,3,4,.750,1,1,1.000,0,4,4,1,1,0,0,1,14,12.2,+17,1.0
8,2015-11-10,23-336,NYK,@,TOR,W (+2),0,27:49,6,10,.600,2,3,.667,1,2,.500,1,3,4,4,0,0,1,3,15,12.2,+10,1.0
9,2015-11-11,23-337,NYK,@,CHO,L (-2),0,19:28,2,6,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,2,4,-0.2,-4,1.0
10,2015-11-13,23-339,NYK,,CLE,L (-6),0,28:58,3,9,.333,1,4,.250,0,0,,1,5,6,2,1,0,1,5,7,3.5,+1,1.0
11,2015-11-15,23-341,NYK,,NOP,W (+8),0,26:05,5,6,.833,1,2,.500,4,4,1.000,1,2,3,1,2,0,1,0,15,15.8,-1,1.0
12,2015-11-17,23-343,NYK,,CHO,W (+8),0,27:43,3,8,.375,3,5,.600,0,0,,0,4,4,5,1,0,1,3,9,8.1,+5,1.0
13,2015-11-20,23-346,NYK,@,OKC,W (+3),0,19:32,2,4,.500,1,2,.500,0,0,,0,2,2,2,5,0,2,3,5,6.8,-1,1.0
14,2015-11-21,23-347,NYK,@,HOU,W (+5),0,24:07,4,9,.444,2,4,.500,2,3,.667,2,1,3,2,1,1,0,3,12,10.5,+2,1.0
15,2015-11-23,23-349,NYK,@,MIA,L (-17),0,23:27,1,9,.111,0,5,.000,0,0,,1,3,4,1,1,0,0,4,2,-2.2,-22,1.0
16,2015-11-25,23-351,NYK,@,ORL,L (-9),0,15:41,0,5,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,5,0,-5.5,-10,1.0
17,2015-11-27,23-353,NYK,,MIA,L (-19),0,28:47,3,9,.333,1,2,.500,1,3,.333,0,4,4,2,0,0,0,1,8,4.3,-7,1.0
18,2015-11-29,23-355,NYK,,HOU,L (-5),0,26:12,2,9,.222,0,4,.000,0,0,,0,0,0,4,1,0,3,3,4,-1.9,-7,1.0
19,2015-12-02,23-358,NYK,,PHI,W (+12),0,22:01,0,5,.000,0,2,.000,2,2,1.000,1,2,3,0,1,0,0,1,2,0.4,+1,1.0
20,2015-12-04,23-360,NYK,,BRK,W (+17),0,20:14,3,9,.333,2,5,.400,0,0,,0,5,5,2,1,0,0,0,8,6.8,+6,1.0
21,2015-12-05,23-361,NYK,@,MIL,L (-15),0,26:51,1,5,.200,0,2,.000,2,2,1.000,0,6,6,4,3,0,0,3,4,7.3,+8,1.0
22,2015-12-07,23-363,NYK,,DAL,L (-7),0,22:02,1,6,.167,1,2,.500,0,0,,1,3,4,2,2,0,1,0,3,3.2,-8,1.0
23,2015-12-09,24-000,NYK,@,UTA,L (-21),0,22:05,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,3.0,-9,1.0
24,2015-12-10,24-001,NYK,@,SAC,L (-2),0,18:06,2,6,.333,1,2,.500,4,4,1.000,0,4,4,0,1,0,1,2,9,6.0,+1,1.0
25,2015-12-12,24-003,NYK,@,POR,W (+2),0,30:25,2,8,.250,1,3,.333,2,2,1.000,0,4,4,3,0,0,0,2,7,4.7,+9,1.0
26,2015-12-16,24-007,NYK,,MIN,W (+5),0,31:34,5,11,.455,1,3,.333,1,2,.500,2,1,3,6,1,1,0,1,12,13.1,-1,1.0
27,2015-12-18,24-009,NYK,@,PHI,W (+10),0,16:28,3,5,.600,1,1,1.000,0,1,.000,1,1,2,3,1,0,2,2,7,5.6,+9,1.0
