G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-272,MEM,,CLE,L (-30),1,29:43,6,12,.500,0,0,,0,0,,0,5,5,0,0,0,1,3,12,5.3,-6,5.0
2,2015-10-29,30-273,MEM,@,IND,W (+9),1,32:31,7,13,.538,0,0,,6,7,.857,1,7,8,3,0,1,0,1,20,18.5,+13,5.0
3,2015-10-31,30-275,MEM,,BRK,W (+10),1,29:50,2,10,.200,0,1,.000,3,4,.750,1,3,4,6,0,0,3,4,7,1.6,+7,5.0
4,2015-11-02,30-277,MEM,@,GSW,L (-50),1,25:40,5,12,.417,0,0,,3,3,1.000,3,6,9,3,0,1,2,2,13,10.5,-32,5.0
5,2015-11-03,30-278,MEM,@,SAC,W (+14),1,17:38,4,8,.500,0,0,,0,0,,0,2,2,2,0,1,1,1,8,5.3,+7,5.0
6,2015-11-05,30-280,MEM,@,POR,L (-19),1,27:39,4,13,.308,0,0,,7,10,.700,1,4,5,3,0,2,1,2,15,9.9,-21,5.0
7,2015-11-07,30-282,MEM,@,UTA,L (-10),1,38:19,4,14,.286,0,0,,5,5,1.000,3,7,10,6,0,1,4,3,13,8.7,-7,5.0
8,2015-11-09,30-284,MEM,@,LAC,L (-2),1,37:05,5,8,.625,0,0,,8,12,.667,1,6,7,3,0,0,4,5,18,11.4,+2,5.0
9,2015-11-11,30-286,MEM,,GSW,L (-16),1,39:49,6,15,.400,1,1,1.000,13,14,.929,2,5,7,3,2,0,2,3,26,21.3,-5,5.0
10,2015-11-13,30-288,MEM,,POR,W (+1),1,40:49,11,18,.611,1,1,1.000,8,8,1.000,1,3,4,5,0,0,0,2,31,27.1,0,5.0
11,2015-11-15,30-290,MEM,@,MIN,W (+8),1,37:16,7,10,.700,0,0,,2,2,1.000,1,6,7,4,0,2,4,4,16,12.9,+6,5.0
12,2015-11-16,30-291,MEM,,OKC,W (+8),1,35:04,7,13,.538,0,0,,3,3,1.000,1,5,6,6,0,1,4,5,17,11.8,+11,5.0
13,2015-11-20,30-295,MEM,,HOU,W (+12),1,37:26,7,14,.500,0,0,,2,2,1.000,3,8,11,11,4,0,2,2,16,22.4,+14,5.0
14,2015-11-21,30-296,MEM,@,SAS,L (-10),1,39:42,3,9,.333,0,0,,2,2,1.000,3,5,8,6,3,0,5,3,8,7.5,-8,5.0
15,2015-11-24,30-299,MEM,,DAL,W (+14),1,36:07,4,12,.333,0,0,,7,7,1.000,0,10,10,4,0,2,1,4,15,12.8,+11,5.0
16,2015-11-25,30-300,MEM,@,HOU,W (+9),1,38:35,5,12,.417,0,0,,1,2,.500,1,6,7,2,1,1,6,2,11,3.0,+16,5.0
17,2015-11-27,30-302,MEM,,ATL,L (-15),1,36:33,4,9,.444,0,0,,5,6,.833,1,7,8,2,0,0,2,2,13,9.3,-24,5.0
18,2015-11-29,30-304,MEM,,PHI,W (+8),1,39:01,4,8,.500,0,0,,1,2,.500,1,11,12,3,1,4,3,3,9,10.3,+9,5.0
19,2015-12-01,30-306,MEM,@,NOP,W (+9),1,42:11,11,22,.500,0,0,,16,16,1.000,0,13,13,6,0,4,3,1,38,34.5,+8,5.0
