G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-072,SAC,,LAC,L (-7),1,31:21,7,16,.438,1,3,.333,1,2,.500,1,5,6,3,0,0,2,2,16,8.7,-2,3.0
2,2015-10-30,29-074,SAC,,LAL,W (+18),1,31:21,8,12,.667,2,3,.667,1,2,.500,1,5,6,3,2,0,0,1,19,19.3,+30,3.0
3,2015-10-31,29-075,SAC,@,LAC,L (-5),1,31:03,8,23,.348,2,5,.400,2,2,1.000,5,4,9,2,2,0,3,4,20,10.6,-4,3.0
4,2015-11-03,29-078,SAC,,MEM,L (-14),1,32:00,7,17,.412,1,4,.250,4,4,1.000,1,4,5,3,1,0,2,3,19,11.7,-12,3.0
5,2015-11-04,29-079,SAC,@,PHO,L (-21),1,30:15,4,13,.308,0,1,.000,1,2,.500,2,6,8,3,2,1,1,5,9,6.1,-7,3.0
6,2015-11-06,29-081,SAC,,HOU,L (-6),1,25:39,5,15,.333,1,2,.500,4,6,.667,1,4,5,2,1,0,2,4,15,6.4,-23,3.0
7,2015-11-07,29-082,SAC,,GSW,L (-9),1,34:24,10,25,.400,1,4,.250,1,1,1.000,2,5,7,1,1,0,4,2,22,8.3,-8,3.0
8,2015-11-09,29-084,SAC,,SAS,L (-18),1,32:08,5,15,.333,0,2,.000,0,0,,3,2,5,4,0,1,2,4,10,4.1,-31,3.0
9,2015-11-11,29-086,SAC,,DET,W (+9),1,39:22,10,14,.714,1,2,.500,4,5,.800,0,6,6,3,1,0,2,2,25,20.9,+20,3.0
10,2015-11-15,29-090,SAC,,TOR,W (+6),1,37:12,10,16,.625,1,3,.333,6,7,.857,1,5,6,3,1,0,4,0,27,20.7,+16,3.0
11,2015-11-18,29-093,SAC,@,ATL,L (-6),1,29:20,5,13,.385,0,1,.000,4,4,1.000,2,4,6,3,2,0,2,3,14,10.4,0,3.0
12,2015-11-19,29-094,SAC,@,MIA,L (-7),1,24:43,6,13,.462,0,0,,1,1,1.000,2,10,12,2,1,0,1,3,13,10.9,+1,3.0
13,2015-11-23,29-098,SAC,@,CHO,L (-5),1,42:02,13,21,.619,2,4,.500,0,1,.000,1,9,10,0,1,0,3,4,28,17.9,-2,3.0
14,2015-11-25,29-100,SAC,@,MIL,W (+11),1,36:05,13,21,.619,2,5,.400,8,9,.889,1,4,5,2,1,1,0,4,36,29.5,+13,3.0
15,2015-11-27,29-102,SAC,,MIN,L (-10),1,26:49,1,13,.077,0,3,.000,0,0,,2,2,4,0,0,0,1,1,2,-6.1,-4,3.0
16,2015-11-28,29-103,SAC,@,GSW,L (-19),1,27:24,7,20,.350,0,1,.000,6,6,1.000,3,4,7,0,0,0,0,1,20,11.7,-21,3.0
17,2015-11-30,29-105,SAC,,DAL,W (+14),1,34:57,7,12,.583,1,2,.500,5,5,1.000,1,6,7,1,0,0,1,1,20,16.2,+19,3.0
18,2015-12-03,29-108,SAC,,BOS,L (-17),1,30:34,7,13,.538,2,3,.667,2,3,.667,0,7,7,0,1,0,4,2,18,9.6,-15,3.0
19,2015-12-05,29-110,SAC,@,HOU,L (-7),1,30:50,6,12,.500,1,3,.333,2,2,1.000,3,3,6,2,2,0,1,5,15,12.4,-3,3.0
20,2015-12-06,29-111,SAC,@,OKC,L (-3),1,36:12,8,18,.444,2,6,.333,2,2,1.000,3,4,7,3,3,0,3,2,20,15.2,-3,3.0
21,2015-12-08,29-113,SAC,,UTA,W (+8),1,34:57,10,13,.769,1,3,.333,2,2,1.000,0,4,4,1,0,1,1,3,23,18.3,+14,3.0
22,2015-12-10,29-115,SAC,,NYK,W (+2),1,39:32,4,16,.250,1,4,.250,1,1,1.000,4,4,8,2,1,3,3,3,10,4.7,0,3.0
23,2015-12-15,29-120,SAC,,HOU,W (+10),1,35:08,6,11,.545,2,5,.400,3,5,.600,2,11,13,3,6,1,5,5,17,17.4,+14,3.0
24,2015-12-18,29-123,SAC,@,MIN,L (-4),1,37:35,8,18,.444,2,6,.333,2,2,1.000,3,2,5,0,0,1,0,2,20,13.2,-11,3.0
25,2015-12-20,29-125,SAC,@,TOR,W (+10),1,40:31,7,17,.412,1,5,.200,4,4,1.000,1,8,9,1,3,1,2,2,19,14.6,+4,3.0
