G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-179,IND,@,TOR,L (-7),1,36:35,4,17,.235,0,4,.000,9,10,.900,3,9,12,8,3,0,3,3,17,15.5,-4,3.0
2,2015-10-29,25-180,IND,,MEM,L (-9),1,34:40,5,15,.333,2,8,.250,6,6,1.000,3,5,8,5,1,1,4,3,18,13.1,-10,3.0
3,2015-10-31,25-182,IND,,UTA,L (-21),1,33:37,6,11,.545,0,1,.000,4,6,.667,0,3,3,1,1,0,3,3,16,8.3,-19,3.0
4,2015-11-03,25-185,IND,@,DET,W (+12),1,37:32,5,17,.294,2,7,.286,4,4,1.000,2,7,9,6,2,0,4,2,16,11.0,+1,3.0
5,2015-11-04,25-186,IND,,BOS,W (+2),1,31:11,8,18,.444,5,11,.455,5,6,.833,3,7,10,3,2,0,2,4,26,20.9,+13,3.0
6,2015-11-06,25-188,IND,,MIA,W (+3),1,37:53,14,27,.519,2,6,.333,6,8,.750,3,9,12,3,3,1,4,0,36,28.5,+8,3.0
7,2015-11-08,25-190,IND,@,CLE,L (-4),1,38:58,11,21,.524,3,6,.500,7,8,.875,2,9,11,6,0,0,4,5,32,23.6,+5,3.0
8,2015-11-09,25-191,IND,,ORL,W (+13),1,36:20,7,17,.412,3,6,.500,10,11,.909,2,2,4,7,1,0,6,2,27,18.6,+9,3.0
9,2015-11-11,25-193,IND,@,BOS,W (+11),1,36:56,10,22,.455,2,5,.400,4,5,.800,1,9,10,3,1,0,6,4,26,13.1,+15,3.0
10,2015-11-13,25-195,IND,,MIN,W (+4),1,38:30,8,17,.471,4,6,.667,9,10,.900,0,9,9,4,1,0,1,2,29,24.6,+4,3.0
11,2015-11-16,25-198,IND,@,CHI,L (-1),1,38:31,9,20,.450,4,5,.800,4,6,.667,1,6,7,5,0,0,4,3,26,15.6,+5,3.0
12,2015-11-18,25-200,IND,@,PHI,W (+27),1,31:58,13,24,.542,5,10,.500,3,4,.750,1,7,8,5,4,0,2,3,34,29.1,+23,3.0
13,2015-11-21,25-203,IND,,MIL,W (+37),1,29:06,6,17,.353,3,9,.333,5,6,.833,0,7,7,7,2,0,3,3,20,14.9,+26,3.0
14,2015-11-24,25-206,IND,@,WAS,W (+17),1,36:35,14,19,.737,7,8,.875,5,6,.833,1,7,8,4,2,0,4,1,40,35.1,+24,3.0
15,2015-11-27,25-209,IND,,CHI,W (+12),1,38:30,11,24,.458,4,10,.400,7,7,1.000,0,8,8,2,0,0,5,4,33,17.8,+13,3.0
16,2015-11-29,25-211,IND,@,LAL,W (+4),1,36:49,10,22,.455,5,11,.455,14,17,.824,1,3,4,1,2,1,4,1,39,27.0,+10,3.0
17,2015-12-02,25-214,IND,@,LAC,W (+12),1,40:38,9,23,.391,5,9,.556,8,10,.800,1,9,10,4,3,1,0,3,31,26.4,+16,3.0
18,2015-12-03,25-215,IND,@,POR,L (-12),1,34:13,4,17,.235,0,9,.000,3,4,.750,0,7,7,3,0,0,5,2,11,-1.3,-12,3.0
19,2015-12-05,25-217,IND,@,UTA,L (-3),1,42:05,15,27,.556,8,11,.727,10,13,.769,0,8,8,3,3,0,2,4,48,37.8,-12,3.0
20,2015-12-08,25-220,IND,,GSW,L (-8),1,35:39,11,27,.407,5,13,.385,6,7,.857,3,5,8,6,3,1,3,3,33,25.4,-18,3.0
21,2015-12-11,25-223,IND,,MIA,W (+13),1,37:01,7,17,.412,1,5,.200,8,8,1.000,0,8,8,3,1,0,3,2,23,15.6,+23,3.0
22,2015-12-12,25-224,IND,@,DET,L (-22),1,34:17,4,16,.250,0,4,.000,5,7,.714,0,6,6,3,1,0,4,2,13,2.7,-19,3.0
23,2015-12-14,25-226,IND,,TOR,W (+16),1,23:50,5,13,.385,4,8,.500,2,2,1.000,0,3,3,3,1,0,4,5,16,6.9,+8,3.0
