G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-125,CHI,,CLE,W (+2),0,22:06,1,3,.333,0,0,,3,4,.750,2,8,10,0,0,3,3,6,5,3.4,+2,4.0
2,2015-10-28,30-126,CHI,@,BRK,W (+15),0,18:23,1,4,.250,0,0,,1,2,.500,1,0,1,0,0,0,3,3,3,-3.3,-15,4.0
3,2015-10-30,30-128,CHI,@,DET,L (-4),0,19:34,4,7,.571,0,0,,0,2,.000,3,4,7,0,0,3,1,5,8,6.3,+1,4.0
4,2015-11-01,30-130,CHI,,ORL,W (+5),0,19:33,2,3,.667,0,0,,2,2,1.000,1,5,6,1,0,0,1,0,6,6.6,0,4.0
5,2015-11-03,30-132,CHI,@,CHO,L (-25),0,16:06,3,3,1.000,0,0,,0,1,.000,1,2,3,1,0,0,1,1,6,5.3,-20,4.0
6,2015-11-05,30-134,CHI,,OKC,W (+6),0,22:07,4,5,.800,0,0,,1,1,1.000,0,4,4,3,0,2,0,2,9,11.0,+14,4.0
7,2015-11-07,30-136,CHI,,MIN,L (-9),0,24:42,1,4,.250,0,0,,1,2,.500,2,1,3,2,1,0,1,3,3,2.1,-12,4.0
8,2015-11-09,30-138,CHI,@,PHI,W (+23),0,22:57,2,5,.400,0,0,,3,4,.750,4,3,7,3,2,1,1,4,7,9.8,+5,4.0
9,2015-11-13,30-142,CHI,,CHO,W (+5),0,23:03,6,10,.600,0,0,,0,0,,0,2,2,1,0,0,0,1,12,8.3,+12,4.0
10,2015-11-16,30-145,CHI,,IND,W (+1),0,31:27,3,8,.375,0,0,,3,6,.500,5,6,11,5,0,4,1,3,9,12.8,-5,4.0
11,2015-11-18,30-147,CHI,@,PHO,W (+6),0,26:59,3,7,.429,0,0,,0,0,,2,5,7,0,0,0,1,3,6,3.0,+7,4.0
12,2015-11-20,30-149,CHI,@,GSW,L (-12),0,16:10,1,4,.250,0,1,.000,1,2,.500,1,0,1,0,1,1,1,1,3,1.2,-14,4.0
13,2015-11-24,30-153,CHI,@,POR,W (+5),0,17:29,4,7,.571,0,0,,2,2,1.000,1,6,7,1,1,0,0,2,10,10.1,-1,4.0
14,2015-11-27,30-156,CHI,@,IND,L (-12),0,18:51,2,5,.400,0,1,.000,0,0,,1,5,6,1,0,1,1,2,4,3.1,-8,4.0
15,2015-11-30,30-159,CHI,,SAS,W (+3),0,19:12,2,5,.400,0,0,,0,0,,2,2,4,1,1,0,0,2,4,4.2,+8,4.0
16,2015-12-02,30-161,CHI,,DEN,W (+9),0,19:33,4,8,.500,0,0,,0,0,,3,8,11,0,1,0,1,3,8,7.3,+2,4.0
17,2015-12-05,30-164,CHI,,CHO,L (-6),0,20:54,3,7,.429,0,0,,2,2,1.000,2,2,4,3,1,0,2,3,8,6.2,+2,4.0
18,2015-12-07,30-166,CHI,,PHO,L (-2),0,21:45,4,10,.400,0,0,,0,0,,5,3,8,3,2,2,3,4,8,7.9,-14,4.0
19,2015-12-09,30-168,CHI,@,BOS,L (-5),1,19:48,4,6,.667,0,0,,0,0,,4,3,7,1,0,0,0,1,8,9.4,-5,4.0
