G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-124,UTA,@,DET,L (-5),1,37:25,3,6,.500,0,0,,0,0,,0,12,12,1,1,3,3,4,6,5.8,+1,5.0
2,2015-10-30,23-126,UTA,@,PHI,W (+28),1,31:32,3,6,.500,0,0,,2,2,1.000,6,5,11,2,0,7,1,2,8,15.2,+34,5.0
3,2015-10-31,23-127,UTA,@,IND,W (+21),1,31:14,3,5,.600,0,0,,3,4,.750,5,12,17,2,0,3,2,2,9,14.1,+9,5.0
4,2015-11-04,23-131,UTA,,POR,L (-16),1,30:07,4,6,.667,0,0,,0,2,.000,5,4,9,0,1,4,2,3,8,9.9,-20,5.0
5,2015-11-05,23-132,UTA,@,DEN,W (+12),1,34:48,2,8,.250,0,0,,4,10,.400,4,12,16,2,0,3,1,2,8,8.9,+2,5.0
6,2015-11-07,23-134,UTA,,MEM,W (+10),1,35:53,3,8,.375,0,0,,1,2,.500,2,9,11,2,1,4,4,5,7,5.5,+7,5.0
7,2015-11-10,23-137,UTA,@,CLE,L (-4),1,33:28,6,10,.600,0,0,,3,4,.750,4,3,7,5,1,0,2,2,15,15.4,+6,5.0
8,2015-11-15,23-142,UTA,@,ATL,W (+1),1,37:52,3,4,.750,0,0,,5,7,.714,3,8,11,3,2,3,4,4,11,13.7,+2,5.0
9,2015-11-18,23-145,UTA,,TOR,W (+4),1,38:37,3,4,.750,0,0,,1,2,.500,1,4,5,1,0,2,3,3,7,4.8,+7,5.0
10,2015-11-20,23-147,UTA,@,DAL,L (-9),1,35:58,2,4,.500,0,0,,4,5,.800,5,7,12,1,2,1,1,3,8,12.4,0,5.0
11,2015-11-23,23-150,UTA,,OKC,L (-22),1,25:22,4,6,.667,0,0,,2,2,1.000,4,1,5,0,1,0,5,3,10,5.3,-13,5.0
12,2015-11-25,23-152,UTA,@,LAC,W (+11),1,37:57,4,4,1.000,0,0,,2,4,.500,5,6,11,1,2,2,4,2,10,12.6,+8,5.0
13,2015-11-28,23-155,UTA,,NOP,W (+14),1,31:46,3,5,.600,0,0,,3,5,.600,2,12,14,0,1,4,1,4,9,12.1,+12,5.0
14,2015-11-30,23-157,UTA,,GSW,L (-3),1,37:20,4,8,.500,0,0,,5,8,.625,3,8,11,3,1,1,0,2,13,15.3,-5,5.0
15,2016-01-07,23-195,UTA,@,HOU,L (-9),0,15:04,3,4,.750,0,0,,0,0,,1,2,3,0,0,0,0,2,6,4.9,+8,5.0
16,2016-01-09,23-197,UTA,,MIA,W (+15),1,28:29,3,3,1.000,0,0,,3,4,.750,3,2,5,4,1,4,1,2,9,15.2,+10,5.0
17,2016-01-10,23-198,UTA,@,LAL,W (+12),1,29:46,3,3,1.000,0,0,,4,8,.500,0,5,5,1,1,3,2,6,10,8.4,+4,5.0
18,2016-01-13,23-201,UTA,@,POR,L (-14),1,24:24,0,5,.000,0,0,,3,6,.500,2,6,8,1,1,3,4,3,3,0.1,-9,5.0
19,2016-01-14,23-202,UTA,,SAC,L (-2),1,29:44,1,3,.333,0,0,,0,0,,4,8,12,2,0,2,0,4,2,6.7,+1,5.0
20,2016-01-16,23-204,UTA,,LAL,W (+27),1,30:25,6,8,.750,0,0,,6,7,.857,5,13,18,0,0,5,1,2,18,23.5,+29,5.0
21,2016-01-18,23-206,UTA,@,CHO,L (-5),1,43:24,6,7,.857,0,0,,2,5,.400,3,11,14,5,1,2,1,5,14,18.6,-5,5.0
22,2016-01-20,23-208,UTA,@,NYK,L (-7),1,42:22,4,8,.500,0,0,,3,5,.600,1,7,8,0,1,2,1,5,11,8.4,-15,5.0
23,2016-01-22,23-210,UTA,@,BRK,W (+22),1,28:44,5,10,.500,0,0,,0,0,,4,3,7,3,0,3,0,3,10,11.7,+17,5.0
24,2016-01-25,23-213,UTA,,DET,L (-3),1,35:58,7,10,.700,0,0,,3,4,.750,6,11,17,1,1,1,1,2,17,20.5,-11,5.0
25,2016-01-27,23-215,UTA,,CHO,W (+29),1,29:31,2,5,.400,0,0,,2,4,.500,1,11,12,1,0,3,3,3,6,5.1,+13,5.0
26,2016-01-29,23-217,UTA,,MIN,W (+13),1,31:16,6,8,.750,0,0,,2,4,.500,5,7,12,2,2,2,2,3,14,17.2,-1,5.0
27,2016-02-01,23-220,UTA,,CHI,W (+9),1,43:00,6,10,.600,0,0,,4,8,.500,3,9,12,2,1,0,1,3,16,14.8,+7,5.0
