G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,34-034,WAS,@,ORL,W (+1),0,19:50,1,6,.167,1,4,.250,0,0,,4,3,7,1,0,1,0,2,3,3.5,-14,4.0
2,2015-10-30,34-036,WAS,@,MIL,W (+5),0,8:27,0,0,,0,0,,2,2,1.000,0,1,1,0,1,1,0,0,2,4.0,+5,4.0
3,2015-10-31,34-037,WAS,,NYK,L (-7),0,24:03,5,10,.500,1,3,.333,0,0,,4,7,11,2,1,1,2,2,11,11.2,+3,4.0
4,2015-11-04,34-041,WAS,,SAS,W (+3),0,8:08,0,4,.000,0,2,.000,0,0,,1,2,3,0,1,0,0,1,0,-0.9,-17,4.0
5,2015-11-10,34-047,WAS,,OKC,L (-24),0,12:04,0,5,.000,0,1,.000,0,0,,2,3,5,0,0,1,0,1,0,-0.9,-14,4.0
6,2015-11-17,34-054,WAS,,MIL,W (+29),0,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,4.0
7,2016-01-01,34-099,WAS,,ORL,W (+12),0,4:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,4,0,-1.3,-5,4.0
8,2016-01-08,34-106,WAS,,TOR,L (-9),0,9:58,1,3,.333,1,3,.333,0,0,,1,2,3,0,0,0,0,1,3,2.2,-7,4.0
9,2016-01-09,34-107,WAS,@,ORL,W (+6),0,14:50,2,5,.400,1,3,.333,0,0,,0,1,1,1,0,1,1,1,5,2.6,-5,4.0
10,2016-01-11,34-109,WAS,@,CHI,W (+14),0,26:47,4,10,.400,0,4,.000,2,2,1.000,7,5,12,3,0,1,0,3,10,12.6,+7,4.0
11,2016-01-13,34-111,WAS,,MIL,W (+5),0,27:00,2,7,.286,0,1,.000,1,2,.500,2,3,5,1,1,0,2,4,5,0.9,+9,4.0
12,2016-01-15,34-113,WAS,@,IND,W (+14),0,17:14,4,9,.444,0,2,.000,0,0,,0,4,4,0,0,0,2,3,8,1.3,-1,4.0
13,2016-01-25,34-123,WAS,,BOS,L (-25),0,5:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,4.0
14,2016-01-26,34-124,WAS,@,TOR,L (-17),0,10:42,0,0,,0,0,,1,2,.500,1,1,2,1,0,0,0,1,1,1.9,+1,4.0
15,2016-01-28,34-126,WAS,,DEN,L (-4),0,11:53,2,4,.500,2,3,.667,1,2,.500,0,2,2,0,1,0,2,1,7,3.8,-1,4.0
16,2016-01-30,34-128,WAS,@,HOU,W (+1),0,11:05,2,3,.667,1,1,1.000,0,0,,1,4,5,0,0,0,1,0,5,4.6,-1,4.0
17,2016-02-01,34-130,WAS,@,OKC,L (-16),0,15:23,0,3,.000,0,2,.000,0,0,,0,3,3,1,1,0,1,0,0,-0.5,0,4.0
18,2016-02-03,34-132,WAS,,GSW,L (-13),0,5:58,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,1,0,0,0,0.6,+2,4.0
19,2016-02-05,34-134,WAS,,PHI,W (+12),0,13:14,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,0,2,4,0.8,-4,4.0
20,2016-02-06,34-135,WAS,@,CHO,L (-4),0,12:58,3,4,.750,0,0,,0,0,,3,4,7,2,0,1,0,5,6,7.8,+9,4.0
21,2016-02-09,34-138,WAS,@,NYK,W (+3),0,6:44,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-7,4.0
22,2016-02-11,34-140,WAS,@,MIL,L (-7),0,1:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3,4.0
23,2016-02-18,34-147,WAS,,UTA,W (+14),0,5:40,1,1,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,1,2,1.2,-5,4.0
24,2016-02-19,34-148,WAS,,DET,W (+12),0,2:27,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-4,4.0
25,2016-02-20,34-149,WAS,@,MIA,L (-20),0,4:34,2,3,.667,0,1,.000,1,1,1.000,0,2,2,0,0,1,0,2,5,4.2,+1,4.0
26,2016-02-23,34-152,WAS,,NOP,W (+20),0,2:23,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-3,4.0
27,2016-02-28,34-157,WAS,,CLE,W (+14),0,5:29,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-16,4.0
28,2016-03-04,34-162,WAS,@,CLE,L (-25),0,4:56,0,4,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,0,0,-1.8,+2,4.0
29,2016-04-06,34-195,WAS,,BRK,W (+18),0,5:21,2,5,.400,0,2,.000,0,0,,0,0,0,0,0,1,0,3,4,0.8,-9,4.0
30,2016-04-13,34-202,WAS,,ATL,W (+11),0,2:26,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,1.6,-3,4.0
