G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,20-042,ORL,,WAS,L (-1),0,17:01,4,8,.500,0,2,.000,4,6,.667,4,3,7,1,0,1,0,0,12,12.3,+2,4.0
2,2015-10-30,20-044,ORL,,OKC,L (-3),0,17:51,4,4,1.000,1,1,1.000,6,8,.750,1,2,3,0,1,1,1,5,15,13.0,-6,4.0
3,2015-11-01,20-046,ORL,@,CHI,L (-5),0,24:35,2,7,.286,0,1,.000,0,0,,2,5,7,1,2,2,3,1,4,3.5,-4,4.0
4,2015-11-03,20-048,ORL,@,NOP,W (+9),0,4:28,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,2,2,-0.2,+3,4.0
5,2015-11-04,20-049,ORL,@,HOU,L (-5),0,32:02,7,11,.636,0,0,,5,7,.714,4,4,8,1,0,1,1,1,19,17.3,-4,4.0
6,2015-11-06,20-051,ORL,,TOR,W (+5),0,11:50,2,8,.250,1,3,.333,0,0,,2,2,4,1,0,1,1,2,5,1.8,+4,4.0
7,2015-11-07,20-052,ORL,@,PHI,W (+8),0,22:22,4,7,.571,1,3,.333,1,2,.500,3,3,6,2,1,0,0,1,10,11.3,+3,4.0
8,2015-11-09,20-054,ORL,@,IND,L (-13),0,17:22,1,5,.200,0,2,.000,2,3,.667,1,1,2,2,0,1,3,4,4,-1.0,-2,4.0
9,2015-11-11,20-056,ORL,,LAL,W (+2),0,15:50,1,3,.333,1,2,.500,1,2,.500,3,2,5,1,0,0,1,2,4,3.5,+1,4.0
10,2015-11-13,20-058,ORL,,UTA,W (+9),0,27:20,3,9,.333,0,1,.000,4,5,.800,3,2,5,3,1,4,0,4,10,11.5,-11,4.0
11,2015-11-14,20-059,ORL,@,WAS,L (-9),0,31:42,4,10,.400,0,2,.000,4,6,.667,1,6,7,2,3,0,0,4,12,11.1,-10,4.0
12,2015-11-18,20-063,ORL,,MIN,W (+3),0,13:46,2,3,.667,0,0,,1,2,.500,2,0,2,2,0,2,1,1,5,6.1,-2,4.0
13,2015-11-21,20-066,ORL,,SAC,L (-6),0,20:34,3,7,.429,0,2,.000,0,0,,2,5,7,2,1,1,1,4,6,5.7,-6,4.0
14,2015-11-23,20-068,ORL,@,CLE,L (-14),0,24:50,5,10,.500,1,2,.500,0,0,,3,3,6,1,0,3,2,3,11,8.6,+12,4.0
15,2015-11-25,20-070,ORL,,NYK,W (+9),0,17:05,0,4,.000,0,0,,2,4,.500,3,2,5,2,0,2,0,3,2,2.7,+4,4.0
