G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,26-306,NOP,@,GSW,L (-16),1,33:29,5,17,.294,2,7,.286,2,2,1.000,0,4,4,4,1,0,4,1,14,4.7,-9,2.0
2,2015-10-28,26-307,NOP,@,POR,L (-18),1,40:47,6,13,.462,3,8,.375,5,7,.714,1,1,2,3,1,0,1,1,20,15.2,-22,2.0
3,2015-10-31,26-310,NOP,,GSW,L (-14),1,24:29,3,11,.273,1,3,.333,2,2,1.000,1,3,4,2,1,0,0,5,9,4.5,+6,2.0
4,2015-11-03,26-313,NOP,,ORL,L (-9),1,37:49,8,19,.421,4,12,.333,1,2,.500,1,1,2,4,0,0,4,2,21,9.5,+4,2.0
5,2015-11-06,26-316,NOP,,ATL,L (-6),1,39:07,8,15,.533,3,7,.429,3,3,1.000,0,2,2,2,1,1,1,5,22,15.4,-7,2.0
6,2015-11-07,26-317,NOP,@,DAL,L (-9),1,41:11,7,15,.467,5,10,.500,2,2,1.000,0,5,5,4,1,0,2,3,21,15.4,-5,2.0
7,2015-11-10,26-320,NOP,,DAL,W (+15),1,33:53,5,19,.263,4,13,.308,3,3,1.000,1,1,2,3,1,1,0,1,17,10.1,+28,2.0
8,2015-11-11,26-321,NOP,@,ATL,L (-8),1,31:30,10,20,.500,4,6,.667,2,3,.667,0,3,3,3,2,0,2,4,26,17.0,-9,2.0
9,2015-11-13,26-323,NOP,@,TOR,L (-19),1,36:15,11,22,.500,4,11,.364,4,5,.800,1,2,3,1,1,0,3,2,30,17.8,-22,2.0
10,2015-11-15,26-325,NOP,@,NYK,L (-8),1,38:34,5,11,.455,1,5,.200,0,0,,0,2,2,2,0,0,0,4,11,5.7,-7,2.0
11,2015-11-17,26-327,NOP,,DEN,L (-17),1,38:28,7,17,.412,2,8,.250,3,3,1.000,0,1,1,6,1,1,1,1,19,14.7,-25,2.0
12,2015-11-18,26-328,NOP,@,OKC,L (-7),1,36:51,6,20,.300,1,9,.111,5,5,1.000,1,1,2,5,3,0,1,3,18,11.7,+2,2.0
13,2015-11-20,26-330,NOP,,SAS,W (+14),1,34:54,3,9,.333,1,3,.333,4,4,1.000,0,1,1,2,2,0,1,0,11,8.6,+6,2.0
14,2015-11-22,26-332,NOP,,PHO,W (+6),1,39:15,6,16,.375,5,12,.417,3,4,.750,0,4,4,4,2,0,3,2,20,13.0,+11,2.0
15,2015-11-25,26-335,NOP,@,PHO,W (+6),1,34:43,6,11,.545,4,9,.444,7,7,1.000,0,1,1,3,0,0,1,2,23,18.3,+13,2.0
16,2015-11-27,26-337,NOP,@,LAC,L (-21),1,30:09,5,12,.417,1,5,.200,5,6,.833,0,3,3,2,0,0,2,2,16,8.7,-19,2.0
17,2015-11-28,26-338,NOP,@,UTA,L (-14),1,32:15,1,9,.111,1,3,.333,1,2,.500,0,0,0,1,1,0,2,1,4,-3.0,-8,2.0
18,2015-12-01,26-341,NOP,,MEM,L (-9),0,19:30,2,5,.400,0,3,.000,4,4,1.000,0,1,1,4,0,1,1,2,8,7.3,-20,2.0
19,2015-12-02,26-342,NOP,@,HOU,L (-7),1,33:19,4,10,.400,1,5,.200,1,1,1.000,0,2,2,2,0,0,2,3,10,3.4,-3,2.0
20,2015-12-04,26-344,NOP,,CLE,W (+6),1,30:51,7,9,.778,4,5,.800,1,2,.500,0,1,1,2,0,0,2,0,19,14.8,+6,2.0
21,2015-12-07,26-347,NOP,,BOS,L (-18),1,15:34,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,1,1,2,0,-1.2,-16,2.0
22,2015-12-11,26-351,NOP,,WAS,W (+2),1,36:26,5,12,.417,3,7,.429,2,2,1.000,0,4,4,1,1,0,2,2,15,8.7,+1,2.0
23,2015-12-12,26-352,NOP,@,CHI,L (-4),1,34:17,5,15,.333,2,6,.333,2,2,1.000,0,0,0,2,1,0,1,2,14,6.1,+3,2.0
24,2015-12-14,26-354,NOP,@,POR,L (-4),1,34:10,3,9,.333,0,5,.000,3,3,1.000,0,3,3,3,2,0,1,2,9,7.1,+2,2.0
25,2015-12-16,26-356,NOP,@,UTA,W (+10),1,27:34,5,9,.556,4,7,.571,5,5,1.000,0,0,0,1,1,0,3,4,19,11.8,+2,2.0
26,2015-12-18,26-358,NOP,@,PHO,L (-16),1,29:11,2,11,.182,2,9,.222,9,11,.818,0,1,1,1,2,1,2,3,15,7.8,-3,2.0
27,2015-12-20,26-360,NOP,@,DEN,W (+5),1,31:42,6,11,.545,4,7,.571,4,5,.800,1,2,3,3,0,1,1,1,20,17.0,+19,2.0
28,2015-12-23,26-363,NOP,,POR,W (+26),1,34:15,3,8,.375,3,7,.429,2,2,1.000,1,3,4,6,1,0,1,0,11,12.4,+15,2.0
29,2015-12-25,27-000,NOP,@,MIA,L (-6),1,43:06,5,15,.333,1,3,.333,5,5,1.000,0,3,3,2,2,0,3,5,16,6.8,-1,2.0
30,2015-12-26,27-001,NOP,,HOU,W (+2),1,39:37,10,12,.833,6,8,.750,0,0,,1,1,2,5,1,0,1,3,26,24.9,-4,2.0
31,2015-12-28,27-003,NOP,@,ORL,L (-15),1,24:22,1,6,.167,1,5,.200,0,0,,0,0,0,0,0,1,2,0,3,-2.1,-13,2.0
32,2015-12-31,27-006,NOP,,LAC,L (-6),1,35:25,3,11,.273,2,5,.400,2,2,1.000,0,2,2,0,1,1,2,4,10,2.2,-8,2.0
33,2016-01-02,27-008,NOP,@,DAL,W (+7),1,36:59,6,14,.429,2,5,.400,2,2,1.000,0,3,3,1,0,0,1,2,16,8.4,+15,2.0
34,2016-01-06,27-012,NOP,,DAL,L (-9),1,23:15,5,9,.556,4,7,.571,0,0,,1,0,1,3,0,0,1,1,14,11.1,+2,2.0
35,2016-01-08,27-014,NOP,,IND,L (-5),1,35:35,3,11,.273,1,6,.167,1,2,.500,0,3,3,3,1,0,1,2,8,3.3,+1,2.0
36,2016-01-10,27-016,NOP,@,LAC,L (-3),1,38:09,3,10,.300,1,5,.200,0,0,,0,1,1,4,2,1,1,2,7,5.2,+2,2.0
37,2016-01-12,27-018,NOP,@,LAL,L (-4),1,27:02,6,9,.667,1,3,.333,1,1,1.000,0,2,2,1,0,1,1,3,14,9.9,-4,2.0
38,2016-01-13,27-019,NOP,@,SAC,W (+12),1,42:49,9,19,.474,6,12,.500,0,0,,0,5,5,6,3,1,1,2,24,21.9,+20,2.0
39,2016-01-15,27-021,NOP,,CHO,W (+2),1,31:40,4,12,.333,2,6,.333,0,0,,0,1,1,2,1,0,1,0,10,4.9,-3,2.0
40,2016-01-18,27-024,NOP,@,MEM,L (-2),1,37:16,2,7,.286,2,4,.500,4,4,1.000,0,2,2,3,1,0,3,3,10,5.4,-1,2.0
41,2016-01-19,27-025,NOP,,MIN,W (+15),1,24:58,4,9,.444,3,7,.429,0,0,,0,1,1,3,1,0,2,2,11,6.9,-5,2.0
42,2016-02-27,27-064,NOP,,MIN,L (-2),1,33:48,9,17,.529,4,9,.444,9,10,.900,0,3,3,2,3,0,3,3,31,23.4,-3,2.0
43,2016-03-02,27-068,NOP,@,HOU,L (-5),1,32:01,5,11,.455,4,9,.444,0,0,,0,3,3,3,1,0,5,5,14,5.3,-3,2.0
44,2016-03-03,27-069,NOP,,SAS,L (-8),1,33:34,9,19,.474,3,6,.500,2,2,1.000,0,5,5,4,0,0,0,1,23,17.2,-10,2.0
45,2016-03-05,27-071,NOP,,UTA,L (-12),1,11:17,3,4,.750,1,1,1.000,0,0,,0,0,0,2,0,2,0,0,7,8.2,+2,2.0
