G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-253,WAS,@,ORL,W (+1),1,35:39,4,6,.667,0,0,,2,2,1.000,2,6,8,2,0,2,2,1,10,11.0,+14,5.0
2,2015-10-30,31-255,WAS,@,MIL,W (+5),1,26:29,3,6,.500,0,0,,3,4,.750,3,6,9,1,0,1,3,2,9,7.1,-12,5.0
3,2015-10-31,31-256,WAS,,NYK,L (-7),1,25:33,2,8,.250,0,0,,5,6,.833,1,4,5,1,1,0,4,5,9,1.4,-13,5.0
4,2015-11-04,31-260,WAS,,SAS,W (+3),1,28:03,4,9,.444,0,0,,2,2,1.000,0,8,8,1,0,1,3,3,10,4.9,+4,5.0
5,2015-11-06,31-262,WAS,@,BOS,L (-20),1,25:37,4,7,.571,0,0,,2,3,.667,1,7,8,5,1,3,1,2,10,13.9,+6,5.0
6,2015-11-07,31-263,WAS,@,ATL,L (-15),1,26:13,4,8,.500,0,0,,2,2,1.000,1,9,10,1,2,1,3,1,10,9.4,-20,5.0
7,2015-11-10,31-266,WAS,,OKC,L (-24),1,27:12,5,11,.455,0,0,,5,6,.833,2,1,3,1,0,1,1,1,15,10.6,-19,5.0
8,2015-11-14,31-270,WAS,,ORL,W (+9),1,27:49,4,9,.444,0,0,,5,7,.714,5,5,10,1,0,1,0,3,13,12.7,+6,5.0
9,2015-11-17,31-273,WAS,,MIL,W (+29),1,27:03,4,9,.444,0,0,,4,6,.667,1,8,9,1,0,0,1,1,12,8.9,+22,5.0
10,2015-11-21,31-277,WAS,@,DET,W (+2),1,25:42,7,11,.636,0,0,,0,0,,4,4,8,1,0,0,3,2,14,10.0,-22,5.0
11,2015-11-24,31-280,WAS,,IND,L (-17),1,23:40,4,10,.400,0,0,,2,4,.500,5,4,9,5,2,1,2,2,10,11.9,-15,5.0
12,2015-11-25,31-281,WAS,@,CHO,L (-14),1,30:53,6,8,.750,0,0,,5,6,.833,4,8,12,0,1,2,2,3,17,17.8,-10,5.0
13,2015-11-27,31-283,WAS,@,BOS,L (-33),1,29:15,1,8,.125,0,0,,2,2,1.000,6,3,9,4,0,0,3,3,4,2.5,-23,5.0
14,2015-11-28,31-284,WAS,,TOR,L (-2),1,33:52,8,14,.571,0,0,,0,1,.000,3,7,10,1,1,1,2,4,16,12.0,-1,5.0
15,2015-12-01,31-287,WAS,@,CLE,W (+12),1,32:43,7,10,.700,0,0,,1,2,.500,0,11,11,0,1,4,3,5,15,12.5,+8,5.0
16,2015-12-02,31-288,WAS,,LAL,L (-4),1,37:10,9,15,.600,0,0,,0,0,,2,8,10,1,2,1,3,3,18,14.1,+2,5.0
17,2015-12-09,31-295,WAS,,HOU,L (-6),1,35:53,7,10,.700,0,0,,4,4,1.000,4,9,13,1,1,1,4,5,18,15.7,-17,5.0
18,2015-12-11,31-297,WAS,@,NOP,L (-2),1,31:16,5,12,.417,0,0,,0,2,.000,2,6,8,2,0,1,1,1,10,6.7,+7,5.0
19,2015-12-12,31-298,WAS,@,DAL,W (+3),1,32:02,7,9,.778,0,0,,0,1,.000,0,12,12,2,0,1,0,1,14,15.4,+15,5.0
20,2015-12-14,31-300,WAS,@,MEM,L (-17),1,25:56,4,11,.364,0,0,,2,4,.500,3,6,9,0,2,0,3,1,10,5.6,-15,5.0
21,2015-12-16,31-302,WAS,@,SAS,L (-19),1,39:33,9,15,.600,0,0,,2,2,1.000,2,8,10,2,1,3,1,0,20,20.4,-8,5.0
22,2015-12-19,31-305,WAS,,CHO,W (+8),1,37:47,7,16,.438,0,0,,4,4,1.000,3,3,6,1,1,2,4,1,18,11.3,+16,5.0
23,2015-12-21,31-307,WAS,,SAC,W (+14),1,36:42,12,19,.632,0,0,,3,4,.750,4,12,16,2,1,4,3,2,27,25.9,+17,5.0
24,2015-12-23,31-309,WAS,,MEM,W (+9),1,39:30,6,13,.462,0,0,,0,0,,4,8,12,3,0,0,2,5,12,8.6,+8,5.0
25,2015-12-26,31-312,WAS,@,BRK,W (+15),1,30:05,10,15,.667,0,0,,5,6,.833,2,5,7,3,1,1,2,4,25,21.2,+19,5.0
26,2015-12-28,31-314,WAS,,LAC,L (-17),1,34:12,5,13,.385,0,0,,2,2,1.000,2,14,16,0,1,0,1,2,12,9.7,-17,5.0
27,2015-12-30,31-316,WAS,@,TOR,L (-3),1,36:05,5,15,.333,0,0,,2,2,1.000,4,6,10,1,0,3,0,4,12,9.3,+3,5.0
28,2016-01-01,31-318,WAS,,ORL,W (+12),1,35:21,5,10,.500,0,0,,0,0,,5,9,14,2,1,1,1,1,10,12.9,+11,5.0
29,2016-01-03,31-320,WAS,,MIA,L (-22),1,27:57,6,11,.545,0,0,,0,0,,8,5,13,1,1,0,3,3,12,11.3,-7,5.0
30,2016-01-06,31-323,WAS,,CLE,L (-6),1,30:21,6,9,.667,0,0,,0,0,,2,4,6,3,2,0,0,2,12,14.0,-3,5.0
31,2016-01-08,31-325,WAS,,TOR,L (-9),1,35:17,5,11,.455,0,0,,2,2,1.000,2,8,10,3,0,3,2,2,12,11.5,+1,5.0
32,2016-01-09,31-326,WAS,@,ORL,W (+6),1,33:10,5,9,.556,0,0,,2,4,.500,2,8,10,1,1,1,1,3,12,10.9,+11,5.0
33,2016-01-16,31-333,WAS,,BOS,L (-2),1,36:22,9,14,.643,0,0,,0,0,,4,7,11,1,1,2,1,4,18,17.2,-5,5.0
34,2016-01-18,31-335,WAS,,POR,L (-10),1,36:53,7,10,.700,0,0,,2,3,.667,3,10,13,0,0,2,2,3,16,14.7,-9,5.0
35,2016-01-20,31-337,WAS,,MIA,W (+19),1,35:11,7,12,.583,0,0,,1,2,.500,5,7,12,2,0,2,0,2,15,16.6,+16,5.0
36,2016-01-25,31-342,WAS,,BOS,L (-25),1,29:27,3,5,.600,0,0,,4,4,1.000,3,8,11,2,0,1,3,4,10,9.7,-24,5.0
37,2016-01-26,31-343,WAS,@,TOR,L (-17),1,31:54,3,8,.375,0,0,,3,4,.750,1,7,8,1,2,2,1,3,9,8.9,-4,5.0
